chemistry,feature,fold,seed,temperature,mae,rmse,source
LFP,G0,DST,3,40.0,1.552484472877386,2.6853958063693737,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/normalhead_auxoff/runs/lfp/nmc_goal_vcorr_it_train_dst_selector_results/normalauxoff_lfp_gru_normal_g0_holdoutdst_s0123456789_b2048_e200_by_temperature.csv
LFP,G0,DST,3,50.0,1.3923499074564218,2.3398018195593315,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/normalhead_auxoff/runs/lfp/nmc_goal_vcorr_it_train_dst_selector_results/normalauxoff_lfp_gru_normal_g0_holdoutdst_s0123456789_b2048_e200_by_temperature.csv
LFP,G0,DST,4,-10.0,4.08079775834835,5.532835037069979,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/normalhead_auxoff/runs/lfp/nmc_goal_vcorr_it_train_dst_selector_results/normalauxoff_lfp_gru_normal_g0_holdoutdst_s0123456789_b2048_e200_by_temperature.csv
LFP,G0,DST,4,0.0,3.540047868726636,4.992203570909092,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/normalhead_auxoff/runs/lfp/nmc_goal_vcorr_it_train_dst_selector_results/normalauxoff_lfp_gru_normal_g0_holdoutdst_s0123456789_b2048_e200_by_temperature.csv
LFP,G0,DST,4,10.0,3.0664367333972224,4.4695949186942565,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/normalhead_auxoff/runs/lfp/nmc_goal_vcorr_it_train_dst_selector_results/normalauxoff_lfp_gru_normal_g0_holdoutdst_s0123456789_b2048_e200_by_temperature.csv
LFP,G0,DST,4,20.0,2.5008606917279006,3.793973295281784,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/normalhead_auxoff/runs/lfp/nmc_goal_vcorr_it_train_dst_selector_results/normalauxoff_lfp_gru_normal_g0_holdoutdst_s0123456789_b2048_e200_by_temperature.csv
LFP,G0,DST,4,25.0,2.081453249678942,3.3060655144194557,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/normalhead_auxoff/runs/lfp/nmc_goal_vcorr_it_train_dst_selector_results/normalauxoff_lfp_gru_normal_g0_holdoutdst_s0123456789_b2048_e200_by_temperature.csv
LFP,G0,DST,4,30.0,1.9326618536772515,3.0880320508231995,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/normalhead_auxoff/runs/lfp/nmc_goal_vcorr_it_train_dst_selector_results/normalauxoff_lfp_gru_normal_g0_holdoutdst_s0123456789_b2048_e200_by_temperature.csv
LFP,G0,DST,4,40.0,1.5490379174915667,2.5367318151011284,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/normalhead_auxoff/runs/lfp/nmc_goal_vcorr_it_train_dst_selector_results/normalauxoff_lfp_gru_normal_g0_holdoutdst_s0123456789_b2048_e200_by_temperature.csv
LFP,G0,DST,4,50.0,1.3395184274468963,2.145384446751192,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/normalhead_auxoff/runs/lfp/nmc_goal_vcorr_it_train_dst_selector_results/normalauxoff_lfp_gru_normal_g0_holdoutdst_s0123456789_b2048_e200_by_temperature.csv
LFP,G0,DST,5,-10.0,3.2185212930498968,4.409987140675409,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/normalhead_auxoff/runs/lfp/nmc_goal_vcorr_it_train_dst_selector_results/normalauxoff_lfp_gru_normal_g0_holdoutdst_s0123456789_b2048_e200_by_temperature.csv
LFP,G0,DST,5,0.0,2.854166286779011,4.229563652519042,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/normalhead_auxoff/runs/lfp/nmc_goal_vcorr_it_train_dst_selector_results/normalauxoff_lfp_gru_normal_g0_holdoutdst_s0123456789_b2048_e200_by_temperature.csv
