chemistry,feature,fold,seed,temperature_C,reevaluated_mae_pct,locked_mae_pct,abs_mae_delta_pct,max_abs_prediction_delta_fraction,deterministic_bit_identical,atol,passed,package_path,locked_metric_path
LFP,G4,FUDS,0,30.0,0.5422581405202995,0.5422581204276028,2.009269672864633e-08,2.407922363723003e-07,True,1e-06,True,${SOURCE_WORKSPACE}/LFP_REMOTE_EXACT_COPY_20260713/DL/CEMA_LFP/lfp_confirmatory_minipanel/inference_pkg_lfp/G4/FUDS/0,${SOURCE_WORKSPACE}/LFP_REMOTE_EXACT_COPY_20260713/DL/CEMA_LFP/lfp_confirmatory_minipanel/runs/all8_train_all8_test/tier1/nmc_goal_vcorr_it_train_dst_selector_results/lfpconfirm_all8_train_all8_test_tier1_gru_residual_g4_holdoutfuds_s012_b2048_e200_by_temperature.csv
LFP,G4,FUDS,0,40.0,0.6261906002140807,0.6261904854938508,1.1472022987124575e-07,2.407922363723003e-07,True,1e-06,True,${SOURCE_WORKSPACE}/LFP_REMOTE_EXACT_COPY_20260713/DL/CEMA_LFP/lfp_confirmatory_minipanel/inference_pkg_lfp/G4/FUDS/0,${SOURCE_WORKSPACE}/LFP_REMOTE_EXACT_COPY_20260713/DL/CEMA_LFP/lfp_confirmatory_minipanel/runs/all8_train_all8_test/tier1/nmc_goal_vcorr_it_train_dst_selector_results/lfpconfirm_all8_train_all8_test_tier1_gru_residual_g4_holdoutfuds_s012_b2048_e200_by_temperature.csv
LFP,G4,FUDS,0,50.0,0.7517690641080021,0.7517686799434503,3.841645518365411e-07,2.407922363723003e-07,True,1e-06,True,${SOURCE_WORKSPACE}/LFP_REMOTE_EXACT_COPY_20260713/DL/CEMA_LFP/lfp_confirmatory_minipanel/inference_pkg_lfp/G4/FUDS/0,${SOURCE_WORKSPACE}/LFP_REMOTE_EXACT_COPY_20260713/DL/CEMA_LFP/lfp_confirmatory_minipanel/runs/all8_train_all8_test/tier1/nmc_goal_vcorr_it_train_dst_selector_results/lfpconfirm_all8_train_all8_test_tier1_gru_residual_g4_holdoutfuds_s012_b2048_e200_by_temperature.csv
LFP,G4,FUDS,1,-10.0,0.9690951158573821,0.9690950146308468,1.0122653526511982e-07,2.7851833342418253e-07,True,1e-06,True,${SOURCE_WORKSPACE}/LFP_REMOTE_EXACT_COPY_20260713/DL/CEMA_LFP/lfp_confirmatory_minipanel/inference_pkg_lfp/G4/FUDS/1,${SOURCE_WORKSPACE}/LFP_REMOTE_EXACT_COPY_20260713/DL/CEMA_LFP/lfp_confirmatory_minipanel/runs/all8_train_all8_test/tier1/nmc_goal_vcorr_it_train_dst_selector_results/lfpconfirm_all8_train_all8_test_tier1_gru_residual_g4_holdoutfuds_s012_b2048_e200_by_temperature.csv
LFP,G4,FUDS,1,0.0,0.562500620312478,0.5625008586834253,2.38370947203137e-07,2.7851833342418253e-07,True,1e-06,True,${SOURCE_WORKSPACE}/LFP_REMOTE_EXACT_COPY_20260713/DL/CEMA_LFP/lfp_confirmatory_minipanel/inference_pkg_lfp/G4/FUDS/1,${SOURCE_WORKSPACE}/LFP_REMOTE_EXACT_COPY_20260713/DL/CEMA_LFP/lfp_confirmatory_minipanel/runs/all8_train_all8_test/tier1/nmc_goal_vcorr_it_train_dst_selector_results/lfpconfirm_all8_train_all8_test_tier1_gru_residual_g4_holdoutfuds_s012_b2048_e200_by_temperature.csv
LFP,G4,FUDS,1,10.0,0.5945653167915445,0.59456537972317,6.293162557735599e-08,2.7851833342418253e-07,True,1e-06,True,${SOURCE_WORKSPACE}/LFP_REMOTE_EXACT_COPY_20260713/DL/CEMA_LFP/lfp_confirmatory_minipanel/inference_pkg_lfp/G4/FUDS/1,${SOURCE_WORKSPACE}/LFP_REMOTE_EXACT_COPY_20260713/DL/CEMA_LFP/lfp_confirmatory_minipanel/runs/all8_train_all8_test/tier1/nmc_goal_vcorr_it_train_dst_selector_results/lfpconfirm_all8_train_all8_test_tier1_gru_residual_g4_holdoutfuds_s012_b2048_e200_by_temperature.csv
LFP,G4,FUDS,1,20.0,0.43655127616922157,0.4365512627143665,1.3454855063432802e-08,2.7851833342418253e-07,True,1e-06,True,${SOURCE_WORKSPACE}/LFP_REMOTE_EXACT_COPY_20260713/DL/CEMA_LFP/lfp_confirmatory_minipanel/inference_pkg_lfp/G4/FUDS/1,${SOURCE_WORKSPACE}/LFP_REMOTE_EXACT_COPY_20260713/DL/CEMA_LFP/lfp_confirmatory_minipanel/runs/all8_train_all8_test/tier1/nmc_goal_vcorr_it_train_dst_selector_results/lfpconfirm_all8_train_all8_test_tier1_gru_residual_g4_holdoutfuds_s012_b2048_e200_by_temperature.csv
LFP,G4,FUDS,1,25.0,0.4325170716680758,0.4325171987264514,1.2705837559856548e-07,2.7851833342418253e-07,True,1e-06,True,${SOURCE_WORKSPACE}/LFP_REMOTE_EXACT_COPY_20260713/DL/CEMA_LFP/lfp_confirmatory_minipanel/inference_pkg_lfp/G4/FUDS/1,${SOURCE_WORKSPACE}/LFP_REMOTE_EXACT_COPY_20260713/DL/CEMA_LFP/lfp_confirmatory_minipanel/runs/all8_train_all8_test/tier1/nmc_goal_vcorr_it_train_dst_selector_results/lfpconfirm_all8_train_all8_test_tier1_gru_residual_g4_holdoutfuds_s012_b2048_e200_by_temperature.csv
LFP,G4,FUDS,1,30.0,0.4051694321802986,0.4051695969743923,1.6479409370440123e-07,2.7851833342418253e-07,True,1e-06,True,${SOURCE_WORKSPACE}/LFP_REMOTE_EXACT_COPY_20260713/DL/CEMA_LFP/lfp_confirmatory_minipanel/inference_pkg_lfp/G4/FUDS/1,${SOURCE_WORKSPACE}/LFP_REMOTE_EXACT_COPY_20260713/DL/CEMA_LFP/lfp_confirmatory_minipanel/runs/all8_train_all8_test/tier1/nmc_goal_vcorr_it_train_dst_selector_results/lfpconfirm_all8_train_all8_test_tier1_gru_residual_g4_holdoutfuds_s012_b2048_e200_by_temperature.csv
LFP,G4,FUDS,1,40.0,0.47162112394532024,0.4716211334929743,9.547654056252242e-09,2.7851833342418253e-07,True,1e-06,True,${SOURCE_WORKSPACE}/LFP_REMOTE_EXACT_COPY_20260713/DL/CEMA_LFP/lfp_confirmatory_minipanel/inference_pkg_lfp/G4/FUDS/1,${SOURCE_WORKSPACE}/LFP_REMOTE_EXACT_COPY_20260713/DL/CEMA_LFP/lfp_confirmatory_minipanel/runs/all8_train_all8_test/tier1/nmc_goal_vcorr_it_train_dst_selector_results/lfpconfirm_all8_train_all8_test_tier1_gru_residual_g4_holdoutfuds_s012_b2048_e200_by_temperature.csv
