feature,fold,seed,temp,reset_trial,reset_index,time_to_recover_within_1pct_s,recovered,observation_horizon_s
T6_plain,US06,1,0.0,0,2408,49.577440000000934,True,7144.60614
T6_plain,US06,1,0.0,1,3573,49.530510000000504,True,5967.869350000001
T6_plain,US06,1,0.0,2,4145,592.9781999999977,True,5389.595819999999
T6_plain,US06,1,0.0,3,5960,2048.7079400000002,True,3556.7373799999987
T6_plain,US06,1,0.0,4,7860,1205.1588499999998,True,1637.4496900000013
T6_plain,US06,1,25.0,0,2536,49.514899999998306,True,8218.174719999999
T6_plain,US06,1,25.0,1,4266,334.52762000000075,True,6472.705829999999
T6_plain,US06,1,25.0,2,4896,966.6931600000025,True,5836.289550000001
T6_plain,US06,1,25.0,3,7768,425.3235199999981,True,2936.2849099999985
T6_plain,US06,1,25.0,4,8446,454.49503999999797,True,2251.4784199999995
T6_plain,US06,1,45.0,0,1371,718.6509699999988,True,9608.171009999998
T6_plain,US06,1,45.0,1,4531,348.199990000001,True,6415.779640000001
T6_plain,US06,1,45.0,2,5722,773.8552400000008,True,5212.55428
T6_plain,US06,1,45.0,3,6759,880.08986,True,4165.512050000001
T6_plain,US06,1,45.0,4,9483,633.5449399999998,True,1413.197799999998
T6_plain,US06,2,0.0,0,2408,64.76477000000159,True,7144.60614
T6_plain,US06,2,0.0,1,3573,67.76464000000124,True,5967.869350000001
T6_plain,US06,2,0.0,2,4145,1193.65985,True,5389.595819999999
T6_plain,US06,2,0.0,3,5960,2077.0044799999996,True,3556.7373799999987
T6_plain,US06,2,0.0,4,7860,1161.5966500000031,True,1637.4496900000013
T6_plain,US06,2,25.0,0,2536,49.514899999998306,True,8218.174719999999
T6_plain,US06,2,25.0,1,4266,1396.9553699999997,True,6472.705829999999
T6_plain,US06,2,25.0,2,4896,1858.372660000001,True,5836.289550000001
T6_plain,US06,2,25.0,3,7768,539.4628599999996,True,2936.2849099999985
T6_plain,US06,2,25.0,4,8446,691.0402299999987,True,2251.4784199999995
T6_plain,US06,2,45.0,0,1371,49.639970000000176,True,9608.171009999998
T6_plain,US06,2,45.0,1,4531,1304.3655099999996,True,6415.779640000001
T6_plain,US06,2,45.0,2,5722,1323.0715000000018,True,5212.55428
T6_plain,US06,2,45.0,3,6759,1165.793950000003,True,4165.512050000001
T6_plain,US06,2,45.0,4,9483,546.4032499999994,True,1413.197799999998
