feature,fold,seed,temperature,mae,rmse
T6,FUDS,0,0.0,0.8164307391652081,1.0610762487172407
T6,FUDS,0,10.0,0.6404239250849224,0.8238987461962869
T6,FUDS,0,20.0,0.4808776410534753,0.6272677691910296
T6,FUDS,0,25.0,0.4830403258268843,0.6322745138669209
T6,FUDS,0,30.0,0.5064320303192489,0.6507505543921701
T6,FUDS,0,40.0,0.5668480789887824,0.7179549770407445
T6,FUDS,0,50.0,0.6920305570071688,0.8768778245455713
T6,FUDS,1,-10.0,1.5688750438897174,2.011530683459441
T6,FUDS,1,0.0,0.8074621733195133,1.0513030905067051
T6,FUDS,1,10.0,0.6273020198416157,0.7858752562322315
T6,FUDS,1,20.0,0.4447902983049636,0.5790952266697371
T6,FUDS,1,25.0,0.4575038825523067,0.6054770501313833
T6,FUDS,1,30.0,0.4538145470783583,0.5861471614656218
T6,FUDS,1,40.0,0.5340458371753568,0.6772779815201988
T6,FUDS,1,50.0,0.656858607781934,0.8252104850605312
T6,FUDS,2,-10.0,1.7126171259327816,2.198255647273396
T6,FUDS,2,0.0,0.9004104950405758,1.2403528588905093
T6,FUDS,2,10.0,0.6923424044729825,0.903359930432044
T6,FUDS,2,20.0,0.4532705020667734,0.6215494860567093
T6,FUDS,2,25.0,0.4949008606177901,0.6441120561027421
T6,FUDS,2,30.0,0.538979589383119,0.6737825635107499
T6,FUDS,2,40.0,0.560235312172166,0.6934508836172473
T6,FUDS,2,50.0,0.7492354888436972,0.930670419639154
T6,US06,0,-10.0,2.100607230625066,2.347198488958966
T6,US06,0,0.0,0.8558538122975677,0.9812855652578916
T6,US06,0,10.0,0.6037218176948204,0.7463981569077786
T6,US06,0,20.0,0.4228145619485827,0.5240936302731934
T6,US06,0,25.0,0.3506091680565388,0.4182260869348113
T6,US06,0,30.0,0.3324707960646975,0.4263998555686489
T6,US06,0,40.0,0.3802887632277248,0.4848536880564546
T6,US06,0,50.0,0.4305171122237362,0.5393714169352416
T6,US06,1,-10.0,2.0644569887876085,2.279772395797826
T6,US06,1,0.0,0.8356135817800993,0.9687300603777718
T6,US06,1,10.0,0.7201813368487539,0.866528747953574
T6,US06,1,20.0,0.4841826165361219,0.6037803776983237
T6,US06,1,25.0,0.3937194025716688,0.4710199756033616
T6,US06,1,30.0,0.3577746231230526,0.4517874673831644
T6,US06,1,40.0,0.3385639274683193,0.4369415050466291
T6,US06,1,50.0,0.3460648154997973,0.4504288039402733
T6,US06,2,-10.0,2.080182513726204,2.3388169689038665
T6,US06,2,0.0,0.8890486390765829,1.0121096672127303
T6,US06,2,10.0,0.5824334096532884,0.7101987899690598
T6,US06,2,20.0,0.4057093012296365,0.4970218371636538
T6,US06,2,25.0,0.3207350681472805,0.3856354665957413
T6,US06,2,30.0,0.3312458464623732,0.4091443061569202
T6,US06,2,40.0,0.3924899129820508,0.4891954742964879
T6,US06,2,50.0,0.5164841844366801,0.6190086505099922
T7,DST,0,-10.0,1.0797829067809537,1.3722129044690918
T7,DST,0,0.0,0.9386771015812836,1.301136711098978
T7,DST,0,10.0,0.6700155414909001,0.9438989996262768
T7,DST,0,20.0,0.6599625050282064,0.8699497176311936
T7,DST,0,25.0,0.7739417970563272,1.0735614280594803
T7,DST,0,30.0,0.6846068950906494,0.93657209391997
T7,DST,0,40.0,0.905033306639082,1.229257408729354
T7,DST,0,50.0,1.0881010069689554,1.4727579732664278
T7,DST,1,-10.0,1.1889947929491629,1.5938632494137728
T7,DST,1,0.0,1.0913048453853509,1.6171124098400973
T7,DST,1,10.0,0.7402218256239497,1.1216609165483336
T7,DST,1,20.0,0.7668035826408275,1.0214227435104364
T7,DST,1,25.0,0.955553471936214,1.3098370383089972
T7,DST,1,30.0,0.8236977199533282,1.129994229778641
T7,DST,1,40.0,1.0410792733811682,1.3792782756833937
T7,DST,1,50.0,1.062708450826695,1.3901519454606852
T7,DST,2,-10.0,0.9381863904659704,1.203483787818929
T7,DST,2,0.0,0.7111868603156972,0.9657610866920344
T7,DST,2,10.0,0.6788727221897902,0.9218979956348528
T7,DST,2,20.0,0.8896329562658116,1.179995225089072
T7,DST,2,25.0,0.8427588368621839,1.153083354073166
T7,DST,2,30.0,0.815413037231594,1.1257041344327832
T7,DST,2,40.0,1.0680406604793662,1.3746801930478298
T7,DST,2,50.0,1.148163761066892,1.4444685707700171
