fold_holdout,trial_id,selected,objective_training_slice_unweighted_mae_pct,oracle_training_mae_pct,minus5pp_training_mae_pct,minus10pp_training_mae_pct,minus5pp_recovered_fraction,minus10pp_recovered_fraction,diverged_runs,training_profiles,training_files_sha256,n_training_records,n_training_runs,heldout_files_passed_to_selection,heldout_file_count,lambda_min,nis_threshold,nis_ema_beta
DST,37,False,3.181251248174478,0.1562219382691214,0.9364318028919463,8.451100003362367,0.875,0.0,0,FUDS+US06,aa74c95e4ccb9756631f45832a3a890c580960f97746cc352518b41520259f9a,16,48,False,8,0.98,2.0,0.5
DST,38,False,3.17696059833105,0.15808726306942772,0.9221531735617299,8.450641358361992,0.875,0.0,0,FUDS+US06,aa74c95e4ccb9756631f45832a3a890c580960f97746cc352518b41520259f9a,16,48,False,8,0.98,2.0,0.9
DST,39,False,3.1753646453910616,0.15547569640470316,0.9205127870646899,8.450105452703792,0.875,0.0,0,FUDS+US06,aa74c95e4ccb9756631f45832a3a890c580960f97746cc352518b41520259f9a,16,48,False,8,0.98,2.0,0.99
DST,40,False,3.176297551623169,0.15653847852528657,0.9210599386849059,8.451294237659315,0.875,0.0,0,FUDS+US06,aa74c95e4ccb9756631f45832a3a890c580960f97746cc352518b41520259f9a,16,48,False,8,0.98,4.0,0.0
DST,41,False,3.176230922500757,0.1564691324301477,0.9209498986301907,8.451273736441934,0.875,0.0,0,FUDS+US06,aa74c95e4ccb9756631f45832a3a890c580960f97746cc352518b41520259f9a,16,48,False,8,0.98,4.0,0.5
DST,42,False,3.1759273492888567,0.15606656671934988,0.9205405219848485,8.451174959162373,0.875,0.0,0,FUDS+US06,aa74c95e4ccb9756631f45832a3a890c580960f97746cc352518b41520259f9a,16,48,False,8,0.98,4.0,0.9
DST,43,False,3.1752369216872545,0.15327192327997383,0.9203257719646447,8.452113069817145,0.875,0.0,0,FUDS+US06,aa74c95e4ccb9756631f45832a3a890c580960f97746cc352518b41520259f9a,16,48,False,8,0.98,4.0,0.99
DST,44,False,3.1750979012027485,0.15326970465759054,0.9203256906847191,8.451698308265936,0.875,0.0,0,FUDS+US06,aa74c95e4ccb9756631f45832a3a890c580960f97746cc352518b41520259f9a,16,48,False,8,0.98,9.0,0.0
DST,45,False,3.1750180501161007,0.1532703292752075,0.9203257343594922,8.4514580867136,0.875,0.0,0,FUDS+US06,aa74c95e4ccb9756631f45832a3a890c580960f97746cc352518b41520259f9a,16,48,False,8,0.98,9.0,0.5
DST,46,False,3.1752042064929964,0.1532719196697509,0.9203257719646447,8.452014927844594,0.875,0.0,0,FUDS+US06,aa74c95e4ccb9756631f45832a3a890c580960f97746cc352518b41520259f9a,16,48,False,8,0.98,9.0,0.9
DST,47,False,3.1752434856828002,0.15327192327997383,0.9203257719646447,8.452132761803783,0.875,0.0,0,FUDS+US06,aa74c95e4ccb9756631f45832a3a890c580960f97746cc352518b41520259f9a,16,48,False,8,0.98,9.0,0.99
DST,48,False,3.181045682950183,0.16062332078458963,0.930551398281346,8.451962329784614,0.875,0.0,0,FUDS+US06,aa74c95e4ccb9756631f45832a3a890c580960f97746cc352518b41520259f9a,16,48,False,8,0.99,1.0,0.0
DST,49,False,3.1812391912274074,0.1605008105973002,0.9312520038997848,8.451964759185138,0.875,0.0,0,FUDS+US06,aa74c95e4ccb9756631f45832a3a890c580960f97746cc352518b41520259f9a,16,48,False,8,0.99,1.0,0.5
DST,50,False,3.1778585807691027,0.15880773343905225,0.9230609069352652,8.45170710193299,0.875,0.0,0,FUDS+US06,aa74c95e4ccb9756631f45832a3a890c580960f97746cc352518b41520259f9a,16,48,False,8,0.99,1.0,0.9
DST,51,False,3.1767133571310815,0.15725685800410225,0.9223828786771758,8.450500334711966,0.875,0.0,0,FUDS+US06,aa74c95e4ccb9756631f45832a3a890c580960f97746cc352518b41520259f9a,16,48,False,8,0.99,1.0,0.99
DST,52,False,3.177556858905667,0.1570779442062501,0.9235843445489647,8.452008287961785,0.875,0.0,0,FUDS+US06,aa74c95e4ccb9756631f45832a3a890c580960f97746cc352518b41520259f9a,16,48,False,8,0.99,2.0,0.0
DST,53,False,3.177341253761917,0.15688789260743696,0.9231160438868068,8.452019824791506,0.875,0.0,0,FUDS+US06,aa74c95e4ccb9756631f45832a3a890c580960f97746cc352518b41520259f9a,16,48,False,8,0.99,2.0,0.5
DST,54,False,3.176365264670667,0.1556860156068937,0.9215318151054588,8.45187796329965,0.875,0.0,0,FUDS+US06,aa74c95e4ccb9756631f45832a3a890c580960f97746cc352518b41520259f9a,16,48,False,8,0.99,2.0,0.9
DST,55,False,3.1944609093997767,0.15349219435618877,0.9204364173078576,8.509454116535284,0.875,0.0,0,FUDS+US06,aa74c95e4ccb9756631f45832a3a890c580960f97746cc352518b41520259f9a,16,48,False,8,0.99,2.0,0.99
DST,56,False,3.1756008947306307,0.15396600323901438,0.9208669210260731,8.451969759926808,0.875,0.0,0,FUDS+US06,aa74c95e4ccb9756631f45832a3a890c580960f97746cc352518b41520259f9a,16,48,False,8,0.99,4.0,0.0
DST,57,False,3.1755865358742987,0.15398629502356742,0.9207744712635554,8.451998841335772,0.875,0.0,0,FUDS+US06,aa74c95e4ccb9756631f45832a3a890c580960f97746cc352518b41520259f9a,16,48,False,8,0.99,4.0,0.5
DST,58,False,3.1752545794654665,0.15336646013929156,0.9204781414512097,8.451919136805898,0.875,0.0,0,FUDS+US06,aa74c95e4ccb9756631f45832a3a890c580960f97746cc352518b41520259f9a,16,48,False,8,0.99,4.0,0.9
DST,59,False,3.1752408895655932,0.15327192327997383,0.9203257719646447,8.452124973452163,0.875,0.0,0,FUDS+US06,aa74c95e4ccb9756631f45832a3a890c580960f97746cc352518b41520259f9a,16,48,False,8,0.99,4.0,0.99
DST,60,False,3.175212278486642,0.15327072039320735,0.9203257316114591,8.452040383455259,0.875,0.0,0,FUDS+US06,aa74c95e4ccb9756631f45832a3a890c580960f97746cc352518b41520259f9a,16,48,False,8,0.99,9.0,0.0
DST,61,False,3.1752076888334315,0.15327095476745206,0.920325752722574,8.452026359010269,0.875,0.0,0,FUDS+US06,aa74c95e4ccb9756631f45832a3a890c580960f97746cc352518b41520259f9a,16,48,False,8,0.99,9.0,0.5
DST,62,False,3.175220649905502,0.15327192147875981,0.9203257719646447,8.452064256273102,0.875,0.0,0,FUDS+US06,aa74c95e4ccb9756631f45832a3a890c580960f97746cc352518b41520259f9a,16,48,False,8,0.99,9.0,0.9
DST,63,False,3.1752434856828002,0.15327192327997383,0.9203257719646447,8.452132761803783,0.875,0.0,0,FUDS+US06,aa74c95e4ccb9756631f45832a3a890c580960f97746cc352518b41520259f9a,16,48,False,8,0.99,9.0,0.99
DST,64,False,3.1782177966813254,0.1599573818274181,0.9227295667680938,8.451966441448464,0.875,0.0,0,FUDS+US06,aa74c95e4ccb9756631f45832a3a890c580960f97746cc352518b41520259f9a,16,48,False,8,0.995,1.0,0.0
DST,65,False,3.1783392395740493,0.15998260712418405,0.9230663599051762,8.451968751692789,0.875,0.0,0,FUDS+US06,aa74c95e4ccb9756631f45832a3a890c580960f97746cc352518b41520259f9a,16,48,False,8,0.995,1.0,0.5
