chemistry,feature,fold,seed,temperature_C,samples_compared,reevaluated_mae_pct,locked_mae_pct,abs_mae_delta_pct,max_abs_prediction_delta_fraction,deterministic_bit_identical,atol,passed,package_path,locked_prediction_path
LFP,T6,DST,2,25.0,7319,0.29924376378890444,0.2992437573438994,6.445005029664941e-09,2.980194091506405e-08,True,1e-06,True,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/t6_plain_downstream_20260804/inference_pkg_lfp/T6/DST/2,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/normalhead_auxoff/runs/lfp/nmc_goal_vcorr_it_train_dst_selector_results/normalauxoff_lfp_gru_normal_t6_holdoutdst_s0123456789_b2048_e200_seed2_sel200_condinv_trainDST25_selected_seed2_ep200_base_test_prediction_rows.csv.gz
LFP,T6,DST,2,30.0,7391,0.2985414596567165,0.2985414640373428,4.380626250632957e-09,2.9796600298226394e-08,True,1e-06,True,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/t6_plain_downstream_20260804/inference_pkg_lfp/T6/DST/2,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/normalhead_auxoff/runs/lfp/nmc_goal_vcorr_it_train_dst_selector_results/normalauxoff_lfp_gru_normal_t6_holdoutdst_s0123456789_b2048_e200_seed2_sel200_condinv_trainDST25_selected_seed2_ep200_base_test_prediction_rows.csv.gz
LFP,T6,DST,2,40.0,7397,0.4166782078778899,0.41667819947275925,8.40513064703785e-09,2.9776763943445417e-08,True,1e-06,True,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/t6_plain_downstream_20260804/inference_pkg_lfp/T6/DST/2,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/normalhead_auxoff/runs/lfp/nmc_goal_vcorr_it_train_dst_selector_results/normalauxoff_lfp_gru_normal_t6_holdoutdst_s0123456789_b2048_e200_seed2_sel200_condinv_trainDST25_selected_seed2_ep200_base_test_prediction_rows.csv.gz
LFP,T6,DST,2,50.0,7415,0.47751406053883866,0.4775140520971004,8.441738252873421e-09,2.980117796980153e-08,True,1e-06,True,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/t6_plain_downstream_20260804/inference_pkg_lfp/T6/DST/2,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/normalhead_auxoff/runs/lfp/nmc_goal_vcorr_it_train_dst_selector_results/normalauxoff_lfp_gru_normal_t6_holdoutdst_s0123456789_b2048_e200_seed2_sel200_condinv_trainDST25_selected_seed2_ep200_base_test_prediction_rows.csv.gz
LFP,T6,FUDS,0,-10.0,5621,1.6772213732438561,1.6772213677281624,5.515693679569722e-09,2.9799652079276484e-08,True,1e-06,True,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/t6_plain_downstream_20260804/inference_pkg_lfp/T6/FUDS/0,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/normalhead_auxoff/runs/lfp/nmc_goal_vcorr_it_train_dst_selector_results/normalauxoff_lfp_gru_normal_t6_holdoutfuds_s0123456789_b2048_e200_seed0_sel200_condinv_trainDST25_selected_seed0_ep200_base_test_prediction_rows.csv.gz
LFP,T6,FUDS,0,0.0,6965,0.842287029986032,0.8422870604594401,3.047340813022714e-08,2.9799652079276484e-08,True,1e-06,True,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/t6_plain_downstream_20260804/inference_pkg_lfp/T6/FUDS/0,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/normalhead_auxoff/runs/lfp/nmc_goal_vcorr_it_train_dst_selector_results/normalauxoff_lfp_gru_normal_t6_holdoutfuds_s0123456789_b2048_e200_seed0_sel200_condinv_trainDST25_selected_seed0_ep200_base_test_prediction_rows.csv.gz
LFP,T6,FUDS,0,10.0,7021,0.6578626309402631,0.6578626431562455,1.22159824478274e-08,2.9798889134013962e-08,True,1e-06,True,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/t6_plain_downstream_20260804/inference_pkg_lfp/T6/FUDS/0,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/normalhead_auxoff/runs/lfp/nmc_goal_vcorr_it_train_dst_selector_results/normalauxoff_lfp_gru_normal_t6_holdoutfuds_s0123456789_b2048_e200_seed0_sel200_condinv_trainDST25_selected_seed0_ep200_base_test_prediction_rows.csv.gz
LFP,T6,FUDS,0,20.0,7249,0.48850276306388996,0.4885027694716513,6.407761321547412e-09,2.9796600298226394e-08,True,1e-06,True,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/t6_plain_downstream_20260804/inference_pkg_lfp/T6/FUDS/0,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/normalhead_auxoff/runs/lfp/nmc_goal_vcorr_it_train_dst_selector_results/normalauxoff_lfp_gru_normal_t6_holdoutfuds_s0123456789_b2048_e200_seed0_sel200_condinv_trainDST25_selected_seed0_ep200_base_test_prediction_rows.csv.gz
LFP,T6,FUDS,0,25.0,7323,0.4917588320898312,0.4917588368155127,4.7256815127738605e-09,2.9800415024539006e-08,True,1e-06,True,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/t6_plain_downstream_20260804/inference_pkg_lfp/T6/FUDS/0,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/normalhead_auxoff/runs/lfp/nmc_goal_vcorr_it_train_dst_selector_results/normalauxoff_lfp_gru_normal_t6_holdoutfuds_s0123456789_b2048_e200_seed0_sel200_condinv_trainDST25_selected_seed0_ep200_base_test_prediction_rows.csv.gz
LFP,T6,FUDS,0,30.0,7397,0.5067357589193302,0.5067357821819656,2.326263537355544e-08,2.978439328504834e-08,True,1e-06,True,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/t6_plain_downstream_20260804/inference_pkg_lfp/T6/FUDS/0,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/normalhead_auxoff/runs/lfp/nmc_goal_vcorr_it_train_dst_selector_results/normalauxoff_lfp_gru_normal_t6_holdoutfuds_s0123456789_b2048_e200_seed0_sel200_condinv_trainDST25_selected_seed0_ep200_base_test_prediction_rows.csv.gz
