feature,holdout,seed,temperature_C,all8_train_all8_test,core4_train_all8_test,core4_minus_all8_MAE_pct,temperature_scope,gap
G0,DST,2,40.0,1.443001542104907,1.58972797062456,0.146726428519653,unseen,25_to_50_gap
G0,DST,2,50.0,1.1792026479261917,1.4866643971232891,0.30746174919709746,seen,seen_temperature
G0,FUDS,0,-10.0,4.8771566225739695,4.400716746665685,-0.4764398759082846,seen,seen_temperature
G0,FUDS,0,0.0,3.635744521366292,3.2531173915548117,-0.38262712981148006,seen,seen_temperature
G0,FUDS,0,10.0,3.30537912292437,3.3924217425152,0.08704261959083004,unseen,0_to_25_gap
G0,FUDS,0,20.0,2.497581492326789,2.1198795818266234,-0.37770191050016555,unseen,0_to_25_gap
G0,FUDS,0,25.0,2.5454327787643867,2.0994856304505736,-0.4459471483138131,seen,seen_temperature
G0,FUDS,0,30.0,1.9073134937108456,1.6655073240671316,-0.24180616964371393,unseen,25_to_50_gap
G0,FUDS,0,40.0,1.575776466352402,1.418099116481052,-0.15767734987135018,unseen,25_to_50_gap
G0,FUDS,0,50.0,1.249447171450134,1.1923132002629433,-0.05713397118719077,seen,seen_temperature
G0,FUDS,1,-10.0,4.598713514962202,4.467107816600137,-0.1316056983620646,seen,seen_temperature
G0,FUDS,1,0.0,3.442799004392494,3.319287176878437,-0.12351182751405698,seen,seen_temperature
G0,FUDS,1,10.0,3.1195411687562173,3.396969251764447,0.27742808300822963,unseen,0_to_25_gap
G0,FUDS,1,20.0,2.3347736687672715,2.1669461638668617,-0.16782750490040987,unseen,0_to_25_gap
G0,FUDS,1,25.0,2.35694367980332,2.119789048001754,-0.23715463180156604,seen,seen_temperature
G0,FUDS,1,30.0,1.7997569516976009,1.6973522461409891,-0.10240470555661174,unseen,25_to_50_gap
G0,FUDS,1,40.0,1.5015861272083555,1.4385556902349004,-0.06303043697345512,unseen,25_to_50_gap
G0,FUDS,1,50.0,1.2392228002667978,1.170289518812675,-0.06893328145412281,seen,seen_temperature
G0,FUDS,2,-10.0,4.260128898735976,4.013055619173808,-0.2470732795621684,seen,seen_temperature
G0,FUDS,2,0.0,3.1656252062757155,3.052845850148308,-0.11277935612740775,seen,seen_temperature
G0,FUDS,2,10.0,2.8001837098111184,3.13460876112768,0.33442505131656164,unseen,0_to_25_gap
G0,FUDS,2,20.0,2.1219567292837427,1.9634355494262008,-0.15852117985754188,unseen,0_to_25_gap
G0,FUDS,2,25.0,2.013732363711155,1.9557560628088515,-0.057976300902303546,seen,seen_temperature
G0,FUDS,2,30.0,1.6272281075838984,1.6038763050906026,-0.023351802493295715,unseen,25_to_50_gap
G0,FUDS,2,40.0,1.3138446726794577,1.4451827957329642,0.13133812305350645,unseen,25_to_50_gap
G0,FUDS,2,50.0,1.14195326110502,1.1766476743046368,0.03469441319961675,seen,seen_temperature
G0,US06,0,-10.0,4.817735698052713,4.921062109234828,0.10332641118211505,seen,seen_temperature
G0,US06,0,0.0,3.1576503573758194,3.281466441541518,0.12381608416569856,seen,seen_temperature
G0,US06,0,10.0,2.732446329438068,2.775093405814162,0.042647076376093995,unseen,0_to_25_gap
G0,US06,0,20.0,2.238708406421351,2.7252107436577933,0.4865023372364421,unseen,0_to_25_gap
G0,US06,0,25.0,1.7704602328765993,1.872474317545137,0.10201408466853779,seen,seen_temperature
G0,US06,0,30.0,1.865626074128334,1.8954931292348025,0.029867055106468587,unseen,25_to_50_gap
G0,US06,0,40.0,1.2685182432291624,1.269334241317308,0.0008159980881456974,unseen,25_to_50_gap
G0,US06,0,50.0,0.993016276753572,1.057296867381327,0.06428059062775504,seen,seen_temperature
G0,US06,1,-10.0,4.633910564874994,4.720294161660439,0.08638359678544472,seen,seen_temperature
G0,US06,1,0.0,3.1330819385419644,3.156634114436473,0.023552175894508753,seen,seen_temperature
G0,US06,1,10.0,2.7229514362306286,2.725947705990885,0.0029962697602563537,unseen,0_to_25_gap
G0,US06,1,20.0,2.305334933501366,2.677102016870045,0.3717670833686788,unseen,0_to_25_gap
G0,US06,1,25.0,1.9001077625471243,1.8322022443019248,-0.06790551824519953,seen,seen_temperature
G0,US06,1,30.0,1.9051400942715333,1.8021867067097557,-0.10295338756177763,unseen,25_to_50_gap
G0,US06,1,40.0,1.4676401000194268,1.1562171420889726,-0.31142295793045416,unseen,25_to_50_gap
G0,US06,1,50.0,1.2863964026667147,1.1494387663637002,-0.1369576363030145,seen,seen_temperature
G0,US06,2,-10.0,4.488391230493884,5.149561644686116,0.6611704141922319,seen,seen_temperature
G0,US06,2,0.0,2.969660191418156,3.4628351950132967,0.49317500359514055,seen,seen_temperature
G0,US06,2,10.0,2.431422738701446,3.110262634177539,0.6788398954760928,unseen,0_to_25_gap
G0,US06,2,20.0,1.9158403827145356,3.171292301998954,1.2554519192844185,unseen,0_to_25_gap
G0,US06,2,25.0,1.4906834368769253,2.149889237216669,0.6592058003397436,seen,seen_temperature
G0,US06,2,30.0,1.509786293384207,2.0344284718180328,0.5246421784338258,unseen,25_to_50_gap
G0,US06,2,40.0,1.1440196198590462,1.316586118755919,0.1725664988968727,unseen,25_to_50_gap
G0,US06,2,50.0,0.996742153382154,1.2676178303376018,0.2708756769554478,seen,seen_temperature
G4,DST,0,-10.0,0.6765467252977256,0.7474618745965966,0.070915149298871,seen,seen_temperature
G4,DST,0,0.0,0.5264274185162365,0.6072331003798946,0.08080568186365811,seen,seen_temperature
G4,DST,0,10.0,0.4872115182937624,0.5608281799645194,0.07361666167075698,unseen,0_to_25_gap
G4,DST,0,20.0,0.5098093630756791,0.7571279558886961,0.24731859281301694,unseen,0_to_25_gap
G4,DST,0,25.0,0.4308859830281173,0.4557685825013287,0.024882599473211364,seen,seen_temperature
G4,DST,0,30.0,0.4293983964245207,0.5190016274651564,0.08960323104063572,unseen,25_to_50_gap
G4,DST,0,40.0,0.4879431586273944,0.4859025935732192,-0.002040565054175214,unseen,25_to_50_gap
G4,DST,0,50.0,0.5796347995585714,0.6742078905883707,0.09457309102979927,seen,seen_temperature
G4,DST,1,-10.0,0.8397004529193344,0.6917387116148911,-0.14796174130444328,seen,seen_temperature
G4,DST,1,0.0,0.7365264057702093,0.5470485527142648,-0.18947785305594456,seen,seen_temperature
G4,DST,1,10.0,0.5419944457115311,0.6150303321345197,0.07303588642298864,unseen,0_to_25_gap
G4,DST,1,20.0,0.5042980615843549,0.796851580682654,0.2925535190982992,unseen,0_to_25_gap
G4,DST,1,25.0,0.6105514738236901,0.4677373490904928,-0.14281412473319732,seen,seen_temperature
G4,DST,1,30.0,0.4662402378433757,0.6642819676730197,0.19804172982964402,unseen,25_to_50_gap
G4,DST,1,40.0,0.6484000847535277,0.5631795795895014,-0.08522050516402635,unseen,25_to_50_gap
G4,DST,1,50.0,0.7928673865742083,0.6463719732602223,-0.14649541331398597,seen,seen_temperature
G4,DST,2,-10.0,0.7231552940157332,0.6624675958409351,-0.06068769817479813,seen,seen_temperature
G4,DST,2,0.0,0.5263344706525475,0.5434196725489943,0.0170852018964468,seen,seen_temperature
G4,DST,2,10.0,0.4947092315750871,0.7995622949162108,0.30485306334112366,unseen,0_to_25_gap
G4,DST,2,20.0,0.5126978432734478,0.6207272472018738,0.10802940392842597,unseen,0_to_25_gap
G4,DST,2,25.0,0.4379792411497731,0.4455866978490657,0.007607456699292581,seen,seen_temperature
G4,DST,2,30.0,0.4163878129503108,0.7368243058372005,0.3204364928868897,unseen,25_to_50_gap
G4,DST,2,40.0,0.5121559690297802,0.6259023031222106,0.1137463340924304,unseen,25_to_50_gap
G4,DST,2,50.0,0.5445420139155834,0.5136466347841661,-0.030895379131417378,seen,seen_temperature
G4,FUDS,0,-10.0,0.9807968071783338,1.106158509158596,0.12536170198026209,seen,seen_temperature
G4,FUDS,0,0.0,0.860925624461287,0.9326054462835418,0.07167982182225485,seen,seen_temperature
G4,FUDS,0,10.0,0.9547507078656784,1.4274121757043323,0.4726614678386539,unseen,0_to_25_gap
G4,FUDS,0,20.0,0.9271777486912972,0.9779327646553606,0.0507550159640634,unseen,0_to_25_gap
G4,FUDS,0,25.0,1.0635574707548003,1.0898477699397513,0.02629029918495096,seen,seen_temperature
G4,FUDS,0,30.0,1.021939824686931,1.0140252819218571,-0.007914542765073751,unseen,25_to_50_gap
G4,FUDS,0,40.0,1.0580312399801497,1.0424977359677996,-0.015533504012350097,unseen,25_to_50_gap
G4,FUDS,0,50.0,1.1277372744094434,0.9881428465178212,-0.13959442789162213,seen,seen_temperature
G4,FUDS,1,-10.0,1.0319027224589743,1.1294606019966629,0.09755787953768857,seen,seen_temperature
G4,FUDS,1,0.0,0.9224509593829436,1.0236285918921082,0.10117763250916456,seen,seen_temperature
G4,FUDS,1,10.0,0.9104243575838994,1.62727740089059,0.7168530433066905,unseen,0_to_25_gap
G4,FUDS,1,20.0,0.6971771346402836,0.9239096233048494,0.22673248866456575,unseen,0_to_25_gap
G4,FUDS,1,25.0,0.8191232291886704,0.9382384145388458,0.1191151853501754,seen,seen_temperature
G4,FUDS,1,30.0,0.6663694113545343,0.7829077907457568,0.11653837939122247,unseen,25_to_50_gap
G4,FUDS,1,40.0,0.6753201914713952,0.8125760542917322,0.13725586282033697,unseen,25_to_50_gap
G4,FUDS,1,50.0,0.8917771209885723,0.7534627511023845,-0.13831436988618784,seen,seen_temperature
G4,FUDS,2,-10.0,0.9035746369618916,1.233507708454658,0.3299330714927664,seen,seen_temperature
G4,FUDS,2,0.0,0.7919464775408589,1.0017412323277373,0.20979475478687837,seen,seen_temperature
G4,FUDS,2,10.0,0.6823431136448183,1.697840471244609,1.0154973575997905,unseen,0_to_25_gap
G4,FUDS,2,20.0,0.6328990359456971,0.8219229038673723,0.18902386792167525,unseen,0_to_25_gap
G4,FUDS,2,25.0,0.6777852834711695,0.8806584426065164,0.20287315913534687,seen,seen_temperature
G4,FUDS,2,30.0,0.682260383540462,0.7755399282129773,0.09327954467251531,unseen,25_to_50_gap
G4,FUDS,2,40.0,0.7155667929586652,0.8436920443669245,0.12812525140825926,unseen,25_to_50_gap
G4,FUDS,2,50.0,0.8979884181996488,0.700704703170262,-0.1972837150293868,seen,seen_temperature
G4,US06,0,-10.0,1.453077078007207,1.5404268293847094,0.08734975137750234,seen,seen_temperature
G4,US06,0,0.0,0.5232995199705875,0.5452199360098179,0.02192041603923034,seen,seen_temperature
G4,US06,0,10.0,0.5955401582634252,0.843020284337134,0.24748012607370884,unseen,0_to_25_gap
G4,US06,0,20.0,0.8138198159109643,0.687949719055149,-0.1258700968558153,unseen,0_to_25_gap
G4,US06,0,25.0,1.1698136077012775,0.9746835144807232,-0.1951300932205543,seen,seen_temperature
G4,US06,0,30.0,0.824006814571245,0.7479053734875781,-0.0761014410836669,unseen,25_to_50_gap
G4,US06,0,40.0,0.7665877152362955,0.6685030880404493,-0.09808462719584621,unseen,25_to_50_gap
G4,US06,0,50.0,0.6351220232506292,0.6094678825980965,-0.025654140652532686,seen,seen_temperature
G4,US06,1,-10.0,1.6605215576751895,2.086876321844336,0.4263547641691463,seen,seen_temperature
G4,US06,1,0.0,0.6006508711862916,0.7386298603379731,0.1379789891516815,seen,seen_temperature
G4,US06,1,10.0,0.4833097246651205,0.6126333739687717,0.1293236493036512,unseen,0_to_25_gap
G4,US06,1,20.0,0.4221309169502497,0.6303020194771168,0.20817110252686716,unseen,0_to_25_gap
G4,US06,1,25.0,0.4449980895368778,0.572617280393511,0.1276191908566332,seen,seen_temperature
G4,US06,1,30.0,0.3967023111840178,0.575168709197388,0.17846639801337028,unseen,25_to_50_gap
G4,US06,1,40.0,0.4069855382864201,0.4785586571172562,0.07157311883083611,unseen,25_to_50_gap
G4,US06,1,50.0,0.3299709817812374,0.411434016782558,0.08146303500132057,seen,seen_temperature
G4,US06,2,-10.0,1.5402872617635084,1.377034040989911,-0.1632532207735975,seen,seen_temperature
G4,US06,2,0.0,0.7088448858276406,0.8179533355389799,0.10910844971133926,seen,seen_temperature
G4,US06,2,10.0,0.6096508734396703,0.9326779011260954,0.3230270276864251,unseen,0_to_25_gap
G4,US06,2,20.0,0.7528480682464948,0.9473486788378336,0.19450061059133883,unseen,0_to_25_gap
G4,US06,2,25.0,0.8732516294831683,1.1852410672093376,0.3119894377261694,seen,seen_temperature
G4,US06,2,30.0,0.7934135652078786,1.0195805360203456,0.22616697081246695,unseen,25_to_50_gap
G4,US06,2,40.0,0.7975556146434868,0.993551199834392,0.1959955851909052,unseen,25_to_50_gap
G4,US06,2,50.0,0.6719711793145817,1.0754734830550765,0.4035023037404948,seen,seen_temperature
T6,DST,0,-10.0,0.8674451068342587,1.0254902188393085,0.15804511200504978,seen,seen_temperature
T6,DST,0,0.0,0.5738560075149456,0.6760947333695988,0.10223872585465321,seen,seen_temperature
T6,DST,0,10.0,0.4261468140435683,0.8302753450792183,0.40412853103565,unseen,0_to_25_gap
T6,DST,0,20.0,0.3765257324500619,0.5530063068041763,0.1764805743541144,unseen,0_to_25_gap
T6,DST,0,25.0,0.3182328191997738,0.3979621762248202,0.07972935702504641,seen,seen_temperature
T6,DST,0,30.0,0.371307933819244,0.4875904328928573,0.11628249907361332,unseen,25_to_50_gap
T6,DST,0,40.0,0.4650138504878723,0.4407166959273423,-0.02429715456053,unseen,25_to_50_gap
T6,DST,0,50.0,0.4877703517816072,0.5404286222207089,0.05265827043910165,seen,seen_temperature
T6,DST,1,-10.0,0.8432175345725977,0.9595834354958084,0.11636590092321064,seen,seen_temperature
T6,DST,1,0.0,0.558349275281629,0.710092272077288,0.15174299679565895,seen,seen_temperature
T6,DST,1,10.0,0.4590801622328082,0.6373616154002967,0.1782814531674885,unseen,0_to_25_gap
T6,DST,1,20.0,0.4300340135004817,0.7467565965087151,0.31672258300823336,unseen,0_to_25_gap
T6,DST,1,25.0,0.4141202991265126,0.3961901079030095,-0.01793019122350309,seen,seen_temperature
T6,DST,1,30.0,0.4977270644276572,0.5928326130493974,0.0951055486217402,unseen,25_to_50_gap
T6,DST,1,40.0,0.562302328467901,0.5022932931315468,-0.060009035336354155,unseen,25_to_50_gap
T6,DST,1,50.0,0.6190198696069595,0.4099296116780688,-0.20909025792889074,seen,seen_temperature
T6,DST,2,-10.0,0.7923602238083978,0.7919621034930064,-0.000398120315391326,seen,seen_temperature
T6,DST,2,0.0,0.5314466424689552,0.5848494378045445,0.053402795335589226,seen,seen_temperature
T6,DST,2,10.0,0.400702217669291,0.6989180550027955,0.2982158373335045,unseen,0_to_25_gap
T6,DST,2,20.0,0.3224268214644102,0.7250677891792526,0.4026409677148424,unseen,0_to_25_gap
T6,DST,2,25.0,0.2992437802502522,0.3716183280436649,0.07237454779341268,seen,seen_temperature
T6,DST,2,30.0,0.2985414802552302,0.550848646425875,0.25230716617064486,unseen,25_to_50_gap
T6,DST,2,40.0,0.4166782152109635,0.4144661391411534,-0.0022120760698101094,unseen,25_to_50_gap
T6,DST,2,50.0,0.4775140676157585,0.4606285821885092,-0.01688548542724927,seen,seen_temperature
T6,FUDS,0,-10.0,1.677221404426655,1.5622535478896973,-0.11496785653695762,seen,seen_temperature
T6,FUDS,0,0.0,0.8422870047213957,0.7887686146135733,-0.053518390107822444,seen,seen_temperature
T6,FUDS,0,10.0,0.6578626090721975,1.0222497887632445,0.36438717969104695,unseen,0_to_25_gap
T6,FUDS,0,20.0,0.4885027418137912,0.6810057391823037,0.19250299736851245,unseen,0_to_25_gap
T6,FUDS,0,25.0,0.4917588273667905,0.5297853828502063,0.03802655548341577,seen,seen_temperature
T6,FUDS,0,30.0,0.5067357762981238,0.7636576548482624,0.2569218785501386,unseen,25_to_50_gap
T6,FUDS,0,40.0,0.5663075790982874,0.7804123778032234,0.21410479870493593,unseen,25_to_50_gap
T6,FUDS,0,50.0,0.69982574778681,0.7953576433367077,0.09553189554989772,seen,seen_temperature
T6,FUDS,1,-10.0,1.4694975313608427,1.4811578413660131,0.011660310005170427,seen,seen_temperature
T6,FUDS,1,0.0,0.7668101624970117,0.76883874689172,0.0020285843947083215,seen,seen_temperature
T6,FUDS,1,10.0,0.583283124596895,1.1104030633580564,0.5271199387611614,unseen,0_to_25_gap
T6,FUDS,1,20.0,0.4318322875874998,0.5880463047674861,0.1562140171799863,unseen,0_to_25_gap
T6,FUDS,1,25.0,0.4648674190426954,0.4670438814664593,0.002176462423763903,seen,seen_temperature
T6,FUDS,1,30.0,0.5026806201808466,0.6905843168235202,0.1879036966426736,unseen,25_to_50_gap
T6,FUDS,1,40.0,0.6032694825329364,0.721345332248671,0.1180758497157346,unseen,25_to_50_gap
T6,FUDS,1,50.0,0.7391466483010887,0.7304549981487246,-0.008691650152364061,seen,seen_temperature
T6,FUDS,2,-10.0,1.6145349206332316,1.676920422708579,0.06238550207534743,seen,seen_temperature
T6,FUDS,2,0.0,0.8290228284012904,0.9139965920677652,0.0849737636664748,seen,seen_temperature
T6,FUDS,2,10.0,0.6617689587726602,1.0900884828511814,0.42831952407852125,unseen,0_to_25_gap
T6,FUDS,2,20.0,0.4468991906416961,0.6129005379899812,0.16600134734828514,unseen,0_to_25_gap
T6,FUDS,2,25.0,0.48945825574959,0.5200775500189065,0.030619294269316533,seen,seen_temperature
T6,FUDS,2,30.0,0.5298237615587648,0.664857247076567,0.13503348551780225,unseen,25_to_50_gap
T6,FUDS,2,40.0,0.5435030209240741,0.708597801108176,0.16509478018410195,unseen,25_to_50_gap
T6,FUDS,2,50.0,0.7175549977044751,0.7589495197795356,0.04139452207506056,seen,seen_temperature
T6,US06,0,-10.0,2.1343330514711853,2.275671172533808,0.14133812106262278,seen,seen_temperature
T6,US06,0,0.0,0.925504522595912,0.9763987048298722,0.05089418223396025,seen,seen_temperature
T6,US06,0,10.0,0.6996239846043695,0.8719343194214431,0.17231033481707358,unseen,0_to_25_gap
T6,US06,0,20.0,0.5215492104418801,1.0293040541527585,0.5077548437108784,unseen,0_to_25_gap
T6,US06,0,25.0,0.4061941404734723,0.3869280693637338,-0.019266071109738492,seen,seen_temperature
T6,US06,0,30.0,0.3959711174407349,0.4508244396370468,0.05485332219631195,unseen,25_to_50_gap
T6,US06,0,40.0,0.3402153474499929,0.4804440154585727,0.1402286680085798,unseen,25_to_50_gap
T6,US06,0,50.0,0.325329140239113,0.4885785227213233,0.16324938248221027,seen,seen_temperature
T6,US06,1,-10.0,2.180956264836461,2.1373722723653303,-0.04358399247113054,seen,seen_temperature
T6,US06,1,0.0,0.9099331122390116,0.8934135501263117,-0.016519562112699893,seen,seen_temperature
T6,US06,1,10.0,0.7182486755135191,0.7777640914179798,0.05951541590446063,unseen,0_to_25_gap
T6,US06,1,20.0,0.4467414702650647,0.8897562569328461,0.4430147866677814,unseen,0_to_25_gap
T6,US06,1,25.0,0.370730539933753,0.3790663064527042,0.008335766518951238,seen,seen_temperature
T6,US06,1,30.0,0.3331234793551239,0.502300783659629,0.16917730430450517,unseen,25_to_50_gap
T6,US06,1,40.0,0.345667685481173,0.5533858031097477,0.20771811762857473,unseen,25_to_50_gap
T6,US06,1,50.0,0.3823346539519354,0.5521134354546876,0.16977878150275222,seen,seen_temperature
T6,US06,2,-10.0,2.095748155193975,2.4493240691770115,0.35357591398303656,seen,seen_temperature
T6,US06,2,0.0,0.9368434103781268,1.1343595573907483,0.19751614701262155,seen,seen_temperature
T6,US06,2,10.0,0.6134577876340941,1.1455510795710078,0.5320932919369137,unseen,0_to_25_gap
T6,US06,2,20.0,0.4351071683764197,1.261202316768745,0.8260951483923252,unseen,0_to_25_gap
T6,US06,2,25.0,0.3182851239719622,0.448146909389043,0.12986178541708082,seen,seen_temperature
T6,US06,2,30.0,0.3346770577476674,0.5164315267447925,0.18175446899712516,unseen,25_to_50_gap
T6,US06,2,40.0,0.3450409764551293,0.3416914676090963,-0.0033495088460330225,unseen,25_to_50_gap
T6,US06,2,50.0,0.4335566810706547,0.3675871447541192,-0.06596953631653552,seen,seen_temperature
T7,DST,0,-10.0,1.123029331764724,1.232630484652952,0.10960115288822814,seen,seen_temperature
T7,DST,0,0.0,0.9918029904097492,0.9140454602373752,-0.07775753017237397,seen,seen_temperature
