analysis_stage,chemistry,feature,head,aux_config,holdout,seed,temperature_C,mae_pct,rmse_pct,source_file
t6_plain_review_defense_c1,LFP,RAW_W200,plain_linear,all_off,DST,2,40.0,1.090860427684318,1.5012885987882738,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/t6_plain_downstream_20260804/c1_baselines/runs/c1_baselines/nmc_goal_vcorr_it_train_dst_selector_results/t6plain_c1_all8_train_all8_test_gru_normal_auxoff_raw_w200_holdoutdst_s012_b2048_e200_by_temperature.csv
t6_plain_review_defense_c1,LFP,RAW_W200,plain_linear,all_off,DST,2,50.0,0.9969937153216976,1.3485497660854568,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/t6_plain_downstream_20260804/c1_baselines/runs/c1_baselines/nmc_goal_vcorr_it_train_dst_selector_results/t6plain_c1_all8_train_all8_test_gru_normal_auxoff_raw_w200_holdoutdst_s012_b2048_e200_by_temperature.csv
t6_plain_review_defense_c1,LFP,RAW_W200,plain_linear,all_off,FUDS,0,-10.0,3.951205694790929,4.788945794033701,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/t6_plain_downstream_20260804/c1_baselines/runs/c1_baselines/nmc_goal_vcorr_it_train_dst_selector_results/t6plain_c1_all8_train_all8_test_gru_normal_auxoff_raw_w200_holdoutfuds_s012_b2048_e200_by_temperature.csv
t6_plain_review_defense_c1,LFP,RAW_W200,plain_linear,all_off,FUDS,0,0.0,3.013568116913625,3.865640361691932,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/t6_plain_downstream_20260804/c1_baselines/runs/c1_baselines/nmc_goal_vcorr_it_train_dst_selector_results/t6plain_c1_all8_train_all8_test_gru_normal_auxoff_raw_w200_holdoutfuds_s012_b2048_e200_by_temperature.csv
t6_plain_review_defense_c1,LFP,RAW_W200,plain_linear,all_off,FUDS,0,10.0,2.760044124133027,3.531774660972792,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/t6_plain_downstream_20260804/c1_baselines/runs/c1_baselines/nmc_goal_vcorr_it_train_dst_selector_results/t6plain_c1_all8_train_all8_test_gru_normal_auxoff_raw_w200_holdoutfuds_s012_b2048_e200_by_temperature.csv
t6_plain_review_defense_c1,LFP,RAW_W200,plain_linear,all_off,FUDS,0,20.0,2.062495323382124,2.754610605821181,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/t6_plain_downstream_20260804/c1_baselines/runs/c1_baselines/nmc_goal_vcorr_it_train_dst_selector_results/t6plain_c1_all8_train_all8_test_gru_normal_auxoff_raw_w200_holdoutfuds_s012_b2048_e200_by_temperature.csv
t6_plain_review_defense_c1,LFP,RAW_W200,plain_linear,all_off,FUDS,0,25.0,2.022992127047711,2.737410658701495,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/t6_plain_downstream_20260804/c1_baselines/runs/c1_baselines/nmc_goal_vcorr_it_train_dst_selector_results/t6plain_c1_all8_train_all8_test_gru_normal_auxoff_raw_w200_holdoutfuds_s012_b2048_e200_by_temperature.csv
t6_plain_review_defense_c1,LFP,RAW_W200,plain_linear,all_off,FUDS,0,30.0,1.5372669448420906,2.160508671404347,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/t6_plain_downstream_20260804/c1_baselines/runs/c1_baselines/nmc_goal_vcorr_it_train_dst_selector_results/t6plain_c1_all8_train_all8_test_gru_normal_auxoff_raw_w200_holdoutfuds_s012_b2048_e200_by_temperature.csv
t6_plain_review_defense_c1,LFP,RAW_W200,plain_linear,all_off,FUDS,0,40.0,1.2657812188062294,1.8620499593633972,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/t6_plain_downstream_20260804/c1_baselines/runs/c1_baselines/nmc_goal_vcorr_it_train_dst_selector_results/t6plain_c1_all8_train_all8_test_gru_normal_auxoff_raw_w200_holdoutfuds_s012_b2048_e200_by_temperature.csv
t6_plain_review_defense_c1,LFP,RAW_W200,plain_linear,all_off,FUDS,0,50.0,1.0105042705162908,1.5092487464089237,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/t6_plain_downstream_20260804/c1_baselines/runs/c1_baselines/nmc_goal_vcorr_it_train_dst_selector_results/t6plain_c1_all8_train_all8_test_gru_normal_auxoff_raw_w200_holdoutfuds_s012_b2048_e200_by_temperature.csv
t6_plain_review_defense_c1,LFP,RAW_W200,plain_linear,all_off,FUDS,1,-10.0,3.9860262597986473,4.852802947287641,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/t6_plain_downstream_20260804/c1_baselines/runs/c1_baselines/nmc_goal_vcorr_it_train_dst_selector_results/t6plain_c1_all8_train_all8_test_gru_normal_auxoff_raw_w200_holdoutfuds_s012_b2048_e200_by_temperature.csv
t6_plain_review_defense_c1,LFP,RAW_W200,plain_linear,all_off,FUDS,1,0.0,2.956534901350977,3.8365547762467354,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/t6_plain_downstream_20260804/c1_baselines/runs/c1_baselines/nmc_goal_vcorr_it_train_dst_selector_results/t6plain_c1_all8_train_all8_test_gru_normal_auxoff_raw_w200_holdoutfuds_s012_b2048_e200_by_temperature.csv
t6_plain_review_defense_c1,LFP,RAW_W200,plain_linear,all_off,FUDS,1,10.0,2.751144500057036,3.5824810965374163,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/t6_plain_downstream_20260804/c1_baselines/runs/c1_baselines/nmc_goal_vcorr_it_train_dst_selector_results/t6plain_c1_all8_train_all8_test_gru_normal_auxoff_raw_w200_holdoutfuds_s012_b2048_e200_by_temperature.csv
t6_plain_review_defense_c1,LFP,RAW_W200,plain_linear,all_off,FUDS,1,20.0,2.1828309266159844,2.9490558820655104,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/t6_plain_downstream_20260804/c1_baselines/runs/c1_baselines/nmc_goal_vcorr_it_train_dst_selector_results/t6plain_c1_all8_train_all8_test_gru_normal_auxoff_raw_w200_holdoutfuds_s012_b2048_e200_by_temperature.csv
t6_plain_review_defense_c1,LFP,RAW_W200,plain_linear,all_off,FUDS,1,25.0,2.2593420784659224,3.10557861424245,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/t6_plain_downstream_20260804/c1_baselines/runs/c1_baselines/nmc_goal_vcorr_it_train_dst_selector_results/t6plain_c1_all8_train_all8_test_gru_normal_auxoff_raw_w200_holdoutfuds_s012_b2048_e200_by_temperature.csv
t6_plain_review_defense_c1,LFP,RAW_W200,plain_linear,all_off,FUDS,1,30.0,1.7307455726898309,2.4711802327227987,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/t6_plain_downstream_20260804/c1_baselines/runs/c1_baselines/nmc_goal_vcorr_it_train_dst_selector_results/t6plain_c1_all8_train_all8_test_gru_normal_auxoff_raw_w200_holdoutfuds_s012_b2048_e200_by_temperature.csv
t6_plain_review_defense_c1,LFP,RAW_W200,plain_linear,all_off,FUDS,1,40.0,1.4764227959534262,2.1803960678552072,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/t6_plain_downstream_20260804/c1_baselines/runs/c1_baselines/nmc_goal_vcorr_it_train_dst_selector_results/t6plain_c1_all8_train_all8_test_gru_normal_auxoff_raw_w200_holdoutfuds_s012_b2048_e200_by_temperature.csv
t6_plain_review_defense_c1,LFP,RAW_W200,plain_linear,all_off,FUDS,1,50.0,1.1804704744913896,1.8123873017505392,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/t6_plain_downstream_20260804/c1_baselines/runs/c1_baselines/nmc_goal_vcorr_it_train_dst_selector_results/t6plain_c1_all8_train_all8_test_gru_normal_auxoff_raw_w200_holdoutfuds_s012_b2048_e200_by_temperature.csv
t6_plain_review_defense_c1,LFP,RAW_W200,plain_linear,all_off,FUDS,2,-10.0,3.834471077658407,4.6974867249033485,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/t6_plain_downstream_20260804/c1_baselines/runs/c1_baselines/nmc_goal_vcorr_it_train_dst_selector_results/t6plain_c1_all8_train_all8_test_gru_normal_auxoff_raw_w200_holdoutfuds_s012_b2048_e200_by_temperature.csv
t6_plain_review_defense_c1,LFP,RAW_W200,plain_linear,all_off,FUDS,2,0.0,2.903893205582527,3.800835331880739,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/t6_plain_downstream_20260804/c1_baselines/runs/c1_baselines/nmc_goal_vcorr_it_train_dst_selector_results/t6plain_c1_all8_train_all8_test_gru_normal_auxoff_raw_w200_holdoutfuds_s012_b2048_e200_by_temperature.csv
t6_plain_review_defense_c1,LFP,RAW_W200,plain_linear,all_off,FUDS,2,10.0,2.821470057317184,3.610696997413554,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/t6_plain_downstream_20260804/c1_baselines/runs/c1_baselines/nmc_goal_vcorr_it_train_dst_selector_results/t6plain_c1_all8_train_all8_test_gru_normal_auxoff_raw_w200_holdoutfuds_s012_b2048_e200_by_temperature.csv
t6_plain_review_defense_c1,LFP,RAW_W200,plain_linear,all_off,FUDS,2,20.0,2.106645782659853,2.841490854362547,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/t6_plain_downstream_20260804/c1_baselines/runs/c1_baselines/nmc_goal_vcorr_it_train_dst_selector_results/t6plain_c1_all8_train_all8_test_gru_normal_auxoff_raw_w200_holdoutfuds_s012_b2048_e200_by_temperature.csv
t6_plain_review_defense_c1,LFP,RAW_W200,plain_linear,all_off,FUDS,2,25.0,2.219719084406371,2.9668107467649705,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/t6_plain_downstream_20260804/c1_baselines/runs/c1_baselines/nmc_goal_vcorr_it_train_dst_selector_results/t6plain_c1_all8_train_all8_test_gru_normal_auxoff_raw_w200_holdoutfuds_s012_b2048_e200_by_temperature.csv
t6_plain_review_defense_c1,LFP,RAW_W200,plain_linear,all_off,FUDS,2,30.0,1.6016724587671178,2.2847569621712083,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/t6_plain_downstream_20260804/c1_baselines/runs/c1_baselines/nmc_goal_vcorr_it_train_dst_selector_results/t6plain_c1_all8_train_all8_test_gru_normal_auxoff_raw_w200_holdoutfuds_s012_b2048_e200_by_temperature.csv
t6_plain_review_defense_c1,LFP,RAW_W200,plain_linear,all_off,FUDS,2,40.0,1.319319634179724,1.9928089559445707,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/t6_plain_downstream_20260804/c1_baselines/runs/c1_baselines/nmc_goal_vcorr_it_train_dst_selector_results/t6plain_c1_all8_train_all8_test_gru_normal_auxoff_raw_w200_holdoutfuds_s012_b2048_e200_by_temperature.csv
t6_plain_review_defense_c1,LFP,RAW_W200,plain_linear,all_off,FUDS,2,50.0,1.0062993955387107,1.5931046860446656,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/t6_plain_downstream_20260804/c1_baselines/runs/c1_baselines/nmc_goal_vcorr_it_train_dst_selector_results/t6plain_c1_all8_train_all8_test_gru_normal_auxoff_raw_w200_holdoutfuds_s012_b2048_e200_by_temperature.csv
t6_plain_review_defense_c1,LFP,RAW_W200,plain_linear,all_off,US06,0,-10.0,5.315923856195443,5.978654401486634,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/t6_plain_downstream_20260804/c1_baselines/runs/c1_baselines/nmc_goal_vcorr_it_train_dst_selector_results/t6plain_c1_all8_train_all8_test_gru_normal_auxoff_raw_w200_holdoutus06_s012_b2048_e200_by_temperature.csv
t6_plain_review_defense_c1,LFP,RAW_W200,plain_linear,all_off,US06,0,0.0,3.4523688202857348,4.077681651075971,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/t6_plain_downstream_20260804/c1_baselines/runs/c1_baselines/nmc_goal_vcorr_it_train_dst_selector_results/t6plain_c1_all8_train_all8_test_gru_normal_auxoff_raw_w200_holdoutus06_s012_b2048_e200_by_temperature.csv
t6_plain_review_defense_c1,LFP,RAW_W200,plain_linear,all_off,US06,0,10.0,2.9329825846895505,3.6478964580806137,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/t6_plain_downstream_20260804/c1_baselines/runs/c1_baselines/nmc_goal_vcorr_it_train_dst_selector_results/t6plain_c1_all8_train_all8_test_gru_normal_auxoff_raw_w200_holdoutus06_s012_b2048_e200_by_temperature.csv
t6_plain_review_defense_c1,LFP,RAW_W200,plain_linear,all_off,US06,0,20.0,2.525864125792883,3.206452764352097,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/t6_plain_downstream_20260804/c1_baselines/runs/c1_baselines/nmc_goal_vcorr_it_train_dst_selector_results/t6plain_c1_all8_train_all8_test_gru_normal_auxoff_raw_w200_holdoutus06_s012_b2048_e200_by_temperature.csv
t6_plain_review_defense_c1,LFP,RAW_W200,plain_linear,all_off,US06,0,25.0,1.956286588940052,2.690105024083853,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/t6_plain_downstream_20260804/c1_baselines/runs/c1_baselines/nmc_goal_vcorr_it_train_dst_selector_results/t6plain_c1_all8_train_all8_test_gru_normal_auxoff_raw_w200_holdoutus06_s012_b2048_e200_by_temperature.csv
t6_plain_review_defense_c1,LFP,RAW_W200,plain_linear,all_off,US06,0,30.0,1.9450661296023,2.6619590425866178,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/t6_plain_downstream_20260804/c1_baselines/runs/c1_baselines/nmc_goal_vcorr_it_train_dst_selector_results/t6plain_c1_all8_train_all8_test_gru_normal_auxoff_raw_w200_holdoutus06_s012_b2048_e200_by_temperature.csv
t6_plain_review_defense_c1,LFP,RAW_W200,plain_linear,all_off,US06,0,40.0,1.4856923407492146,2.148219678707256,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/t6_plain_downstream_20260804/c1_baselines/runs/c1_baselines/nmc_goal_vcorr_it_train_dst_selector_results/t6plain_c1_all8_train_all8_test_gru_normal_auxoff_raw_w200_holdoutus06_s012_b2048_e200_by_temperature.csv
t6_plain_review_defense_c1,LFP,RAW_W200,plain_linear,all_off,US06,0,50.0,1.2768380324661883,1.8997645212801868,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/t6_plain_downstream_20260804/c1_baselines/runs/c1_baselines/nmc_goal_vcorr_it_train_dst_selector_results/t6plain_c1_all8_train_all8_test_gru_normal_auxoff_raw_w200_holdoutus06_s012_b2048_e200_by_temperature.csv
t6_plain_review_defense_c1,LFP,RAW_W200,plain_linear,all_off,US06,1,-10.0,4.834902517602434,5.604681587783262,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/t6_plain_downstream_20260804/c1_baselines/runs/c1_baselines/nmc_goal_vcorr_it_train_dst_selector_results/t6plain_c1_all8_train_all8_test_gru_normal_auxoff_raw_w200_holdoutus06_s012_b2048_e200_by_temperature.csv
t6_plain_review_defense_c1,LFP,RAW_W200,plain_linear,all_off,US06,1,0.0,3.013356824519993,3.688305613785095,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/t6_plain_downstream_20260804/c1_baselines/runs/c1_baselines/nmc_goal_vcorr_it_train_dst_selector_results/t6plain_c1_all8_train_all8_test_gru_normal_auxoff_raw_w200_holdoutus06_s012_b2048_e200_by_temperature.csv
t6_plain_review_defense_c1,LFP,RAW_W200,plain_linear,all_off,US06,1,10.0,2.434622496479783,3.1934883123746185,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/t6_plain_downstream_20260804/c1_baselines/runs/c1_baselines/nmc_goal_vcorr_it_train_dst_selector_results/t6plain_c1_all8_train_all8_test_gru_normal_auxoff_raw_w200_holdoutus06_s012_b2048_e200_by_temperature.csv
t6_plain_review_defense_c1,LFP,RAW_W200,plain_linear,all_off,US06,1,20.0,1.9991248734834783,2.696915455160878,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/t6_plain_downstream_20260804/c1_baselines/runs/c1_baselines/nmc_goal_vcorr_it_train_dst_selector_results/t6plain_c1_all8_train_all8_test_gru_normal_auxoff_raw_w200_holdoutus06_s012_b2048_e200_by_temperature.csv
