chemistry,feature,fold,seed,temperature_C,mae_torch_pct,mae_onnx_pct
LFP,G4,FUDS,2,0,0.6551276757461523,0.6551276144513544
LFP,G4,FUDS,2,10,0.5528860945168291,0.5528858206249545
LFP,G4,FUDS,2,20,0.39063687250678947,0.39063695262442744
LFP,G4,FUDS,2,25,0.44628760927580247,0.44628754441515606
LFP,G4,FUDS,2,30,0.45525995005841663,0.45526012269996247
LFP,G4,FUDS,2,40,0.5695183906926661,0.5695183223618665
LFP,G4,FUDS,2,50,0.7738749100261033,0.7738749010144955
LFP,G4,US06,0,-10,1.6756530791433448,1.6756531434564144
LFP,G4,US06,0,0,0.5961441351508888,0.5961438896665682
LFP,G4,US06,0,10,0.40313003220433946,0.4031297517692261
LFP,G4,US06,0,20,0.318169668075576,0.31816902636182304
LFP,G4,US06,0,25,0.31818178895571747,0.31818100862927545
LFP,G4,US06,0,30,0.28865296157276565,0.2886525001039703
LFP,G4,US06,0,40,0.34099865462166246,0.3409983528180171
LFP,G4,US06,0,50,0.3674292747975367,0.3674291450981731
LFP,G4,US06,1,-10,1.7798484417549016,1.779848711987799
LFP,G4,US06,1,0,0.6337480014803247,0.6337480998413744
LFP,G4,US06,1,10,0.4489033039283934,0.44890320856716415
LFP,G4,US06,1,20,0.2677868952850255,0.2677863956424984
LFP,G4,US06,1,25,0.2763116676968689,0.2763112245771471
LFP,G4,US06,1,30,0.24063458921376904,0.24063424015197854
LFP,G4,US06,1,40,0.3273201173730588,0.3273199361491059
LFP,G4,US06,1,50,0.39791002535012904,0.39790965342313456
LFP,G4,US06,2,-10,1.7304524820302067,1.7304524401382075
LFP,G4,US06,2,0,0.6467504017130555,0.6467502937907861
LFP,G4,US06,2,10,0.3671602597592707,0.3671597512768042
LFP,G4,US06,2,20,0.2937812138290893,0.2937805196273068
LFP,G4,US06,2,25,0.2866671291122542,0.28666646516068855
LFP,G4,US06,2,30,0.2411688204161255,0.24116817324538609
LFP,G4,US06,2,40,0.31583441434181586,0.31583405819461224
LFP,G4,US06,2,50,0.4178717758423605,0.41787152251633813
LFP,T6,DST,0,-10,0.6249575425412952,0.6249581875466681
LFP,T6,DST,0,0,0.4149259747540686,0.41492643054509576
LFP,T6,DST,0,10,0.42053431900739735,0.42053470345778
LFP,T6,DST,0,20,0.39908063753024864,0.3990811530572222
LFP,T6,DST,0,25,0.392979141807532,0.3929795024262199
LFP,T6,DST,0,30,0.4193903097518014,0.41939068021430564
LFP,T6,DST,0,40,0.5084658091857143,0.5084658268376576
LFP,T6,DST,0,50,0.5654881251225913,0.565488077570504
LFP,T6,DST,1,-10,0.7069796177553881,0.7069799399734296
LFP,T6,DST,1,0,0.4368693719601985,0.4368697304726212
LFP,T6,DST,1,10,0.38272257480363553,0.38272321627838507
LFP,T6,DST,1,20,0.3497769797560162,0.3497776069800727
LFP,T6,DST,1,25,0.31394786984892875,0.31394833435226616
LFP,T6,DST,1,30,0.336331430459041,0.33633165790285746
LFP,T6,DST,1,40,0.3438219686723298,0.34382214456223603
LFP,T6,DST,1,50,0.3966311391110596,0.3966313082186408
LFP,T6,DST,2,-10,0.8001142181563871,0.8001150276865197
LFP,T6,DST,2,0,0.5071267116683401,0.5071274076961961
LFP,T6,DST,2,10,0.4408880456200168,0.4408887686368197
LFP,T6,DST,2,20,0.4140301024393713,0.41403059316188917
LFP,T6,DST,2,25,0.3343377888380738,0.3343382615870326
LFP,T6,DST,2,30,0.3658563769795003,0.3658565244840607
LFP,T6,DST,2,40,0.4138180952064035,0.4138179804813623
LFP,T6,DST,2,50,0.5255583386145863,0.5255582803613955
LFP,T6,FUDS,0,-10,1.6510978114330555,1.6510976173812852
LFP,T6,FUDS,0,0,0.7866838224648105,0.7866838205393195
LFP,T6,FUDS,0,10,0.5941405037203955,0.5941402620885479
LFP,T6,FUDS,0,20,0.44472016491753874,0.44472037428203975
LFP,T6,FUDS,0,25,0.4700660638571017,0.4700662170299692
LFP,T6,FUDS,0,30,0.5429720186357132,0.5429726767434728
LFP,T6,FUDS,0,40,0.5954540103899586,0.5954545124555802
LFP,T6,FUDS,0,50,0.6760024154003493,0.67600277431348
LFP,T6,FUDS,1,-10,1.5745440373857087,1.5745437844821724
LFP,T6,FUDS,1,0,0.7953772695370991,0.795377310293326
LFP,T6,FUDS,1,10,0.6701167760058345,0.6701166957802408
LFP,T6,FUDS,1,20,0.43596384009623984,0.43596401245965083
LFP,T6,FUDS,1,25,0.44318131618043316,0.44318145243866147
LFP,T6,FUDS,1,30,0.4982017085100794,0.4982023387423735
LFP,T6,FUDS,1,40,0.607142642504189,0.6071430731960392
LFP,T6,FUDS,1,50,0.7287934012067211,0.7287937860959343
LFP,T6,FUDS,2,-10,1.5267719240133626,1.5267719531741477
LFP,T6,FUDS,2,0,0.7985233294882857,0.7985237232512028
LFP,T6,FUDS,2,10,0.5921184233595632,0.5921188278833238
LFP,T6,FUDS,2,20,0.4749060983600224,0.47490641256094507
LFP,T6,FUDS,2,25,0.4832730683068483,0.48327343391740923
LFP,T6,FUDS,2,30,0.5621564262345509,0.5621569631960915
LFP,T6,FUDS,2,40,0.6268278883009338,0.6268282856190517
LFP,T6,FUDS,2,50,0.7581139560928911,0.7581142353542432
