model_id,chemistry,fold,method,temperature_C,onchip_status,n_evaluation_points,mcu_mae_pct,python_mae_pct,mae_delta_mcu_minus_python_pct,mean_abs_mcu_python_diff_pct_point,p95_abs_mcu_python_diff_pct_point,max_abs_mcu_python_diff_pct_point
lfp_dst_hysteresis_2rc_ukf,LFP,DST,hysteresis_2rc_ukf,25,PASS,7319,2.46073113843171,2.4292301585116567,0.0315009799200534,0.0337159638144802,0.0600935563755161,0.2276768468342127
lfp_dst_hysteresis_2rc_ukf,LFP,DST,hysteresis_2rc_ukf,30,PASS,7391,1.7597159428294826,1.765036848965298,-0.0053209061358152,0.0090867347671474,0.0166553775434619,0.1777249140821002
lfp_dst_hysteresis_2rc_ukf,LFP,DST,hysteresis_2rc_ukf,40,PASS,7397,3.249844576220532,3.253574769097485,-0.003730192876953,0.0050727213970233,0.0110396563913367,0.0659361584672953
lfp_dst_hysteresis_2rc_ukf,LFP,DST,hysteresis_2rc_ukf,50,PASS,7415,2.796379906352031,2.800267920663538,-0.0038880143115069,0.0078609733734051,0.0249260551593903,0.506337863854317
lfp_dst_plain_2rc_ekf,LFP,DST,plain_2rc_ekf,-10,PASS,5235,0.1296482602596197,0.1296482557683061,4.491313571053368e-09,1.275116340419722e-06,2.7631056198629267e-06,2.9816671354154778e-06
lfp_dst_plain_2rc_ekf,LFP,DST,plain_2rc_ekf,0,PASS,6671,0.4031319537474628,0.4031319421523607,1.1595102045180994e-08,1.0851966192995783e-06,2.725059999875157e-06,2.981487612352396e-06
lfp_dst_plain_2rc_ekf,LFP,DST,plain_2rc_ekf,10,PASS,7031,0.3447321700065835,0.3447321761705009,-6.1639173210004125e-09,1.0317898753685837e-06,2.702250190278477e-06,2.978411783871593e-06
lfp_dst_plain_2rc_ekf,LFP,DST,plain_2rc_ekf,20,PASS,7254,0.6308268108110526,0.6308268039217784,6.889274262178446e-09,1.0214279868289276e-06,2.6875808750714825e-06,2.9817863622660923e-06
lfp_dst_plain_2rc_ekf,LFP,DST,plain_2rc_ekf,25,PASS,7319,0.4991017751960387,0.4991018142088508,-3.901281203644302e-08,1.008923075324694e-06,2.69056880886076e-06,2.981646252120385e-06
lfp_dst_plain_2rc_ekf,LFP,DST,plain_2rc_ekf,30,PASS,7391,0.3456578151883375,0.3456577967087713,1.84795662105941e-08,9.98674969886778e-07,2.6729594093666265e-06,2.9790656830286366e-06
lfp_dst_plain_2rc_ekf,LFP,DST,plain_2rc_ekf,40,PASS,7397,0.4587275869779603,0.4587275547679289,3.2210031364332536e-08,1.0139744403321845e-06,2.685342685992964e-06,2.9800984902017547e-06
lfp_dst_plain_2rc_ekf,LFP,DST,plain_2rc_ekf,50,PASS,7415,0.1200022267236889,0.1200022120135615,1.4710127393957606e-08,1.009682798540573e-06,2.699049262977482e-06,2.9772847409681447e-06
lfp_fuds_adaptive_hysteresis_2rc_ekf,LFP,FUDS,adaptive_hysteresis_2rc_ekf,-10,PASS,5621,0.0792794085200089,0.0792794144652667,-5.9452577860774625e-09,1.2517395981890771e-06,2.7677043212825936e-06,2.9805575452179767e-06
lfp_fuds_adaptive_hysteresis_2rc_ekf,LFP,FUDS,adaptive_hysteresis_2rc_ekf,0,PASS,6965,0.4017607893406154,0.4017607781618226,1.117879278034195e-08,1.055466690501257e-06,2.6826607424368368e-06,2.9804329670923835e-06
lfp_fuds_adaptive_hysteresis_2rc_ekf,LFP,FUDS,adaptive_hysteresis_2rc_ekf,10,PASS,7021,0.4467136960872796,0.4467137090223934,-1.2935113757883698e-08,1.0252162157284797e-06,2.6785626605629886e-06,2.980265445540198e-06
lfp_fuds_adaptive_hysteresis_2rc_ekf,LFP,FUDS,adaptive_hysteresis_2rc_ekf,20,PASS,7249,0.2894331593212337,0.2894331409593138,1.8361919928988613e-08,1.0238832441433826e-06,2.686512696747911e-06,2.979560687066396e-06
lfp_fuds_adaptive_hysteresis_2rc_ekf,LFP,FUDS,adaptive_hysteresis_2rc_ekf,25,PASS,7323,0.3898584123747241,0.389858434865824,-2.24910999824246e-08,1.0049386580120886e-06,2.65739003690868e-06,2.9802617707019863e-06
lfp_fuds_adaptive_hysteresis_2rc_ekf,LFP,FUDS,adaptive_hysteresis_2rc_ekf,30,PASS,7397,0.2536693304114575,0.2536693314638615,-1.052403941770308e-09,1.0227553035763072e-06,2.6800734165277618e-06,2.980515634298797e-06
lfp_fuds_adaptive_hysteresis_2rc_ekf,LFP,FUDS,adaptive_hysteresis_2rc_ekf,40,PASS,7529,0.4399022188893825,0.4399022032018885,1.5687493970517608e-08,1.002070048976977e-06,2.685250779510539e-06,2.979832103289226e-06
lfp_fuds_adaptive_hysteresis_2rc_ekf,LFP,FUDS,adaptive_hysteresis_2rc_ekf,50,PASS,7565,0.2217636816383353,0.2217636588312294,2.2807105926059282e-08,9.93169924682739e-07,2.6429806831984592e-06,2.9808933876829258e-06
lfp_fuds_coulomb_count,LFP,FUDS,coulomb_count,-10,PASS,5621,0.0382461727703273,0.038694427997106,-0.0004482552267786,0.0008586704130459,0.0013800137256769,0.0013888875729284
lfp_fuds_coulomb_count,LFP,FUDS,coulomb_count,0,PASS,6965,0.0364598935957617,0.0367894461346227,-0.000329552538861,0.0004225664241887,0.0006645697643176,0.0006824967158453
lfp_fuds_coulomb_count,LFP,FUDS,coulomb_count,10,PASS,7021,0.1552228878542702,0.1557993179515192,-0.0005764300972489,0.0005780084801634,0.0008982170850324,0.0009197203357236
lfp_fuds_coulomb_count,LFP,FUDS,coulomb_count,20,PASS,7249,0.052419710308335,0.0532780775197782,-0.0008583672114432,0.0009165369838338,0.0013624479821933,0.001391215504698
lfp_fuds_coulomb_count,LFP,FUDS,coulomb_count,25,PASS,7323,0.1093139957949686,0.1098142022601004,-0.0005002064651317,0.0005728656264571,0.0009220168248841,0.0009336476826993
lfp_fuds_coulomb_count,LFP,FUDS,coulomb_count,30,PASS,7397,0.0602094483614171,0.0596350941137987,0.0005743542476183,0.0005865363396063,0.0008978736774223,0.0009175489788793
lfp_fuds_coulomb_count,LFP,FUDS,coulomb_count,40,PASS,7529,0.2160579220607717,0.216730056588433,-0.0006721345276612,0.0007500033669882,0.0011549530131604,0.0011768145802892
lfp_fuds_coulomb_count,LFP,FUDS,coulomb_count,50,PASS,7565,0.0855883234028987,0.0848206602395365,0.0007676631633621,0.0007705437337457,0.0011762522171387,0.0011953272355369
lfp_fuds_hysteresis_2rc_ekf,LFP,FUDS,hysteresis_2rc_ekf,-10,PASS,5621,0.1093243413582952,0.1093243508816903,-9.523395155808244e-09,1.2424151300004557e-06,2.752591521382186e-06,2.980239621752645e-06
lfp_fuds_hysteresis_2rc_ekf,LFP,FUDS,hysteresis_2rc_ekf,0,PASS,6965,0.3886753676223787,0.3886753816554198,-1.4033041173533434e-08,1.0492361769677444e-06,2.6890268967072464e-06,2.980849267419927e-06
lfp_fuds_hysteresis_2rc_ekf,LFP,FUDS,hysteresis_2rc_ekf,10,PASS,7021,0.3328022082373609,0.3328022377541196,-2.9516758648373557e-08,1.036642960006533e-06,2.6774442329902115e-06,2.979303259653676e-06
lfp_fuds_hysteresis_2rc_ekf,LFP,FUDS,hysteresis_2rc_ekf,20,PASS,7249,0.3096982598545849,0.3096982712953383,-1.1440753400204784e-08,1.020211564609755e-06,2.6984263401530484e-06,2.9778131183100243e-06
