model_id,chemistry,fold,method,precision,clock_hz,n_repetitions,warmup_steps,input_path,median_cycles,p95_cycles,min_cycles,max_cycles,median_us,p95_us,min_us,max_us
lfp_us06_adaptive_hysteresis_2rc_ekf,LFP,US06,adaptive_hysteresis_2rc_ekf,FP64_SOFTWARE,250000000,1024,10,raw_V_I_T_fixed_1Hz_scheduler,100550.5,100844.7,95571,101015,402.202,403.3788,382.284,404.06
lfp_us06_coulomb_count,LFP,US06,coulomb_count,FP32,250000000,1024,10,raw_V_I_T_fixed_1Hz_scheduler,1485.0,1485.0,1483,1485,5.94,5.94,5.932,5.94
lfp_us06_hysteresis_2rc_ekf,LFP,US06,hysteresis_2rc_ekf,FP64_SOFTWARE,250000000,1024,10,raw_V_I_T_fixed_1Hz_scheduler,95148.5,95401.0,90057,95569,380.594,381.604,360.228,382.276
lfp_us06_hysteresis_2rc_ukf,LFP,US06,hysteresis_2rc_ukf,FP64_SOFTWARE,250000000,1024,10,raw_V_I_T_fixed_1Hz_scheduler,856367.0,870997.55,830469,901594,3425.468,3483.9902,3321.876,3606.376
lfp_us06_plain_2rc_ekf,LFP,US06,plain_2rc_ekf,FP64_SOFTWARE,250000000,1024,10,raw_V_I_T_fixed_1Hz_scheduler,57998.0,58106.85,57225,58163,231.992,232.4274,228.9,232.652
nmc_dst_1rc_ekf,NMC,DST,1RC_EKF,FP64_SOFTWARE,250000000,1024,10,raw_V_I_T_fixed_1Hz_scheduler,42611.0,42682.0,42407,44442,170.444,170.728,169.628,177.768
nmc_dst_2rc_ekf,NMC,DST,2RC_EKF,FP64_SOFTWARE,250000000,1024,10,raw_V_I_T_fixed_1Hz_scheduler,124509.5,126066.1,100258,126335,498.038,504.2644,401.032,505.34
nmc_dst_2rc_ukf,NMC,DST,2RC_UKF,FP64_SOFTWARE,250000000,1024,10,raw_V_I_T_fixed_1Hz_scheduler,237782.5,239445.4,217538,239709,951.13,957.7816,870.152,958.836
nmc_dst_adaptive_2rc_ekf,NMC,DST,Adaptive_2RC_EKF,FP64_SOFTWARE,250000000,1024,10,raw_V_I_T_fixed_1Hz_scheduler,124756.0,126400.7,101940,126544,499.024,505.6028,407.76,506.176
nmc_dst_cc,NMC,DST,CC,FP32,250000000,1024,10,raw_V_I_T_fixed_1Hz_scheduler,1483.0,1483.0,1481,1483,5.932,5.932,5.924,5.932
nmc_fuds_1rc_ekf,NMC,FUDS,1RC_EKF,FP64_SOFTWARE,250000000,1024,10,raw_V_I_T_fixed_1Hz_scheduler,42575.5,42656.85,42373,44471,170.302,170.6274,169.492,177.884
nmc_fuds_2rc_ekf,NMC,FUDS,2RC_EKF,FP64_SOFTWARE,250000000,1024,10,raw_V_I_T_fixed_1Hz_scheduler,124631.5,126018.0,100264,126284,498.526,504.072,401.056,505.136
nmc_fuds_2rc_ukf,NMC,FUDS,2RC_UKF,FP64_SOFTWARE,250000000,1024,10,raw_V_I_T_fixed_1Hz_scheduler,229131.5,229859.0,213571,232462,916.526,919.436,854.284,929.848
nmc_fuds_adaptive_2rc_ekf,NMC,FUDS,Adaptive_2RC_EKF,FP64_SOFTWARE,250000000,1024,10,raw_V_I_T_fixed_1Hz_scheduler,125981.5,126335.85,99996,126511,503.926,505.3434,399.984,506.044
nmc_fuds_cc,NMC,FUDS,CC,FP32,250000000,1024,10,raw_V_I_T_fixed_1Hz_scheduler,1483.0,1483.0,1481,1483,5.932,5.932,5.924,5.932
nmc_us06_1rc_ekf,NMC,US06,1RC_EKF,FP64_SOFTWARE,250000000,1024,10,raw_V_I_T_fixed_1Hz_scheduler,42621.0,42702.0,42363,44444,170.484,170.808,169.452,177.776
nmc_us06_2rc_ekf,NMC,US06,2RC_EKF,FP64_SOFTWARE,250000000,1024,10,raw_V_I_T_fixed_1Hz_scheduler,124499.5,126112.85,105431,128118,497.998,504.4514,421.724,512.472
nmc_us06_2rc_ukf,NMC,US06,2RC_UKF,FP64_SOFTWARE,250000000,1024,10,raw_V_I_T_fixed_1Hz_scheduler,237696.5,239508.8,217688,239896,950.786,958.0352,870.752,959.584
nmc_us06_adaptive_2rc_ekf,NMC,US06,Adaptive_2RC_EKF,FP64_SOFTWARE,250000000,1024,10,raw_V_I_T_fixed_1Hz_scheduler,124834.0,128199.4,105678,128576,499.336,512.7976,422.712,514.304
nmc_us06_cc,NMC,US06,CC,FP32,250000000,1024,10,raw_V_I_T_fixed_1Hz_scheduler,1483.0,1483.0,1481,1483,5.932,5.932,5.924,5.932
