chemistry,method,init_condition,precision,fold,temperature_C,mae_pct,rmse_pct,n_points,status,reason
LFP,adaptive_hysteresis_2rc_ekf,oracle,fp64,FUDS,0,0.4017607893406154,MISSING_not_recorded,6965,PASS,actual MCU precision; no precision relabeling or mixed aggregation
LFP,adaptive_hysteresis_2rc_ekf,oracle,fp64,FUDS,10,0.4467136960872796,MISSING_not_recorded,7021,PASS,actual MCU precision; no precision relabeling or mixed aggregation
LFP,adaptive_hysteresis_2rc_ekf,oracle,fp64,FUDS,20,0.2894331593212337,MISSING_not_recorded,7249,PASS,actual MCU precision; no precision relabeling or mixed aggregation
LFP,adaptive_hysteresis_2rc_ekf,oracle,fp64,FUDS,25,0.3898584123747241,MISSING_not_recorded,7323,PASS,actual MCU precision; no precision relabeling or mixed aggregation
LFP,adaptive_hysteresis_2rc_ekf,oracle,fp64,FUDS,30,0.2536693304114575,MISSING_not_recorded,7397,PASS,actual MCU precision; no precision relabeling or mixed aggregation
LFP,adaptive_hysteresis_2rc_ekf,oracle,fp64,FUDS,40,0.4399022188893825,MISSING_not_recorded,7529,PASS,actual MCU precision; no precision relabeling or mixed aggregation
LFP,adaptive_hysteresis_2rc_ekf,oracle,fp64,FUDS,50,0.2217636816383353,MISSING_not_recorded,7565,PASS,actual MCU precision; no precision relabeling or mixed aggregation
LFP,cc,oracle,fp32,FUDS,-10,0.0382461727703273,MISSING_not_recorded,5621,PASS,actual MCU precision; no precision relabeling or mixed aggregation
LFP,cc,oracle,fp32,FUDS,0,0.0364598935957617,MISSING_not_recorded,6965,PASS,actual MCU precision; no precision relabeling or mixed aggregation
LFP,cc,oracle,fp32,FUDS,10,0.1552228878542702,MISSING_not_recorded,7021,PASS,actual MCU precision; no precision relabeling or mixed aggregation
LFP,cc,oracle,fp32,FUDS,20,0.052419710308335,MISSING_not_recorded,7249,PASS,actual MCU precision; no precision relabeling or mixed aggregation
LFP,cc,oracle,fp32,FUDS,25,0.1093139957949686,MISSING_not_recorded,7323,PASS,actual MCU precision; no precision relabeling or mixed aggregation
LFP,cc,oracle,fp32,FUDS,30,0.0602094483614171,MISSING_not_recorded,7397,PASS,actual MCU precision; no precision relabeling or mixed aggregation
LFP,cc,oracle,fp32,FUDS,40,0.2160579220607717,MISSING_not_recorded,7529,PASS,actual MCU precision; no precision relabeling or mixed aggregation
