model,source_weights_sha256,path_step_index,step_tool,step_version,artifact_file,artifact_sha256,rewrites_applied
lfp_t7_fuds_s2,23f0023c55d4c1259a6d46a4484a2cfb8c7c2158eff639c995a72d802b1ec917,1,ONNX export opset 17,onnx 1.22.0,evidence/conversion/lfp_t7_fuds_s2/model_static.onnx,b1182ea5fa7da4f1f564bce66e3d2ac5f439f0e51cb3df166bb8c2eaf24b73f4,none
lfp_t7_fuds_s2,23f0023c55d4c1259a6d46a4484a2cfb8c7c2158eff639c995a72d802b1ec917,2,ST Edge AI generate --optimization time --compression lossless,ST Edge AI Core 4.0.1 / STM32CubeAI 12.0.1-RC2,evidence/conversion/lfp_t7_fuds_s2/cema_data.c,552ff2fc506aa7dcede1de02040dd73c71d465fc1a904a164dce8895d3e81faf,none
lfp_t7_fuds_s2,23f0023c55d4c1259a6d46a4484a2cfb8c7c2158eff639c995a72d802b1ec917,3,GNU Arm link -Os hard-float,arm-none-eabi-gcc 14.3.1,evidence/conversion/lfp_t7_fuds_s2/cema_h563_bench.elf,81e98bf0c4ec1a6b5adcd54b09d22c929118e2178bd270acadd74b037b962056,none
lfp_t7_us06_s0,11f64693cb2b6d3da575b30964c0a4a25d10af32e4df2d5c6e4e8493b1a7ab03,0,frozen PyTorch checkpoint,torch 2.9.1,evidence/conversion/lfp_t7_us06_s0/source_weights.pt,11f64693cb2b6d3da575b30964c0a4a25d10af32e4df2d5c6e4e8493b1a7ab03,none
lfp_t7_us06_s0,11f64693cb2b6d3da575b30964c0a4a25d10af32e4df2d5c6e4e8493b1a7ab03,1,ONNX export opset 17,onnx 1.22.0,evidence/conversion/lfp_t7_us06_s0/model_static.onnx,00807c309a55a71ba68a074ba85c6af99ce2554a811befbb57f124b66702e9d9,none
lfp_t7_us06_s0,11f64693cb2b6d3da575b30964c0a4a25d10af32e4df2d5c6e4e8493b1a7ab03,2,ST Edge AI generate --optimization time --compression lossless,ST Edge AI Core 4.0.1 / STM32CubeAI 12.0.1-RC2,evidence/conversion/lfp_t7_us06_s0/cema_data.c,f33e8e8dc36c538d2dea94025d1c9150ee67c1f5a91f56aca3b65ba44aa651d9,none
lfp_t7_us06_s0,11f64693cb2b6d3da575b30964c0a4a25d10af32e4df2d5c6e4e8493b1a7ab03,3,GNU Arm link -Os hard-float,arm-none-eabi-gcc 14.3.1,evidence/conversion/lfp_t7_us06_s0/cema_h563_bench.elf,57fadb95bef34ffafe43e3be12a3e42782ecc03461d381b78c78beba35499ba9,none
lfp_t7_us06_s1,f8e32ca0c878078ef1548237f43915bddae9a6933498ef07bc8b2cb4447a0676,0,frozen PyTorch checkpoint,torch 2.9.1,evidence/conversion/lfp_t7_us06_s1/source_weights.pt,f8e32ca0c878078ef1548237f43915bddae9a6933498ef07bc8b2cb4447a0676,none
lfp_t7_us06_s1,f8e32ca0c878078ef1548237f43915bddae9a6933498ef07bc8b2cb4447a0676,1,ONNX export opset 17,onnx 1.22.0,evidence/conversion/lfp_t7_us06_s1/model_static.onnx,2b288936f550c8e290f3840b73a5bbcd1938ba10b1a65032d114adb7995a0523,none
lfp_t7_us06_s1,f8e32ca0c878078ef1548237f43915bddae9a6933498ef07bc8b2cb4447a0676,2,ST Edge AI generate --optimization time --compression lossless,ST Edge AI Core 4.0.1 / STM32CubeAI 12.0.1-RC2,evidence/conversion/lfp_t7_us06_s1/cema_data.c,d700e21359397e3013da00e09533efc82856ac1cf820cd84368830c6c00fb282,none
lfp_t7_us06_s1,f8e32ca0c878078ef1548237f43915bddae9a6933498ef07bc8b2cb4447a0676,3,GNU Arm link -Os hard-float,arm-none-eabi-gcc 14.3.1,evidence/conversion/lfp_t7_us06_s1/cema_h563_bench.elf,b0db0e6ec9357eae2c8eda18291888a2745e5ae906804e272b60f7a6b73b55c3,none
lfp_t7_us06_s2,4a4a59f254f642734c6a8bcd1424796907aac7245081723b3276ebdda4ca5647,0,frozen PyTorch checkpoint,torch 2.9.1,evidence/conversion/lfp_t7_us06_s2/source_weights.pt,4a4a59f254f642734c6a8bcd1424796907aac7245081723b3276ebdda4ca5647,none
lfp_t7_us06_s2,4a4a59f254f642734c6a8bcd1424796907aac7245081723b3276ebdda4ca5647,1,ONNX export opset 17,onnx 1.22.0,evidence/conversion/lfp_t7_us06_s2/model_static.onnx,3438e3a7d8167992ac46b2c2717d77114878ec0e52ab0dd1b3bbb5e717c45fe0,none
lfp_t7_us06_s2,4a4a59f254f642734c6a8bcd1424796907aac7245081723b3276ebdda4ca5647,2,ST Edge AI generate --optimization time --compression lossless,ST Edge AI Core 4.0.1 / STM32CubeAI 12.0.1-RC2,evidence/conversion/lfp_t7_us06_s2/cema_data.c,d3841b54a009ba952bd5b7b80d1e56868e17a4d32b585584900a7ead9b583a6b,none
lfp_t7_us06_s2,4a4a59f254f642734c6a8bcd1424796907aac7245081723b3276ebdda4ca5647,3,GNU Arm link -Os hard-float,arm-none-eabi-gcc 14.3.1,evidence/conversion/lfp_t7_us06_s2/cema_h563_bench.elf,c3e712aef99a56cbbb68e13b835685f0b93a47f0dc58a2f5bb1d51c2d95f08b4,none
