model,source_weights_sha256,path_step_index,step_tool,step_version,artifact_file,artifact_sha256,rewrites_applied
nmc_t6_fuds_s0,13386cbcbec10e1e7135b75dc40d879d38bf858e5b195391a51a959a61c4e612,0,frozen PyTorch checkpoint,torch 2.9.1,evidence/conversion/nmc_t6_fuds_s0/source_weights.pt,13386cbcbec10e1e7135b75dc40d879d38bf858e5b195391a51a959a61c4e612,none
nmc_t6_fuds_s0,13386cbcbec10e1e7135b75dc40d879d38bf858e5b195391a51a959a61c4e612,1,ONNX export opset 17,onnx 1.22.0,evidence/conversion/nmc_t6_fuds_s0/model_static.onnx,fb838c891a57f143d966c3635d55c7ef1f49232153786fc6be9e7e8d3366f232,none
nmc_t6_fuds_s0,13386cbcbec10e1e7135b75dc40d879d38bf858e5b195391a51a959a61c4e612,2,ST Edge AI generate --optimization time --compression lossless,ST Edge AI Core 4.0.1 / STM32CubeAI 12.0.1-RC2,evidence/conversion/nmc_t6_fuds_s0/cema_data.c,d05fb3bff88ebb8c45808597b6308e48d065c084e34ef2493e74d35e90b11e60,none
nmc_t6_fuds_s0,13386cbcbec10e1e7135b75dc40d879d38bf858e5b195391a51a959a61c4e612,3,GNU Arm link -Os hard-float,arm-none-eabi-gcc 14.3.1,evidence/conversion/nmc_t6_fuds_s0/cema_h563_bench.elf,f36103826afc478db0e96abafcb76f3c68a6c67843fd2721bad5528de39a446e,none
nmc_t6_fuds_s1,8d06477266a29eaf1554e363a921e84d4470cb792fd166edadd8ca122dc91260,0,frozen PyTorch checkpoint,torch 2.9.1,evidence/conversion/nmc_t6_fuds_s1/source_weights.pt,8d06477266a29eaf1554e363a921e84d4470cb792fd166edadd8ca122dc91260,none
nmc_t6_fuds_s1,8d06477266a29eaf1554e363a921e84d4470cb792fd166edadd8ca122dc91260,1,ONNX export opset 17,onnx 1.22.0,evidence/conversion/nmc_t6_fuds_s1/model_static.onnx,dd4fc3fac4c96def12b2a9bd9d4a2355eb013a0ea8ae2fedafde203eb3db8d9a,none
nmc_t6_fuds_s1,8d06477266a29eaf1554e363a921e84d4470cb792fd166edadd8ca122dc91260,2,ST Edge AI generate --optimization time --compression lossless,ST Edge AI Core 4.0.1 / STM32CubeAI 12.0.1-RC2,evidence/conversion/nmc_t6_fuds_s1/cema_data.c,604bff2a6d87a5538258beaf9047ea4f6f83d72e20e828196fa4d56fdfb34055,none
nmc_t6_fuds_s1,8d06477266a29eaf1554e363a921e84d4470cb792fd166edadd8ca122dc91260,3,GNU Arm link -Os hard-float,arm-none-eabi-gcc 14.3.1,evidence/conversion/nmc_t6_fuds_s1/cema_h563_bench.elf,14c50ec0146bfbf1f6807d01e77574195848356821c8c53ed6053e33cb1366e0,none
nmc_t6_fuds_s2,eda6a9803bb9cdb860ab30733d09b4ce3154a429acaf44f1f01ebe95b884711a,0,frozen PyTorch checkpoint,torch 2.9.1,evidence/conversion/nmc_t6_fuds_s2/source_weights.pt,eda6a9803bb9cdb860ab30733d09b4ce3154a429acaf44f1f01ebe95b884711a,none
nmc_t6_fuds_s2,eda6a9803bb9cdb860ab30733d09b4ce3154a429acaf44f1f01ebe95b884711a,1,ONNX export opset 17,onnx 1.22.0,evidence/conversion/nmc_t6_fuds_s2/model_static.onnx,6003ccee599761cce7af1f00ce615611f67bd236094e30cbfbc28a38797405a4,none
nmc_t6_fuds_s2,eda6a9803bb9cdb860ab30733d09b4ce3154a429acaf44f1f01ebe95b884711a,2,ST Edge AI generate --optimization time --compression lossless,ST Edge AI Core 4.0.1 / STM32CubeAI 12.0.1-RC2,evidence/conversion/nmc_t6_fuds_s2/cema_data.c,988f87cfc6c65e2fef20eba0945135c9706fcb5f502721691c9c2a31f3b3dff1,none
nmc_t6_fuds_s2,eda6a9803bb9cdb860ab30733d09b4ce3154a429acaf44f1f01ebe95b884711a,3,GNU Arm link -Os hard-float,arm-none-eabi-gcc 14.3.1,evidence/conversion/nmc_t6_fuds_s2/cema_h563_bench.elf,30e02f8f26b9c9504b43fd74c238c18102713ce63cdb0dad6f04a7eef1c143fc,none
nmc_t6_us06_s0,a87e811144ba7773c45754c22c7ba1126f069f0ab6a87e4aac4587e47c4ec6ca,0,frozen PyTorch checkpoint,torch 2.9.1,evidence/conversion/nmc_t6_us06_s0/source_weights.pt,a87e811144ba7773c45754c22c7ba1126f069f0ab6a87e4aac4587e47c4ec6ca,none
nmc_t6_us06_s0,a87e811144ba7773c45754c22c7ba1126f069f0ab6a87e4aac4587e47c4ec6ca,1,ONNX export opset 17,onnx 1.22.0,evidence/conversion/nmc_t6_us06_s0/model_static.onnx,40136588f17d65b424c480b1f9356c955a03c653637cfb166d3b9cd57178b865,none
nmc_t6_us06_s0,a87e811144ba7773c45754c22c7ba1126f069f0ab6a87e4aac4587e47c4ec6ca,2,ST Edge AI generate --optimization time --compression lossless,ST Edge AI Core 4.0.1 / STM32CubeAI 12.0.1-RC2,evidence/conversion/nmc_t6_us06_s0/cema_data.c,39ca8f99ea7ffccb5e650499a1cde6d2ac5b63270d9cbac0d949b42c51935c89,none
nmc_t6_us06_s0,a87e811144ba7773c45754c22c7ba1126f069f0ab6a87e4aac4587e47c4ec6ca,3,GNU Arm link -Os hard-float,arm-none-eabi-gcc 14.3.1,evidence/conversion/nmc_t6_us06_s0/cema_h563_bench.elf,a223a187c74a79955a615c110052045ffedffdf683f52e807380a41fdd6e5fb4,none
