model,precision,clock_mhz,stage,n_reps,cycles_median,cycles_p90,cycles_max,us_median,us_p90
nmc_g4_dst_s0,fp32,250.0,total_per_estimate,1024,58466305.0,58480676.4,58488223,233865.22,233922.7056
nmc_g4_dst_s1,fp32,250.0,preprocess_per_sample,1024,41103.0,41103.7,41119,164.412,164.41479999999999
nmc_g4_dst_s1,fp32,250.0,network_per_estimate,1024,58434070.5,58477972.7,58490656,233736.282,233911.89080000002
nmc_g4_dst_s1,fp32,250.0,total_per_estimate,1024,58475173.0,58519068.7,58531759,233900.692,234076.2748
nmc_g4_dst_s2,fp32,250.0,preprocess_per_sample,1024,41103.0,41103.7,41119,164.412,164.41479999999999
nmc_g4_dst_s2,fp32,250.0,network_per_estimate,1024,58442229.0,58457192.2,58466667,233768.916,233828.76880000002
nmc_g4_dst_s2,fp32,250.0,total_per_estimate,1024,58483332.0,58498288.9,58507770,233933.328,233993.1556
nmc_g4_fuds_s0,fp32,250.0,preprocess_per_sample,1024,41102.0,41105.0,41125,164.408,164.42
nmc_g4_fuds_s0,fp32,250.0,network_per_estimate,1024,58436194.0,58450901.1,58457654,233744.776,233803.6044
nmc_g4_fuds_s0,fp32,250.0,total_per_estimate,1024,58477301.5,58492008.3,58498757,233909.206,233968.03319999998
nmc_g4_fuds_s1,fp32,250.0,preprocess_per_sample,1024,41102.0,41105.0,41125,164.408,164.42
nmc_g4_fuds_s1,fp32,250.0,network_per_estimate,1024,58446024.5,58462154.3,58466868,233784.098,233848.61719999998
nmc_g4_fuds_s1,fp32,250.0,total_per_estimate,1024,58487130.5,58503259.6,58507971,233948.522,234013.03840000002
nmc_g4_fuds_s2,fp32,250.0,preprocess_per_sample,1024,41102.0,41105.0,41125,164.408,164.42
nmc_g4_fuds_s2,fp32,250.0,network_per_estimate,1024,58447824.5,58464395.6,58472184,233791.298,233857.5824
nmc_g4_fuds_s2,fp32,250.0,total_per_estimate,1024,58488927.0,58505492.5,58513286,233955.708,234021.97
nmc_g4_us06_s0,fp32,250.0,preprocess_per_sample,1024,41101.0,41103.0,41116,164.404,164.412
nmc_g4_us06_s0,fp32,250.0,network_per_estimate,1024,58462729.0,58469148.2,58478720,233850.916,233876.5928
nmc_g4_us06_s0,fp32,250.0,total_per_estimate,1024,58503831.0,58510250.5,58519822,234015.324,234041.002
nmc_g4_us06_s1,fp32,250.0,preprocess_per_sample,1024,41101.0,41103.0,41116,164.404,164.412
nmc_g4_us06_s1,fp32,250.0,network_per_estimate,1024,58444307.5,58462725.0,58471644,233777.23,233850.9
nmc_g4_us06_s1,fp32,250.0,total_per_estimate,1024,58485405.0,58503825.9,58512746,233941.62,234015.30359999998
nmc_g4_us06_s2,fp32,250.0,preprocess_per_sample,1024,41101.0,41103.0,41116,164.404,164.412
nmc_g4_us06_s2,fp32,250.0,network_per_estimate,1024,58457477.5,58466766.4,58470542,233829.91,233867.0656
nmc_g4_us06_s2,fp32,250.0,total_per_estimate,1024,58498575.5,58507866.0,58511645,233994.302,234031.464
nmc_t6_dst_s0,fp32,250.0,preprocess_per_sample,1024,23082.0,23082.7,23098,92.328,92.3308
nmc_t6_dst_s0,fp32,250.0,network_per_estimate,1024,57978976.0,58003570.0,58010063,231915.904,232014.28
nmc_t6_dst_s0,fp32,250.0,total_per_estimate,1024,58002057.5,58026644.3,58033145,232008.23,232106.5772
nmc_t6_dst_s1,fp32,250.0,preprocess_per_sample,1024,23082.0,23082.7,23098,92.328,92.3308
nmc_t6_dst_s1,fp32,250.0,network_per_estimate,1024,57979288.5,57990957.4,57998970,231917.154,231963.8296
nmc_t6_dst_s1,fp32,250.0,total_per_estimate,1024,58002370.5,58014036.1,58022052,232009.482,232056.14440000002
nmc_t6_dst_s2,fp32,250.0,preprocess_per_sample,1024,23082.0,23082.7,23098,92.328,92.3308
nmc_t6_dst_s2,fp32,250.0,network_per_estimate,1024,57949497.0,57978840.7,57983957,231797.988,231915.3628
nmc_t6_dst_s2,fp32,250.0,total_per_estimate,1024,57972579.0,58001922.7,58007028,231890.316,232007.6908
nmc_t6_fuds_s0,fp32,250.0,preprocess_per_sample,1024,23081.0,23084.0,23104,92.324,92.336
nmc_t6_fuds_s0,fp32,250.0,network_per_estimate,1024,57967807.5,57978508.2,57987704,231871.23,231914.03280000002
nmc_t6_fuds_s0,fp32,250.0,total_per_estimate,1024,57990885.0,58001589.2,58010793,231963.54,232006.3568
nmc_t6_fuds_s1,fp32,250.0,preprocess_per_sample,1024,23081.0,23084.0,23104,92.324,92.336
nmc_t6_fuds_s1,fp32,250.0,network_per_estimate,1024,57978246.0,57982330.5,57992116,231912.984,231929.322
nmc_t6_fuds_s1,fp32,250.0,total_per_estimate,1024,58001326.5,58005402.7,58015189,232005.306,232021.61080000002
nmc_t6_fuds_s2,fp32,250.0,preprocess_per_sample,1024,23081.0,23084.0,23104,92.324,92.336
nmc_t6_fuds_s2,fp32,250.0,network_per_estimate,1024,57936299.5,57955465.1,57964408,231745.198,231821.8604
nmc_t6_fuds_s2,fp32,250.0,total_per_estimate,1024,57959380.5,57978540.8,57987489,231837.522,231914.16319999998
nmc_t6_us06_s0,fp32,250.0,preprocess_per_sample,1024,23080.0,23082.0,23095,92.32,92.328
nmc_t6_us06_s0,fp32,250.0,network_per_estimate,1024,57984031.0,58006505.6,58010017,231936.124,232026.02240000002
nmc_t6_us06_s0,fp32,250.0,total_per_estimate,1024,58007111.5,58029584.9,58033090,232028.446,232118.3396
nmc_t6_us06_s1,fp32,250.0,preprocess_per_sample,1024,23080.0,23082.0,23095,92.32,92.328
nmc_t6_us06_s1,fp32,250.0,network_per_estimate,1024,58005647.5,58017936.6,58022432,232022.59,232071.7464
nmc_t6_us06_s1,fp32,250.0,total_per_estimate,1024,58028728.0,58041012.7,58045505,232114.912,232164.05080000003
nmc_t6_us06_s2,fp32,250.0,preprocess_per_sample,1024,23080.0,23082.0,23095,92.32,92.328
nmc_t6_us06_s2,fp32,250.0,network_per_estimate,1024,57944743.0,57957463.9,57961240,231778.972,231829.85559999998
nmc_t6_us06_s2,fp32,250.0,total_per_estimate,1024,57967824.5,57980545.6,57984313,231871.298,231922.18240000002
