chemistry,feature,fold,seed,temperature_C,record_file,precision,n_compared,mean_abs_prediction_diff_pct,max_abs_prediction_diff_pct,mae_actual_dt_pct,mae_fixed_1s_pct,delta_mae_fixed_minus_actual_pct,analysis_type
NMC,T6,DST,0,0,/home/user/바탕화면/DL/CEMA_MLP_OCVSTART_FULLGRID/nmc_ocvstart_25c_us06_soc0_dstfudsmean_lopo_clean/0C/NMC_0C_DST.csv,fp32_network_fp64_ema,9478,0.013432065647949925,0.048135221004486084,0.3994152192753898,0.40395468376361054,0.004539464488220735,PC_proxy_not_onchip
NMC,T6,DST,0,25,/home/user/바탕화면/DL/CEMA_MLP_OCVSTART_FULLGRID/nmc_ocvstart_25c_us06_soc0_dstfudsmean_lopo_clean/25C/NMC_25C_DST.csv,fp32_network_fp64_ema,10572,0.010229724681697647,0.029416382312774658,0.3386027326853554,0.3327665986311686,-0.0058361340541868145,PC_proxy_not_onchip
NMC,T6,DST,0,45,/home/user/바탕화면/DL/CEMA_MLP_OCVSTART_FULLGRID/nmc_ocvstart_25c_us06_soc0_dstfudsmean_lopo_clean/45C/NMC_45C_DST.csv,fp32_network_fp64_ema,11255,0.009929406403277196,0.020968914031982422,0.2127144066827231,0.2161759286511684,0.0034615219684452914,PC_proxy_not_onchip
NMC,T6,DST,1,0,/home/user/바탕화면/DL/CEMA_MLP_OCVSTART_FULLGRID/nmc_ocvstart_25c_us06_soc0_dstfudsmean_lopo_clean/0C/NMC_0C_DST.csv,fp32_network_fp64_ema,9478,0.0132114591289608,0.0499434769153595,0.3207794063134302,0.3280305577796097,0.007251151466179495,PC_proxy_not_onchip
NMC,T6,DST,1,25,/home/user/바탕화면/DL/CEMA_MLP_OCVSTART_FULLGRID/nmc_ocvstart_25c_us06_soc0_dstfudsmean_lopo_clean/25C/NMC_25C_DST.csv,fp32_network_fp64_ema,10572,0.01016376139064021,0.0334419310092926,0.23554590887407242,0.2312093517346027,-0.004336557139469732,PC_proxy_not_onchip
NMC,T6,DST,1,45,/home/user/바탕화면/DL/CEMA_MLP_OCVSTART_FULLGRID/nmc_ocvstart_25c_us06_soc0_dstfudsmean_lopo_clean/45C/NMC_45C_DST.csv,fp32_network_fp64_ema,11255,0.010065592176672725,0.02396106719970703,0.21959881155183641,0.22717378215885184,0.007574970607015424,PC_proxy_not_onchip
NMC,T6,DST,2,0,/home/user/바탕화면/DL/CEMA_MLP_OCVSTART_FULLGRID/nmc_ocvstart_25c_us06_soc0_dstfudsmean_lopo_clean/0C/NMC_0C_DST.csv,fp32_network_fp64_ema,9478,0.013032895329129875,0.0838346779346466,0.32858831664703453,0.3327676227568968,0.00417930610986228,PC_proxy_not_onchip
NMC,T6,DST,2,25,/home/user/바탕화면/DL/CEMA_MLP_OCVSTART_FULLGRID/nmc_ocvstart_25c_us06_soc0_dstfudsmean_lopo_clean/25C/NMC_25C_DST.csv,fp32_network_fp64_ema,10572,0.010196853258530389,0.04875212907791138,0.30364478322975397,0.2981066436446192,-0.0055381395851347714,PC_proxy_not_onchip
NMC,T6,DST,2,45,/home/user/바탕화면/DL/CEMA_MLP_OCVSTART_FULLGRID/nmc_ocvstart_25c_us06_soc0_dstfudsmean_lopo_clean/45C/NMC_45C_DST.csv,fp32_network_fp64_ema,11255,0.009988982500181575,0.020782649517059326,0.20229646755729283,0.20656343361849738,0.004266966061204552,PC_proxy_not_onchip
NMC,T6,FUDS,0,0,/home/user/바탕화면/DL/CEMA_MLP_OCVSTART_FULLGRID/nmc_ocvstart_25c_us06_soc0_dstfudsmean_lopo_clean/0C/NMC_0C_FUDS.csv,fp32_network_fp64_ema,9658,0.010777693523410735,0.04175901412963867,0.4264616898304422,0.42540794701051676,-0.0010537428199254295,PC_proxy_not_onchip
NMC,T6,FUDS,0,25,/home/user/바탕화면/DL/CEMA_MLP_OCVSTART_FULLGRID/nmc_ocvstart_25c_us06_soc0_dstfudsmean_lopo_clean/25C/NMC_25C_FUDS.csv,fp32_network_fp64_ema,11043,0.008090432855753237,0.04187747836112976,0.2988847934583262,0.29888480550229457,1.2043968378172565e-08,PC_proxy_not_onchip
NMC,T6,FUDS,0,45,/home/user/바탕화면/DL/CEMA_MLP_OCVSTART_FULLGRID/nmc_ocvstart_25c_us06_soc0_dstfudsmean_lopo_clean/45C/NMC_45C_FUDS.csv,fp32_network_fp64_ema,11577,0.00933698101206189,0.02197474241256714,0.288299965762284,0.28596221942298333,-0.0023377463393006725,PC_proxy_not_onchip
NMC,T6,FUDS,1,0,/home/user/바탕화면/DL/CEMA_MLP_OCVSTART_FULLGRID/nmc_ocvstart_25c_us06_soc0_dstfudsmean_lopo_clean/0C/NMC_0C_FUDS.csv,fp32_network_fp64_ema,9658,0.011020980437464979,0.05307197570800781,0.4791548853073632,0.4761624869264073,-0.0029923983809559407,PC_proxy_not_onchip
NMC,T6,FUDS,1,25,/home/user/바탕화면/DL/CEMA_MLP_OCVSTART_FULLGRID/nmc_ocvstart_25c_us06_soc0_dstfudsmean_lopo_clean/25C/NMC_25C_FUDS.csv,fp32_network_fp64_ema,11043,0.008223501453146624,0.025050342082977295,0.28659898133079853,0.2841416422202715,-0.002457339110527035,PC_proxy_not_onchip
NMC,T6,FUDS,1,45,/home/user/바탕화면/DL/CEMA_MLP_OCVSTART_FULLGRID/nmc_ocvstart_25c_us06_soc0_dstfudsmean_lopo_clean/45C/NMC_45C_FUDS.csv,fp32_network_fp64_ema,11577,0.00946956525864127,0.028574466705322266,0.3006424653153921,0.29774603272020755,-0.0028964325951845726,PC_proxy_not_onchip
NMC,T6,FUDS,2,0,/home/user/바탕화면/DL/CEMA_MLP_OCVSTART_FULLGRID/nmc_ocvstart_25c_us06_soc0_dstfudsmean_lopo_clean/0C/NMC_0C_FUDS.csv,fp32_network_fp64_ema,9658,0.01117067469785761,0.055146217346191406,0.44676209373806663,0.44629827589626514,-0.0004638178418014949,PC_proxy_not_onchip
NMC,T6,FUDS,2,25,/home/user/바탕화면/DL/CEMA_MLP_OCVSTART_FULLGRID/nmc_ocvstart_25c_us06_soc0_dstfudsmean_lopo_clean/25C/NMC_25C_FUDS.csv,fp32_network_fp64_ema,11043,0.008348687062345098,0.03626495599746704,0.30798973820617004,0.3080197380238942,2.999981772416893e-05,PC_proxy_not_onchip
NMC,T6,FUDS,2,45,/home/user/바탕화면/DL/CEMA_MLP_OCVSTART_FULLGRID/nmc_ocvstart_25c_us06_soc0_dstfudsmean_lopo_clean/45C/NMC_45C_FUDS.csv,fp32_network_fp64_ema,11577,0.009469378913680413,0.02809762954711914,0.2994090208007113,0.2983424116555562,-0.0010666091451551063,PC_proxy_not_onchip
NMC,T6,US06,0,0,/home/user/바탕화면/DL/CEMA_MLP_OCVSTART_FULLGRID/nmc_ocvstart_25c_us06_soc0_dstfudsmean_lopo_clean/0C/NMC_0C_US06.csv,fp32_network_fp64_ema,9433,0.011409578145302253,0.11422112584114075,0.47612473964291446,0.47012418623016905,-0.006000553412745413,PC_proxy_not_onchip
NMC,T6,US06,0,25,/home/user/바탕화면/DL/CEMA_MLP_OCVSTART_FULLGRID/nmc_ocvstart_25c_us06_soc0_dstfudsmean_lopo_clean/25C/NMC_25C_US06.csv,fp32_network_fp64_ema,10631,0.008806983534081636,0.13672783970832825,0.19439126951364835,0.1957442195845881,0.0013529500709397457,PC_proxy_not_onchip
NMC,T6,US06,0,45,/home/user/바탕화면/DL/CEMA_MLP_OCVSTART_FULLGRID/nmc_ocvstart_25c_us06_soc0_dstfudsmean_lopo_clean/45C/NMC_45C_US06.csv,fp32_network_fp64_ema,10835,0.010014602929064906,0.015413761138916016,0.16952288816857172,0.16513398550913927,-0.004388902659432453,PC_proxy_not_onchip
NMC,T6,US06,1,0,/home/user/바탕화면/DL/CEMA_MLP_OCVSTART_FULLGRID/nmc_ocvstart_25c_us06_soc0_dstfudsmean_lopo_clean/0C/NMC_0C_US06.csv,fp32_network_fp64_ema,9433,0.011547544210293028,0.08654296398162842,0.4551387532790577,0.45313577752584483,-0.0020029757532128434,PC_proxy_not_onchip
NMC,T6,US06,1,25,/home/user/바탕화면/DL/CEMA_MLP_OCVSTART_FULLGRID/nmc_ocvstart_25c_us06_soc0_dstfudsmean_lopo_clean/25C/NMC_25C_US06.csv,fp32_network_fp64_ema,10631,0.008861772774214714,0.10371915996074677,0.2690279616039042,0.27097111021303305,0.0019431486091288641,PC_proxy_not_onchip
NMC,T6,US06,1,45,/home/user/바탕화면/DL/CEMA_MLP_OCVSTART_FULLGRID/nmc_ocvstart_25c_us06_soc0_dstfudsmean_lopo_clean/45C/NMC_45C_US06.csv,fp32_network_fp64_ema,10835,0.010119664057724806,0.021944567561149597,0.10810476293177997,0.11171964211979413,0.003614879188014161,PC_proxy_not_onchip
NMC,T6,US06,2,0,/home/user/바탕화면/DL/CEMA_MLP_OCVSTART_FULLGRID/nmc_ocvstart_25c_us06_soc0_dstfudsmean_lopo_clean/0C/NMC_0C_US06.csv,fp32_network_fp64_ema,9433,0.011519858664752544,0.102166086435318,0.43221027446048427,0.4306916466440742,-0.0015186278164100453,PC_proxy_not_onchip
