chemistry,feature,fold,seed,temperature,mae,rmse,aux_config,source
LFP,G4,DST,0,40.0,0.5871698882783831,0.6919592008241436,aux_all_off,new_retraining
LFP,G4,DST,0,50.0,0.7029639830560357,0.8252233802460245,aux_all_off,new_retraining
LFP,G4,DST,1,-10.0,0.6295627714228152,0.7680779836124026,aux_all_off,new_retraining
LFP,G4,DST,1,0.0,0.4721540254625204,0.5910892819252497,aux_all_off,new_retraining
LFP,G4,DST,1,10.0,0.4231151375114756,0.5586812293597304,aux_all_off,new_retraining
LFP,G4,DST,1,20.0,0.5273732068882456,0.6632021689291838,aux_all_off,new_retraining
LFP,G4,DST,1,25.0,0.4777277748935583,0.6025522431557861,aux_all_off,new_retraining
LFP,G4,DST,1,30.0,0.4844314883323342,0.5992642505864239,aux_all_off,new_retraining
LFP,G4,DST,1,40.0,0.5631158081795761,0.6706233293570162,aux_all_off,new_retraining
LFP,G4,DST,1,50.0,0.6755805803325959,0.7971487980752238,aux_all_off,new_retraining
LFP,G4,DST,2,-10.0,0.8938081080045946,1.0927665394120274,aux_all_off,new_retraining
LFP,G4,DST,2,0.0,0.6463187796264337,0.7871751686716117,aux_all_off,new_retraining
LFP,G4,DST,2,10.0,0.4716336481297546,0.5853397545470735,aux_all_off,new_retraining
LFP,G4,DST,2,20.0,0.527885389420031,0.6620405615270374,aux_all_off,new_retraining
LFP,G4,DST,2,25.0,0.5010382173686491,0.6142143066800637,aux_all_off,new_retraining
LFP,G4,DST,2,30.0,0.5658191009426516,0.6772710261286106,aux_all_off,new_retraining
LFP,G4,DST,2,40.0,0.6526256785677045,0.7746390235480273,aux_all_off,new_retraining
LFP,G4,DST,2,50.0,0.7766108004852316,0.9086962373874676,aux_all_off,new_retraining
LFP,G4,FUDS,0,-10.0,0.929072165781865,1.1047510468797763,aux_all_off,new_retraining
LFP,G4,FUDS,0,0.0,0.8126822514065033,1.066734067181479,aux_all_off,new_retraining
LFP,G4,FUDS,0,10.0,0.8295735476142982,1.0697924433421473,aux_all_off,new_retraining
LFP,G4,FUDS,0,20.0,0.449618638375822,0.6341595831933283,aux_all_off,new_retraining
LFP,G4,FUDS,0,25.0,0.6112407534301207,0.781992547430241,aux_all_off,new_retraining
LFP,G4,FUDS,0,30.0,0.5017902555539187,0.6339185944420943,aux_all_off,new_retraining
LFP,G4,FUDS,0,40.0,0.5941306124456788,0.711536457776655,aux_all_off,new_retraining
LFP,G4,FUDS,0,50.0,0.7354756868681369,0.8659290549597791,aux_all_off,new_retraining
LFP,G4,FUDS,1,-10.0,1.0439845425996508,1.2304869178917317,aux_all_off,new_retraining
LFP,G4,FUDS,1,0.0,0.8560736189621092,1.1280168390110634,aux_all_off,new_retraining
LFP,G4,FUDS,1,10.0,0.7781993424242131,0.9807111833834028,aux_all_off,new_retraining
LFP,G4,FUDS,1,20.0,0.4761281252269137,0.6539657291194199,aux_all_off,new_retraining
LFP,G4,FUDS,1,25.0,0.6521877232558998,0.8685773558042201,aux_all_off,new_retraining
LFP,G4,FUDS,1,30.0,0.5289565651452556,0.6753687046554824,aux_all_off,new_retraining
LFP,G4,FUDS,1,40.0,0.616668575011745,0.7413185896697718,aux_all_off,new_retraining
LFP,G4,FUDS,1,50.0,0.7351079896358331,0.8476134717391529,aux_all_off,new_retraining
LFP,G4,FUDS,2,-10.0,1.0813326072998264,1.2369496533304365,aux_all_off,new_retraining
LFP,G4,FUDS,2,0.0,0.8008971560027046,0.9531325122501784,aux_all_off,new_retraining
LFP,G4,FUDS,2,10.0,0.7963515502947074,0.9583975591745676,aux_all_off,new_retraining
LFP,G4,FUDS,2,20.0,0.3811746568478524,0.53627909856674,aux_all_off,new_retraining
LFP,G4,FUDS,2,25.0,0.4695944816675828,0.6267318613553478,aux_all_off,new_retraining
LFP,G4,FUDS,2,30.0,0.4196247313817772,0.5544636388993313,aux_all_off,new_retraining
LFP,G4,FUDS,2,40.0,0.5139895178341014,0.6213409168441946,aux_all_off,new_retraining
LFP,G4,FUDS,2,50.0,0.666816953153541,0.7923642170496563,aux_all_off,new_retraining
LFP,G4,US06,0,-10.0,1.9223430892590887,2.18758613135694,aux_all_off,new_retraining
LFP,G4,US06,0,0.0,0.5269522310488874,0.6214220811932725,aux_all_off,new_retraining
LFP,G4,US06,0,10.0,0.4233870868504233,0.5389191950404261,aux_all_off,new_retraining
LFP,G4,US06,0,20.0,0.3808019474172682,0.4514038759343687,aux_all_off,new_retraining
LFP,G4,US06,0,25.0,0.3843070457074155,0.4766027669449498,aux_all_off,new_retraining
LFP,G4,US06,0,30.0,0.3918431876083938,0.4864509235100058,aux_all_off,new_retraining
LFP,G4,US06,0,40.0,0.4391158618416225,0.5298067870818205,aux_all_off,new_retraining
LFP,G4,US06,0,50.0,0.4303145401929455,0.5308289368189413,aux_all_off,new_retraining
LFP,G4,US06,1,-10.0,1.6466825746163545,1.941685801681404,aux_all_off,new_retraining
LFP,G4,US06,1,0.0,0.5085316268840125,0.6306508248682765,aux_all_off,new_retraining
LFP,G4,US06,1,10.0,0.5607217882546801,0.6763812198491543,aux_all_off,new_retraining
LFP,G4,US06,1,20.0,0.5841545013289049,0.689732526682904,aux_all_off,new_retraining
LFP,G4,US06,1,25.0,0.4513378045292486,0.5759923568473111,aux_all_off,new_retraining
LFP,G4,US06,1,30.0,0.591017554239388,0.6848239314545088,aux_all_off,new_retraining
LFP,G4,US06,1,40.0,0.5161576778473697,0.6171115708716646,aux_all_off,new_retraining
LFP,G4,US06,1,50.0,0.5368840734632985,0.6659030655319724,aux_all_off,new_retraining
LFP,G4,US06,2,-10.0,1.7213549337347436,2.008166274950433,aux_all_off,new_retraining
LFP,G4,US06,2,0.0,0.5159996433215223,0.6501072527233954,aux_all_off,new_retraining
LFP,G4,US06,2,10.0,0.3987685521538197,0.4802475902571373,aux_all_off,new_retraining
LFP,G4,US06,2,20.0,0.3051405297454943,0.3794608554432462,aux_all_off,new_retraining
LFP,G4,US06,2,25.0,0.3290401936681821,0.4203580422235353,aux_all_off,new_retraining
LFP,G4,US06,2,30.0,0.3170150450694549,0.3981863081030259,aux_all_off,new_retraining
LFP,G4,US06,2,40.0,0.4274816526503021,0.5395373585303906,aux_all_off,new_retraining
LFP,G4,US06,2,50.0,0.5114975707325927,0.6440679791241057,aux_all_off,new_retraining
LFP,T6,DST,0,-10.0,0.766697877229911,0.9571992788243034,aux_all_off,new_retraining
LFP,T6,DST,0,0.0,0.480099064605809,0.6305148847471667,aux_all_off,new_retraining
LFP,T6,DST,0,10.0,0.4333229275859279,0.5383202545351844,aux_all_off,new_retraining
LFP,T6,DST,0,20.0,0.3860124320342319,0.5039285439602232,aux_all_off,new_retraining
LFP,T6,DST,0,25.0,0.3249522587171196,0.4384234718212214,aux_all_off,new_retraining
LFP,T6,DST,0,30.0,0.3922039884108682,0.4906765489667264,aux_all_off,new_retraining
LFP,T6,DST,0,40.0,0.4338805435702046,0.5187734902163482,aux_all_off,new_retraining
LFP,T6,DST,0,50.0,0.4748898973677179,0.5573251777632906,aux_all_off,new_retraining
LFP,T6,DST,1,-10.0,0.6473334858046335,0.8456991773705258,aux_all_off,new_retraining
LFP,T6,DST,1,0.0,0.3672810727340888,0.4800774432001267,aux_all_off,new_retraining
LFP,T6,DST,1,10.0,0.3262390878118809,0.4176094201265292,aux_all_off,new_retraining
LFP,T6,DST,1,20.0,0.3304803571919287,0.4393249797935835,aux_all_off,new_retraining
LFP,T6,DST,1,25.0,0.2613357807674895,0.340420491042059,aux_all_off,new_retraining
LFP,T6,DST,1,30.0,0.3294418893926861,0.3930774386539478,aux_all_off,new_retraining
LFP,T6,DST,1,40.0,0.406632255634392,0.4630281938843782,aux_all_off,new_retraining
LFP,T6,DST,1,50.0,0.4708022084175053,0.5360016952586381,aux_all_off,new_retraining
LFP,T6,DST,2,-10.0,0.719879919159606,0.9865669674773802,aux_all_off,new_retraining
LFP,T6,DST,2,0.0,0.475199886248255,0.6292501183029368,aux_all_off,new_retraining
LFP,T6,DST,2,10.0,0.4031347318828877,0.5093928017762714,aux_all_off,new_retraining
LFP,T6,DST,2,20.0,0.4036313415329615,0.4993250509746941,aux_all_off,new_retraining
LFP,T6,DST,2,25.0,0.3744653851498279,0.4611810640248923,aux_all_off,new_retraining
LFP,T6,DST,2,30.0,0.4773636726190491,0.5511397461113355,aux_all_off,new_retraining
LFP,T6,DST,2,40.0,0.561791455341188,0.647347489915722,aux_all_off,new_retraining
LFP,T6,DST,2,50.0,0.65970457653218,0.7482406661073804,aux_all_off,new_retraining
LFP,T6,FUDS,0,-10.0,1.820152057402712,2.147658156247997,aux_all_off,new_retraining
LFP,T6,FUDS,0,0.0,0.9132945974011774,1.1284670823965368,aux_all_off,new_retraining
LFP,T6,FUDS,0,10.0,0.6889305296760563,0.8302069761294664,aux_all_off,new_retraining
LFP,T6,FUDS,0,20.0,0.4533659722792196,0.5851498217051486,aux_all_off,new_retraining
LFP,T6,FUDS,0,25.0,0.4551319123356293,0.5826036865770984,aux_all_off,new_retraining
LFP,T6,FUDS,0,30.0,0.4662913503849266,0.5914439076968665,aux_all_off,new_retraining
LFP,T6,FUDS,0,40.0,0.5166776786051291,0.6492583566636958,aux_all_off,new_retraining
LFP,T6,FUDS,0,50.0,0.6586674468373905,0.8215873491811361,aux_all_off,new_retraining
LFP,T6,FUDS,1,-10.0,1.5795716016111456,1.9299255568118283,aux_all_off,new_retraining
LFP,T6,FUDS,1,0.0,0.7832673001614561,0.9832117944175808,aux_all_off,new_retraining
LFP,T6,FUDS,1,10.0,0.7987306288140671,0.9494041654098432,aux_all_off,new_retraining
LFP,T6,FUDS,1,20.0,0.5302347406253665,0.6554262685183383,aux_all_off,new_retraining
LFP,T6,FUDS,1,25.0,0.5163806523030432,0.6300037552050752,aux_all_off,new_retraining
LFP,T6,FUDS,1,30.0,0.4074351891031197,0.5166604540581716,aux_all_off,new_retraining
LFP,T6,FUDS,1,40.0,0.4243949634776455,0.555780373783277,aux_all_off,new_retraining
LFP,T6,FUDS,1,50.0,0.5457980847090818,0.7020581764699307,aux_all_off,new_retraining
LFP,T6,FUDS,2,-10.0,1.7649363334695125,2.116303207962405,aux_all_off,new_retraining
LFP,T6,FUDS,2,0.0,0.9325053926346032,1.1857174688108791,aux_all_off,new_retraining
LFP,T6,FUDS,2,10.0,0.7995707953762353,0.9483062192194136,aux_all_off,new_retraining
LFP,T6,FUDS,2,20.0,0.5730225449842425,0.7023803762710131,aux_all_off,new_retraining
LFP,T6,FUDS,2,25.0,0.5606005235104455,0.6789192468556116,aux_all_off,new_retraining
LFP,T6,FUDS,2,30.0,0.4431632816654549,0.5681968733708546,aux_all_off,new_retraining
LFP,T6,FUDS,2,40.0,0.4394579636716545,0.5745417226409828,aux_all_off,new_retraining
LFP,T6,FUDS,2,50.0,0.5556773359383169,0.7124205754254431,aux_all_off,new_retraining
LFP,T6,US06,0,-10.0,2.451541970871718,2.664965708989494,aux_all_off,new_retraining
LFP,T6,US06,0,0.0,1.1298840497983431,1.2353449357722956,aux_all_off,new_retraining
