chemistry,holdout,temperature_C,seed,record,reset_index,reset_soc_true,reset_band,elapsed_s,abs_err_pct
LFP,DST,-10.0,1,LFP_-10C_DST.csv,1292,83.70679,gt65,900,8.423380333862312
LFP,DST,-10.0,1,LFP_-10C_DST.csv,1292,83.70679,gt65,1200,5.714612258071895
LFP,DST,-10.0,1,LFP_-10C_DST.csv,1292,83.70679,gt65,1800,5.582440877838138
LFP,DST,-10.0,1,LFP_-10C_DST.csv,1292,83.70679,gt65,2400,1.8498245252838146
LFP,DST,-10.0,1,LFP_-10C_DST.csv,1535,80.09282,gt65,0,
LFP,DST,-10.0,1,LFP_-10C_DST.csv,1535,80.09282,gt65,30,
LFP,DST,-10.0,1,LFP_-10C_DST.csv,1535,80.09282,gt65,60,17.03174850494385
LFP,DST,-10.0,1,LFP_-10C_DST.csv,1535,80.09282,gt65,120,16.121774673858653
LFP,DST,-10.0,1,LFP_-10C_DST.csv,1535,80.09282,gt65,300,12.688821481170649
LFP,DST,-10.0,1,LFP_-10C_DST.csv,1535,80.09282,gt65,600,8.568312355957033
LFP,DST,-10.0,1,LFP_-10C_DST.csv,1535,80.09282,gt65,900,4.903337320632943
LFP,DST,-10.0,1,LFP_-10C_DST.csv,1535,80.09282,gt65,1200,8.001178381042479
LFP,DST,-10.0,1,LFP_-10C_DST.csv,1535,80.09282,gt65,1800,3.8974707923889156
LFP,DST,-10.0,1,LFP_-10C_DST.csv,1535,80.09282,gt65,2400,0.16209141500091562
LFP,DST,-10.0,1,LFP_-10C_DST.csv,1679,78.572834,gt65,0,
LFP,DST,-10.0,1,LFP_-10C_DST.csv,1679,78.572834,gt65,30,
LFP,DST,-10.0,1,LFP_-10C_DST.csv,1679,78.572834,gt65,60,17.8462739284668
LFP,DST,-10.0,1,LFP_-10C_DST.csv,1679,78.572834,gt65,120,16.959981177139284
LFP,DST,-10.0,1,LFP_-10C_DST.csv,1679,78.572834,gt65,300,16.467993548889154
LFP,DST,-10.0,1,LFP_-10C_DST.csv,1679,78.572834,gt65,600,12.859162705383298
LFP,DST,-10.0,1,LFP_-10C_DST.csv,1679,78.572834,gt65,900,10.456788416152946
LFP,DST,-10.0,1,LFP_-10C_DST.csv,1679,78.572834,gt65,1200,6.341599775314336
LFP,DST,-10.0,1,LFP_-10C_DST.csv,1679,78.572834,gt65,1800,4.960221426239009
LFP,DST,-10.0,1,LFP_-10C_DST.csv,1679,78.572834,gt65,2400,1.213915275993351
LFP,DST,-10.0,1,LFP_-10C_DST.csv,2765,63.603370000000005,35to65,0,
LFP,DST,-10.0,1,LFP_-10C_DST.csv,2765,63.603370000000005,35to65,30,
LFP,DST,-10.0,1,LFP_-10C_DST.csv,2765,63.603370000000005,35to65,60,15.503264470672605
LFP,DST,-10.0,1,LFP_-10C_DST.csv,2765,63.603370000000005,35to65,120,15.221345137695309
LFP,DST,-10.0,1,LFP_-10C_DST.csv,2765,63.603370000000005,35to65,300,14.1919110817337
LFP,DST,-10.0,1,LFP_-10C_DST.csv,2765,63.603370000000005,35to65,600,9.723398112373346
LFP,DST,-10.0,1,LFP_-10C_DST.csv,2765,63.603370000000005,35to65,900,6.331621496887209
LFP,DST,-10.0,1,LFP_-10C_DST.csv,2765,63.603370000000005,35to65,1200,2.837538301940917
LFP,DST,-10.0,1,LFP_-10C_DST.csv,2765,63.603370000000005,35to65,1800,1.1613874911193847
LFP,DST,-10.0,1,LFP_-10C_DST.csv,2765,63.603370000000005,35to65,2400,0.5478147872238175
LFP,DST,-10.0,1,LFP_-10C_DST.csv,3826,50.008553,35to65,0,
LFP,DST,-10.0,1,LFP_-10C_DST.csv,3826,50.008553,35to65,30,
LFP,DST,-10.0,1,LFP_-10C_DST.csv,3826,50.008553,35to65,60,6.40150640563202
LFP,DST,-10.0,1,LFP_-10C_DST.csv,3826,50.008553,35to65,120,6.602585305435184
LFP,DST,-10.0,1,LFP_-10C_DST.csv,3826,50.008553,35to65,300,6.691425761978145
LFP,DST,-10.0,1,LFP_-10C_DST.csv,3826,50.008553,35to65,600,3.1805702319717426
LFP,DST,-10.0,1,LFP_-10C_DST.csv,3826,50.008553,35to65,900,0.7403253651351918
LFP,DST,-10.0,1,LFP_-10C_DST.csv,3826,50.008553,35to65,1200,0.13071265634155083
LFP,DST,-10.0,1,LFP_-10C_DST.csv,3826,50.008553,35to65,1800,
LFP,DST,-10.0,1,LFP_-10C_DST.csv,3826,50.008553,35to65,2400,
LFP,DST,-10.0,1,LFP_-10C_DST.csv,4773,37.017151999999996,35to65,0,
LFP,DST,-10.0,1,LFP_-10C_DST.csv,4773,37.017151999999996,35to65,30,
LFP,DST,-10.0,1,LFP_-10C_DST.csv,4773,37.017151999999996,35to65,60,6.64945832611847
LFP,DST,-10.0,1,LFP_-10C_DST.csv,4773,37.017151999999996,35to65,120,6.235425929031372
LFP,DST,-10.0,1,LFP_-10C_DST.csv,4773,37.017151999999996,35to65,300,1.515006738479613
LFP,DST,-10.0,1,LFP_-10C_DST.csv,4773,37.017151999999996,35to65,600,
LFP,DST,-10.0,1,LFP_-10C_DST.csv,4773,37.017151999999996,35to65,900,
LFP,DST,-10.0,1,LFP_-10C_DST.csv,4773,37.017151999999996,35to65,1200,
LFP,DST,-10.0,1,LFP_-10C_DST.csv,4773,37.017151999999996,35to65,1800,
LFP,DST,-10.0,1,LFP_-10C_DST.csv,4773,37.017151999999996,35to65,2400,
LFP,DST,-10.0,1,LFP_-10C_DST.csv,5027,32.94816,le35,0,
LFP,DST,-10.0,1,LFP_-10C_DST.csv,5027,32.94816,le35,30,
LFP,DST,-10.0,1,LFP_-10C_DST.csv,5027,32.94816,le35,60,2.96562641067505
LFP,DST,-10.0,1,LFP_-10C_DST.csv,5027,32.94816,le35,120,3.338902147941589
LFP,DST,-10.0,1,LFP_-10C_DST.csv,5027,32.94816,le35,300,
LFP,DST,-10.0,1,LFP_-10C_DST.csv,5027,32.94816,le35,600,
LFP,DST,-10.0,1,LFP_-10C_DST.csv,5027,32.94816,le35,900,
LFP,DST,-10.0,1,LFP_-10C_DST.csv,5027,32.94816,le35,1200,
LFP,DST,-10.0,1,LFP_-10C_DST.csv,5027,32.94816,le35,1800,
LFP,DST,-10.0,1,LFP_-10C_DST.csv,5027,32.94816,le35,2400,
LFP,DST,-10.0,1,LFP_-10C_DST.csv,5054,32.94831,le35,0,
LFP,DST,-10.0,1,LFP_-10C_DST.csv,5054,32.94831,le35,30,
LFP,DST,-10.0,1,LFP_-10C_DST.csv,5054,32.94831,le35,60,0.9829275300216622
LFP,DST,-10.0,1,LFP_-10C_DST.csv,5054,32.94831,le35,120,0.5673880611419655
LFP,DST,-10.0,1,LFP_-10C_DST.csv,5054,32.94831,le35,300,
LFP,DST,-10.0,1,LFP_-10C_DST.csv,5054,32.94831,le35,600,
LFP,DST,-10.0,1,LFP_-10C_DST.csv,5054,32.94831,le35,900,
LFP,DST,-10.0,1,LFP_-10C_DST.csv,5054,32.94831,le35,1200,
LFP,DST,-10.0,1,LFP_-10C_DST.csv,5054,32.94831,le35,1800,
LFP,DST,-10.0,1,LFP_-10C_DST.csv,5054,32.94831,le35,2400,
LFP,DST,-10.0,1,LFP_-10C_DST.csv,5110,32.393699999999995,le35,0,
LFP,DST,-10.0,1,LFP_-10C_DST.csv,5110,32.393699999999995,le35,30,
LFP,DST,-10.0,1,LFP_-10C_DST.csv,5110,32.393699999999995,le35,60,3.030979223480223
LFP,DST,-10.0,1,LFP_-10C_DST.csv,5110,32.393699999999995,le35,120,2.0075529025268537
LFP,DST,-10.0,1,LFP_-10C_DST.csv,5110,32.393699999999995,le35,300,
LFP,DST,-10.0,1,LFP_-10C_DST.csv,5110,32.393699999999995,le35,600,
LFP,DST,-10.0,1,LFP_-10C_DST.csv,5110,32.393699999999995,le35,900,
LFP,DST,-10.0,1,LFP_-10C_DST.csv,5110,32.393699999999995,le35,1200,
LFP,DST,-10.0,1,LFP_-10C_DST.csv,5110,32.393699999999995,le35,1800,
LFP,DST,-10.0,1,LFP_-10C_DST.csv,5110,32.393699999999995,le35,2400,
LFP,DST,-10.0,2,LFP_-10C_DST.csv,1292,83.70679,gt65,0,
LFP,DST,-10.0,2,LFP_-10C_DST.csv,1292,83.70679,gt65,30,
LFP,DST,-10.0,2,LFP_-10C_DST.csv,1292,83.70679,gt65,60,15.12061441116333
LFP,DST,-10.0,2,LFP_-10C_DST.csv,1292,83.70679,gt65,120,15.949279430709836
LFP,DST,-10.0,2,LFP_-10C_DST.csv,1292,83.70679,gt65,300,15.376188428268435
LFP,DST,-10.0,2,LFP_-10C_DST.csv,1292,83.70679,gt65,600,12.338144811630244
LFP,DST,-10.0,2,LFP_-10C_DST.csv,1292,83.70679,gt65,900,9.176473099670417
LFP,DST,-10.0,2,LFP_-10C_DST.csv,1292,83.70679,gt65,1200,7.4885597354125935
LFP,DST,-10.0,2,LFP_-10C_DST.csv,1292,83.70679,gt65,1800,6.106145168228153
LFP,DST,-10.0,2,LFP_-10C_DST.csv,1292,83.70679,gt65,2400,3.1526181473007213
LFP,DST,-10.0,2,LFP_-10C_DST.csv,1535,80.09282,gt65,0,
LFP,DST,-10.0,2,LFP_-10C_DST.csv,1535,80.09282,gt65,30,
LFP,DST,-10.0,2,LFP_-10C_DST.csv,1535,80.09282,gt65,60,17.74188420326233
LFP,DST,-10.0,2,LFP_-10C_DST.csv,1535,80.09282,gt65,120,16.781502724090586
LFP,DST,-10.0,2,LFP_-10C_DST.csv,1535,80.09282,gt65,300,13.777166531982417
LFP,DST,-10.0,2,LFP_-10C_DST.csv,1535,80.09282,gt65,600,10.4878501386261
LFP,DST,-10.0,2,LFP_-10C_DST.csv,1535,80.09282,gt65,900,7.314869722671517
LFP,DST,-10.0,2,LFP_-10C_DST.csv,1535,80.09282,gt65,1200,8.342307684020994
LFP,DST,-10.0,2,LFP_-10C_DST.csv,1535,80.09282,gt65,1800,5.084962209320068
LFP,DST,-10.0,2,LFP_-10C_DST.csv,1535,80.09282,gt65,2400,0.893110473083496
LFP,DST,-10.0,2,LFP_-10C_DST.csv,1679,78.572834,gt65,0,
LFP,DST,-10.0,2,LFP_-10C_DST.csv,1679,78.572834,gt65,30,
LFP,DST,-10.0,2,LFP_-10C_DST.csv,1679,78.572834,gt65,60,19.13472369271851
LFP,DST,-10.0,2,LFP_-10C_DST.csv,1679,78.572834,gt65,120,18.60568926124573
LFP,DST,-10.0,2,LFP_-10C_DST.csv,1679,78.572834,gt65,300,17.697226098556513
LFP,DST,-10.0,2,LFP_-10C_DST.csv,1679,78.572834,gt65,600,14.109537022552487
LFP,DST,-10.0,2,LFP_-10C_DST.csv,1679,78.572834,gt65,900,12.076967830902092
LFP,DST,-10.0,2,LFP_-10C_DST.csv,1679,78.572834,gt65,1200,7.324551893234258
LFP,DST,-10.0,2,LFP_-10C_DST.csv,1679,78.572834,gt65,1800,5.694169180145259
LFP,DST,-10.0,2,LFP_-10C_DST.csv,1679,78.572834,gt65,2400,2.6346724504852332
LFP,DST,-10.0,2,LFP_-10C_DST.csv,2765,63.603370000000005,35to65,0,
LFP,DST,-10.0,2,LFP_-10C_DST.csv,2765,63.603370000000005,35to65,30,
