chemistry,holdout,temperature_C,seed,record,reset_index,reset_soc_true,reset_band,time_to_1pct_s,recovered
LFP,DST,25.0,1,LFP_25C_DST.csv,3858,48.51394,35to65,1462.117237,True
LFP,DST,25.0,1,LFP_25C_DST.csv,6113,18.872067,le35,320.8697200000006,True
LFP,DST,25.0,1,LFP_25C_DST.csv,6157,18.606138,le35,521.7685499999989,True
LFP,DST,25.0,1,LFP_25C_DST.csv,6752,9.560572,le35,345.02490000000034,True
LFP,DST,25.0,2,LFP_25C_DST.csv,810,89.7675,gt65,3404.872383,True
LFP,DST,25.0,2,LFP_25C_DST.csv,1260,83.78219999999999,gt65,2955.3775699999997,True
LFP,DST,25.0,2,LFP_25C_DST.csv,2010,74.24195,gt65,2227.352807,True
LFP,DST,25.0,2,LFP_25C_DST.csv,3558,52.25873599999999,35to65,668.7077669999999,True
LFP,DST,25.0,2,LFP_25C_DST.csv,3747,50.928174999999996,35to65,846.6100750000005,True
LFP,DST,25.0,2,LFP_25C_DST.csv,3858,48.51394,35to65,1461.1121670000007,True
LFP,DST,25.0,2,LFP_25C_DST.csv,6113,18.872067,le35,246.50941000000057,True
LFP,DST,25.0,2,LFP_25C_DST.csv,6157,18.606138,le35,242.20902999999998,True
LFP,DST,25.0,2,LFP_25C_DST.csv,6752,9.560572,le35,333.95416999999907,True
LFP,DST,30.0,0,LFP_30C_DST.csv,1275,84.01098999999999,gt65,2939.2548020000004,True
LFP,DST,30.0,0,LFP_30C_DST.csv,1303,83.76154,gt65,2912.1232919999993,True
LFP,DST,30.0,0,LFP_30C_DST.csv,2665,65.570176,gt65,1936.6613069999999,True
LFP,DST,30.0,0,LFP_30C_DST.csv,3313,56.875175,35to65,1283.9318400000002,True
LFP,DST,30.0,0,LFP_30C_DST.csv,3435,55.630919999999996,35to65,1162.3456500000011,True
LFP,DST,30.0,0,LFP_30C_DST.csv,4229,43.54005,35to65,1540.8566680000004,True
LFP,DST,30.0,0,LFP_30C_DST.csv,5650,25.795448,le35,1107.179259999999,True
LFP,DST,30.0,0,LFP_30C_DST.csv,5976,22.344695,le35,463.556059999999,True
LFP,DST,30.0,0,LFP_30C_DST.csv,6856,10.101994,le35,249.13846000000012,True
LFP,DST,30.0,1,LFP_30C_DST.csv,1275,84.01098999999999,gt65,846.5361039999998,True
LFP,DST,30.0,1,LFP_30C_DST.csv,1303,83.76154,gt65,819.4039049999992,True
LFP,DST,30.0,1,LFP_30C_DST.csv,2665,65.570176,gt65,1859.2957030000002,True
LFP,DST,30.0,1,LFP_30C_DST.csv,3313,56.875175,35to65,937.9622659999995,True
LFP,DST,30.0,1,LFP_30C_DST.csv,3435,55.630919999999996,35to65,911.2042000000001,True
LFP,DST,30.0,1,LFP_30C_DST.csv,4229,43.54005,35to65,1431.0270380000002,True
LFP,DST,30.0,1,LFP_30C_DST.csv,5650,25.795448,le35,785.3341899999996,True
LFP,DST,30.0,1,LFP_30C_DST.csv,5976,22.344695,le35,385.1861200000003,True
LFP,DST,30.0,1,LFP_30C_DST.csv,6856,10.101994,le35,254.1708499999986,True
LFP,DST,30.0,2,LFP_30C_DST.csv,1275,84.01098999999999,gt65,846.5361039999998,True
LFP,DST,30.0,2,LFP_30C_DST.csv,1303,83.76154,gt65,2912.1232919999993,True
LFP,DST,30.0,2,LFP_30C_DST.csv,2665,65.570176,gt65,1923.5999040000002,True
LFP,DST,30.0,2,LFP_30C_DST.csv,3313,56.875175,35to65,920.8923779999996,True
LFP,DST,30.0,2,LFP_30C_DST.csv,3435,55.630919999999996,35to65,1135.2162390000012,True
LFP,DST,30.0,2,LFP_30C_DST.csv,4229,43.54005,35to65,1446.0925480000005,True
LFP,DST,30.0,2,LFP_30C_DST.csv,5650,25.795448,le35,787.3403799999996,True
LFP,DST,30.0,2,LFP_30C_DST.csv,5976,22.344695,le35,420.34083999999893,True
LFP,DST,30.0,2,LFP_30C_DST.csv,6856,10.101994,le35,230.04550999999992,True
LFP,DST,40.0,0,LFP_40C_DST.csv,2136,71.81083000000001,gt65,2434.5169130000004,True
LFP,DST,40.0,0,LFP_40C_DST.csv,2626,66.156745,gt65,1972.9891159999997,True
LFP,DST,40.0,0,LFP_40C_DST.csv,2684,65.5411,gt65,1914.6506769999996,True
LFP,DST,40.0,0,LFP_40C_DST.csv,2916,62.13818,35to65,1681.3360060000005,True
LFP,DST,40.0,0,LFP_40C_DST.csv,2976,61.640125999999995,35to65,1622.0160429999996,True
LFP,DST,40.0,0,LFP_40C_DST.csv,4396,43.074175999999994,35to65,49.26350300000013,True
LFP,DST,40.0,0,LFP_40C_DST.csv,4946,34.569630000000004,le35,1128.2196160000012,True
LFP,DST,40.0,0,LFP_40C_DST.csv,5224,32.419986,le35,489.6817919999994,True
LFP,DST,40.0,0,LFP_40C_DST.csv,5529,28.381774,le35,475.67456800000036,True
LFP,DST,40.0,1,LFP_40C_DST.csv,2136,71.81083000000001,gt65,2116.700277,True
LFP,DST,40.0,1,LFP_40C_DST.csv,2626,66.156745,gt65,1912.6151440000003,True
LFP,DST,40.0,1,LFP_40C_DST.csv,2684,65.5411,gt65,1850.2545040000005,True
LFP,DST,40.0,1,LFP_40C_DST.csv,2916,62.13818,35to65,1605.8872760000004,True
LFP,DST,40.0,1,LFP_40C_DST.csv,2976,61.640125999999995,35to65,1548.5744209999993,True
LFP,DST,40.0,1,LFP_40C_DST.csv,4396,43.074175999999994,35to65,162.9311630000002,True
LFP,DST,40.0,1,LFP_40C_DST.csv,4946,34.569630000000004,le35,870.8416560000005,True
LFP,DST,40.0,1,LFP_40C_DST.csv,5224,32.419986,le35,420.306372,True
LFP,DST,40.0,1,LFP_40C_DST.csv,5529,28.381774,le35,270.55594799999926,True
LFP,DST,40.0,2,LFP_40C_DST.csv,2136,71.81083000000001,gt65,2099.6294019999996,True
LFP,DST,40.0,2,LFP_40C_DST.csv,2626,66.156745,gt65,1962.9278050000003,True
LFP,DST,40.0,2,LFP_40C_DST.csv,2684,65.5411,gt65,1903.579202,True
LFP,DST,40.0,2,LFP_40C_DST.csv,2916,62.13818,35to65,1667.248224,True
LFP,DST,40.0,2,LFP_40C_DST.csv,2976,61.640125999999995,35to65,1608.9324029999998,True
LFP,DST,40.0,2,LFP_40C_DST.csv,4396,43.074175999999994,35to65,49.26350300000013,True
LFP,DST,40.0,2,LFP_40C_DST.csv,4946,34.569630000000004,le35,1090.0285660000009,True
LFP,DST,40.0,2,LFP_40C_DST.csv,5224,32.419986,le35,450.4830920000004,True
LFP,DST,40.0,2,LFP_40C_DST.csv,5529,28.381774,le35,470.63409800000045,True
LFP,DST,50.0,0,LFP_50C_DST.csv,1287,84.09123,gt65,826.6628090000002,True
LFP,DST,50.0,0,LFP_50C_DST.csv,1384,81.00295,gt65,2843.069790999999,True
LFP,DST,50.0,0,LFP_50C_DST.csv,2458,67.049253,gt65,2136.03265,True
LFP,DST,50.0,0,LFP_50C_DST.csv,3373,56.584095999999995,35to65,1217.8855299999996,True
LFP,DST,50.0,0,LFP_50C_DST.csv,4252,43.720594,35to65,743.0242769999995,True
LFP,DST,50.0,0,LFP_50C_DST.csv,4673,38.955602,35to65,63.699666000000434,True
LFP,DST,50.0,0,LFP_50C_DST.csv,4960,34.627829999999996,le35,754.134247,True
LFP,DST,50.0,0,LFP_50C_DST.csv,5269,32.158592000000006,le35,446.1338480000013,True
LFP,DST,50.0,0,LFP_50C_DST.csv,6825,10.768914,le35,48.75462999999945,True
LFP,DST,50.0,1,LFP_50C_DST.csv,1287,84.09123,gt65,720.1430890000004,True
LFP,DST,50.0,1,LFP_50C_DST.csv,1384,81.00295,gt65,2534.419034,True
LFP,DST,50.0,1,LFP_50C_DST.csv,2458,67.049253,gt65,2096.882470999999,True
LFP,DST,50.0,1,LFP_50C_DST.csv,3373,56.584095999999995,35to65,1159.6140300000006,True
LFP,DST,50.0,1,LFP_50C_DST.csv,4252,43.720594,35to65,756.0657889999993,True
LFP,DST,50.0,1,LFP_50C_DST.csv,4673,38.955602,35to65,48.60823600000003,True
LFP,DST,50.0,1,LFP_50C_DST.csv,4960,34.627829999999996,le35,624.5095299999994,True
LFP,DST,50.0,1,LFP_50C_DST.csv,5269,32.158592000000006,le35,443.12257800000043,True
LFP,DST,50.0,1,LFP_50C_DST.csv,6825,10.768914,le35,98.00752999999895,True
LFP,DST,50.0,2,LFP_50C_DST.csv,1287,84.09123,gt65,671.9052360000003,True
LFP,DST,50.0,2,LFP_50C_DST.csv,1384,81.00295,gt65,730.2995249999994,True
LFP,DST,50.0,2,LFP_50C_DST.csv,2458,67.049253,gt65,2126.0025829999995,True
LFP,DST,50.0,2,LFP_50C_DST.csv,3373,56.584095999999995,35to65,1205.8454590000001,True
LFP,DST,50.0,2,LFP_50C_DST.csv,4252,43.720594,35to65,748.0355650000001,True
LFP,DST,50.0,2,LFP_50C_DST.csv,4673,38.955602,35to65,261.51741200000106,True
LFP,DST,50.0,2,LFP_50C_DST.csv,4960,34.627829999999996,le35,720.0139680000002,True
