model,precision,window_index,repeat_index,cycles,clock_hz
nmc_t6plain_dst_s0,fp32,9,9,47725535,250000000
nmc_t6plain_dst_s0,fp32,9,10,47725535,250000000
nmc_t6plain_dst_s0,fp32,9,11,47725535,250000000
nmc_t6plain_dst_s0,fp32,9,12,47725535,250000000
nmc_t6plain_dst_s0,fp32,9,13,47725535,250000000
nmc_t6plain_dst_s0,fp32,9,14,47725535,250000000
nmc_t6plain_dst_s0,fp32,9,15,47725535,250000000
nmc_t6plain_dst_s0,fp32,10,0,47686667,250000000
nmc_t6plain_dst_s0,fp32,10,1,47686644,250000000
nmc_t6plain_dst_s0,fp32,10,2,47686644,250000000
nmc_t6plain_dst_s0,fp32,10,3,47686644,250000000
nmc_t6plain_dst_s0,fp32,10,4,47686644,250000000
nmc_t6plain_dst_s0,fp32,10,5,47686644,250000000
nmc_t6plain_dst_s0,fp32,10,6,47686644,250000000
nmc_t6plain_dst_s0,fp32,10,7,47686644,250000000
nmc_t6plain_dst_s0,fp32,10,8,47686644,250000000
nmc_t6plain_dst_s0,fp32,10,9,47686644,250000000
nmc_t6plain_dst_s0,fp32,10,10,47686644,250000000
nmc_t6plain_dst_s0,fp32,10,11,47686644,250000000
nmc_t6plain_dst_s0,fp32,10,12,47686644,250000000
nmc_t6plain_dst_s0,fp32,10,13,47686644,250000000
nmc_t6plain_dst_s0,fp32,10,14,47686644,250000000
nmc_t6plain_dst_s0,fp32,10,15,47686644,250000000
nmc_t6plain_dst_s0,fp32,11,0,47718501,250000000
nmc_t6plain_dst_s0,fp32,11,1,47718448,250000000
nmc_t6plain_dst_s0,fp32,11,2,47718448,250000000
nmc_t6plain_dst_s0,fp32,11,3,47718448,250000000
nmc_t6plain_dst_s0,fp32,11,4,47718448,250000000
nmc_t6plain_dst_s0,fp32,11,5,47718448,250000000
nmc_t6plain_dst_s0,fp32,11,6,47718448,250000000
nmc_t6plain_dst_s0,fp32,11,7,47718448,250000000
nmc_t6plain_dst_s0,fp32,11,8,47718448,250000000
nmc_t6plain_dst_s0,fp32,11,9,47718448,250000000
nmc_t6plain_dst_s0,fp32,11,10,47718448,250000000
nmc_t6plain_dst_s0,fp32,11,11,47718448,250000000
nmc_t6plain_dst_s0,fp32,11,12,47718448,250000000
nmc_t6plain_dst_s0,fp32,11,13,47718448,250000000
nmc_t6plain_dst_s0,fp32,11,14,47718448,250000000
nmc_t6plain_dst_s0,fp32,11,15,47718448,250000000
nmc_t6plain_dst_s0,fp32,12,0,47692042,250000000
nmc_t6plain_dst_s0,fp32,12,1,47691989,250000000
nmc_t6plain_dst_s0,fp32,12,2,47691989,250000000
nmc_t6plain_dst_s0,fp32,12,3,47691989,250000000
nmc_t6plain_dst_s0,fp32,12,4,47691989,250000000
nmc_t6plain_dst_s0,fp32,12,5,47691989,250000000
nmc_t6plain_dst_s0,fp32,12,6,47691989,250000000
nmc_t6plain_dst_s0,fp32,12,7,47691989,250000000
nmc_t6plain_dst_s0,fp32,12,8,47691989,250000000
nmc_t6plain_dst_s0,fp32,12,9,47691989,250000000
nmc_t6plain_dst_s0,fp32,12,10,47691989,250000000
nmc_t6plain_dst_s0,fp32,12,11,47691989,250000000
nmc_t6plain_dst_s0,fp32,12,12,47691989,250000000
nmc_t6plain_dst_s0,fp32,12,13,47691989,250000000
nmc_t6plain_dst_s0,fp32,12,14,47691989,250000000
nmc_t6plain_dst_s0,fp32,12,15,47691989,250000000
nmc_t6plain_dst_s0,fp32,13,0,47682731,250000000
nmc_t6plain_dst_s0,fp32,13,1,47682678,250000000
nmc_t6plain_dst_s0,fp32,13,2,47682678,250000000
nmc_t6plain_dst_s0,fp32,13,3,47682678,250000000
nmc_t6plain_dst_s0,fp32,13,4,47682678,250000000
nmc_t6plain_dst_s0,fp32,13,5,47682678,250000000
nmc_t6plain_dst_s0,fp32,13,6,47682678,250000000
nmc_t6plain_dst_s0,fp32,13,7,47682678,250000000
nmc_t6plain_dst_s0,fp32,13,8,47682678,250000000
nmc_t6plain_dst_s0,fp32,13,9,47682678,250000000
nmc_t6plain_dst_s0,fp32,13,10,47682678,250000000
nmc_t6plain_dst_s0,fp32,13,11,47682678,250000000
nmc_t6plain_dst_s0,fp32,13,12,47682678,250000000
nmc_t6plain_dst_s0,fp32,13,13,47682678,250000000
nmc_t6plain_dst_s0,fp32,13,14,47682678,250000000
nmc_t6plain_dst_s0,fp32,13,15,47682678,250000000
nmc_t6plain_dst_s0,fp32,14,0,47660418,250000000
nmc_t6plain_dst_s0,fp32,14,1,47660365,250000000
nmc_t6plain_dst_s0,fp32,14,2,47660365,250000000
nmc_t6plain_dst_s0,fp32,14,3,47660365,250000000
nmc_t6plain_dst_s0,fp32,14,4,47660365,250000000
