chemistry,feature,fold,seed,temperature_C,mae_torch_pct,mae_onnx_pct,max_abs_diff_pct
LFP,T6PLAIN,DST,2,0,0.5314430559739155,0.5314432962107446,2.384185791015625e-05
LFP,T6PLAIN,DST,2,10,0.40070320770700174,0.40070354977035216,2.384185791015625e-05
LFP,T6PLAIN,DST,2,20,0.32242434324215064,0.32242490778745325,1.7881393432617188e-05
LFP,T6PLAIN,DST,2,25,0.29924514853932965,0.29924504875204133,1.9371509552001953e-05
LFP,T6PLAIN,DST,2,30,0.2985429215040412,0.2985428766957193,2.384185791015625e-05
LFP,T6PLAIN,DST,2,40,0.4166727493102816,0.41667281639270254,2.384185791015625e-05
LFP,T6PLAIN,DST,2,50,0.4775114355031313,0.4775111296424794,2.384185791015625e-05
LFP,T6PLAIN,FUDS,0,-10,1.677221907032573,1.6772218068255111,1.7881393432617188e-05
LFP,T6PLAIN,FUDS,0,0,0.8422894675808837,0.8422896135972875,1.7881393432617188e-05
LFP,T6PLAIN,FUDS,0,10,0.6578620627904851,0.6578624276259228,2.384185791015625e-05
LFP,T6PLAIN,FUDS,0,20,0.4885040465452053,0.4885047199650435,2.086162567138672e-05
LFP,T6PLAIN,FUDS,0,25,0.49175939897526083,0.4917599013781966,2.16066837310791e-05
LFP,T6PLAIN,FUDS,0,30,0.5067347203698797,0.5067352703248621,1.9371509552001953e-05
LFP,T6PLAIN,FUDS,0,40,0.5663037343613895,0.5663039570178691,1.7881393432617188e-05
LFP,T6PLAIN,FUDS,0,50,0.6998270978395917,0.6998272369285864,2.16066837310791e-05
LFP,T6PLAIN,FUDS,1,-10,1.4694944557605905,1.4694942927252919,2.384185791015625e-05
LFP,T6PLAIN,FUDS,1,0,0.7668080564393136,0.7668085958977192,1.7881393432617188e-05
LFP,T6PLAIN,FUDS,1,10,0.5832832598561396,0.5832835614449454,1.7881393432617188e-05
LFP,T6PLAIN,FUDS,1,20,0.4318324413349217,0.4318329163878051,2.384185791015625e-05
LFP,T6PLAIN,FUDS,1,25,0.464866524815962,0.46486678085018396,2.086162567138672e-05
LFP,T6PLAIN,FUDS,1,30,0.5026762606461984,0.502676622372541,2.384185791015625e-05
LFP,T6PLAIN,FUDS,1,40,0.6032650998394078,0.6032653122784288,2.9802322387695312e-05
LFP,T6PLAIN,FUDS,1,50,0.7391466522307374,0.739146618759237,1.7881393432617188e-05
LFP,T6PLAIN,FUDS,2,-10,1.6145340167633582,1.6145337002362907,1.7881393432617188e-05
LFP,T6PLAIN,FUDS,2,0,0.8290240089238871,0.8290238140214052,1.7881393432617188e-05
LFP,T6PLAIN,FUDS,2,10,0.6617669303608474,0.6617668846237694,2.384185791015625e-05
LFP,T6PLAIN,FUDS,2,20,0.44689947949041336,0.4468998524819568,2.384185791015625e-05
LFP,T6PLAIN,FUDS,2,25,0.4894563526988185,0.4894566102083022,2.086162567138672e-05
LFP,T6PLAIN,FUDS,2,30,0.5298213473170327,0.5298216719768123,2.384185791015625e-05
LFP,T6PLAIN,FUDS,2,40,0.5434966189981278,0.5434968708720854,2.384185791015625e-05
LFP,T6PLAIN,FUDS,2,50,0.7175524032297461,0.7175525575104401,1.7881393432617188e-05
LFP,T6PLAIN,US06,0,-10,2.134333751968945,2.1343335513593704,1.7881393432617188e-05
LFP,T6PLAIN,US06,0,0,0.9255043196244086,0.9255041759670799,1.7881393432617188e-05
LFP,T6PLAIN,US06,0,10,0.699624547901978,0.6996243836502904,1.7881393432617188e-05
LFP,T6PLAIN,US06,0,20,0.5215494011411659,0.521549123090589,2.384185791015625e-05
LFP,T6PLAIN,US06,0,25,0.40619514711424587,0.4061945895070993,1.7881393432617188e-05
LFP,T6PLAIN,US06,0,30,0.395972182775172,0.3959715598217663,1.7881393432617188e-05
LFP,T6PLAIN,US06,0,40,0.3402153501569461,0.34021468937078114,2.384185791015625e-05
LFP,T6PLAIN,US06,0,50,0.32533009074533303,0.3253296115251617,2.086162567138672e-05
LFP,T6PLAIN,US06,1,-10,2.1809565936335438,2.1809563216305614,1.7881393432617188e-05
LFP,T6PLAIN,US06,1,0,0.909934398919216,0.9099344858068017,2.384185791015625e-05
LFP,T6PLAIN,US06,1,10,0.718244245901484,0.7182441219651128,1.7881393432617188e-05
LFP,T6PLAIN,US06,1,20,0.44674001613133185,0.44673966856811087,1.7881393432617188e-05
LFP,T6PLAIN,US06,1,25,0.3707300510598216,0.3707293898585427,1.7881393432617188e-05
LFP,T6PLAIN,US06,1,30,0.33312542718240384,0.33312473661334513,1.9371509552001953e-05
LFP,T6PLAIN,US06,1,40,0.3456699909893987,0.345669315422836,1.7881393432617188e-05
LFP,T6PLAIN,US06,1,50,0.3823358404349045,0.3823354755491066,1.7881393432617188e-05
LFP,T6PLAIN,US06,2,-10,2.095749903854399,2.0957495675383475,2.384185791015625e-05
LFP,T6PLAIN,US06,2,0,0.9368428985372215,0.9368428240792216,1.7881393432617188e-05
LFP,T6PLAIN,US06,2,10,0.6134570041420839,0.6134568424931708,1.7881393432617188e-05
LFP,T6PLAIN,US06,2,20,0.4351063015225587,0.43510584495829,2.384185791015625e-05
LFP,T6PLAIN,US06,2,25,0.3182855979836921,0.3182847792071634,1.7881393432617188e-05
LFP,T6PLAIN,US06,2,30,0.3346774860101834,0.33467675252500884,2.384185791015625e-05
LFP,T6PLAIN,US06,2,40,0.34503979897560016,0.34503958716698757,2.384185791015625e-05
LFP,T6PLAIN,US06,2,50,0.4335542560056163,0.43355405571105926,2.2351741790771484e-05
