model,precision,sample_index,repeat_index,total_cycles,network_cycles,preprocessing_window_cycles,clock_hz
nmc_t6plain_dst_s0,fp32,235,176,47957402,47934327,23075,250000000
nmc_t6plain_dst_s0,fp32,236,177,47957421,47934346,23075,250000000
nmc_t6plain_dst_s0,fp32,237,178,47957224,47934149,23075,250000000
nmc_t6plain_dst_s0,fp32,238,179,47956445,47933363,23082,250000000
nmc_t6plain_dst_s0,fp32,239,180,47955686,47932604,23082,250000000
nmc_t6plain_dst_s0,fp32,240,181,47955038,47931963,23075,250000000
nmc_t6plain_dst_s0,fp32,241,182,47954251,47931176,23075,250000000
nmc_t6plain_dst_s0,fp32,242,183,47953401,47930326,23075,250000000
nmc_t6plain_dst_s0,fp32,243,184,47952693,47929618,23075,250000000
nmc_t6plain_dst_s0,fp32,244,185,47951746,47928671,23075,250000000
nmc_t6plain_dst_s0,fp32,245,186,47950929,47927854,23075,250000000
nmc_t6plain_dst_s0,fp32,246,187,47950021,47926940,23081,250000000
nmc_t6plain_dst_s0,fp32,247,188,47949099,47926016,23083,250000000
nmc_t6plain_dst_s0,fp32,248,189,47948430,47925349,23081,250000000
nmc_t6plain_dst_s0,fp32,249,190,47947911,47924830,23081,250000000
nmc_t6plain_dst_s0,fp32,250,191,47947265,47924182,23083,250000000
nmc_t6plain_dst_s0,fp32,251,192,47946880,47923806,23074,250000000
nmc_t6plain_dst_s0,fp32,252,193,47946252,47923178,23074,250000000
nmc_t6plain_dst_s0,fp32,253,194,47945580,47922506,23074,250000000
nmc_t6plain_dst_s0,fp32,254,195,47944929,47921848,23081,250000000
nmc_t6plain_dst_s0,fp32,255,196,47944404,47921330,23074,250000000
nmc_t6plain_dst_s0,fp32,256,197,47943775,47920701,23074,250000000
nmc_t6plain_dst_s0,fp32,257,198,47943121,47920047,23074,250000000
nmc_t6plain_dst_s0,fp32,258,199,47942521,47919447,23074,250000000
nmc_t6plain_dst_s0,fp32,259,200,47941963,47918889,23074,250000000
nmc_t6plain_dst_s0,fp32,260,201,47941336,47918262,23074,250000000
nmc_t6plain_dst_s0,fp32,261,202,47940760,47917686,23074,250000000
nmc_t6plain_dst_s0,fp32,262,203,47940153,47917079,23074,250000000
nmc_t6plain_dst_s0,fp32,263,204,47939619,47916545,23074,250000000
nmc_t6plain_dst_s0,fp32,264,205,47939311,47916237,23074,250000000
nmc_t6plain_dst_s0,fp32,265,206,47938947,47915873,23074,250000000
nmc_t6plain_dst_s0,fp32,266,207,47938386,47915312,23074,250000000
nmc_t6plain_dst_s0,fp32,267,208,47937879,47914805,23074,250000000
nmc_t6plain_dst_s0,fp32,268,209,47937234,47914160,23074,250000000
nmc_t6plain_dst_s0,fp32,269,210,47936924,47913860,23064,250000000
nmc_t6plain_dst_s0,fp32,270,211,47936607,47913543,23064,250000000
nmc_t6plain_dst_s0,fp32,271,212,47936220,47913156,23064,250000000
nmc_t6plain_dst_s0,fp32,272,213,47935851,47912787,23064,250000000
nmc_t6plain_dst_s0,fp32,273,214,47935375,47912311,23064,250000000
nmc_t6plain_dst_s0,fp32,274,215,47935188,47912124,23064,250000000
nmc_t6plain_dst_s0,fp32,275,216,47934631,47911567,23064,250000000
nmc_t6plain_dst_s0,fp32,276,217,47934401,47911337,23064,250000000
nmc_t6plain_dst_s0,fp32,277,218,47934261,47911186,23075,250000000
nmc_t6plain_dst_s0,fp32,278,219,47933946,47910871,23075,250000000
nmc_t6plain_dst_s0,fp32,279,220,47933477,47910402,23075,250000000
nmc_t6plain_dst_s0,fp32,280,221,47932949,47909874,23075,250000000
nmc_t6plain_dst_s0,fp32,281,222,47932550,47909475,23075,250000000
nmc_t6plain_dst_s0,fp32,282,223,47932049,47908974,23075,250000000
nmc_t6plain_dst_s0,fp32,283,224,47931375,47908300,23075,250000000
nmc_t6plain_dst_s0,fp32,284,225,47930737,47907662,23075,250000000
nmc_t6plain_dst_s0,fp32,285,226,47930123,47907048,23075,250000000
nmc_t6plain_dst_s0,fp32,286,227,47929917,47906842,23075,250000000
nmc_t6plain_dst_s0,fp32,287,228,47929894,47906819,23075,250000000
nmc_t6plain_dst_s0,fp32,288,229,47930672,47907597,23075,250000000
nmc_t6plain_dst_s0,fp32,289,230,47931793,47908718,23075,250000000
nmc_t6plain_dst_s0,fp32,290,231,47932515,47909440,23075,250000000
nmc_t6plain_dst_s0,fp32,291,232,47933254,47910179,23075,250000000
nmc_t6plain_dst_s0,fp32,292,233,47934226,47911151,23075,250000000
nmc_t6plain_dst_s0,fp32,293,234,47935239,47912164,23075,250000000
nmc_t6plain_dst_s0,fp32,294,235,47935903,47912828,23075,250000000
nmc_t6plain_dst_s0,fp32,295,236,47936719,47913644,23075,250000000
nmc_t6plain_dst_s0,fp32,296,237,47937261,47914186,23075,250000000
nmc_t6plain_dst_s0,fp32,297,238,47937469,47914394,23075,250000000
nmc_t6plain_dst_s0,fp32,298,239,47937774,47914699,23075,250000000
nmc_t6plain_dst_s0,fp32,299,240,47938278,47915203,23075,250000000
nmc_t6plain_dst_s0,fp32,300,241,47938709,47915634,23075,250000000
nmc_t6plain_dst_s0,fp32,301,242,47939125,47916050,23075,250000000
nmc_t6plain_dst_s0,fp32,302,243,47939752,47916677,23075,250000000
nmc_t6plain_dst_s0,fp32,303,244,47940040,47916965,23075,250000000
nmc_t6plain_dst_s0,fp32,304,245,47940373,47917298,23075,250000000
nmc_t6plain_dst_s0,fp32,305,246,47940898,47917823,23075,250000000
nmc_t6plain_dst_s0,fp32,306,247,47941256,47918181,23075,250000000
nmc_t6plain_dst_s0,fp32,307,248,47941787,47918712,23075,250000000
nmc_t6plain_dst_s0,fp32,308,249,47942246,47919171,23075,250000000
nmc_t6plain_dst_s0,fp32,309,250,47942429,47919349,23080,250000000
nmc_t6plain_dst_s0,fp32,310,251,47943004,47919922,23082,250000000
nmc_t6plain_dst_s0,fp32,311,252,47943479,47920399,23080,250000000
nmc_t6plain_dst_s0,fp32,312,253,47943782,47920702,23080,250000000
nmc_t6plain_dst_s0,fp32,313,254,47944351,47921271,23080,250000000
nmc_t6plain_dst_s0,fp32,314,255,47944618,47921538,23080,250000000
nmc_t6plain_dst_s0,fp32,315,256,47944877,47921797,23080,250000000
nmc_t6plain_dst_s0,fp32,316,257,47945049,47921969,23080,250000000
nmc_t6plain_dst_s0,fp32,317,258,47945400,47922325,23075,250000000
nmc_t6plain_dst_s0,fp32,318,259,47945509,47922434,23075,250000000
nmc_t6plain_dst_s0,fp32,319,260,47946072,47922997,23075,250000000
nmc_t6plain_dst_s0,fp32,320,261,47946525,47923450,23075,250000000
nmc_t6plain_dst_s0,fp32,321,262,47946858,47923783,23075,250000000
nmc_t6plain_dst_s0,fp32,322,263,47947138,47924072,23066,250000000
nmc_t6plain_dst_s0,fp32,323,264,47947700,47924626,23074,250000000
nmc_t6plain_dst_s0,fp32,324,265,47948148,47925073,23075,250000000
nmc_t6plain_dst_s0,fp32,325,266,47948463,47925397,23066,250000000
nmc_t6plain_dst_s0,fp32,326,267,47948527,47925453,23074,250000000
nmc_t6plain_dst_s0,fp32,327,268,47948832,47925756,23076,250000000
nmc_t6plain_dst_s0,fp32,328,269,47949233,47926159,23074,250000000
nmc_t6plain_dst_s0,fp32,329,270,47949531,47926456,23075,250000000
nmc_t6plain_dst_s0,fp32,330,271,47950014,47926939,23075,250000000
nmc_t6plain_dst_s0,fp32,331,272,47950451,47927374,23077,250000000
nmc_t6plain_dst_s0,fp32,332,273,47950807,47927730,23077,250000000
nmc_t6plain_dst_s0,fp32,333,274,47951109,47928034,23075,250000000
nmc_t6plain_dst_s0,fp32,334,275,47951498,47928423,23075,250000000
nmc_t6plain_dst_s0,fp32,335,276,47951836,47928762,23074,250000000
nmc_t6plain_dst_s0,fp32,336,277,47952187,47929121,23066,250000000
nmc_t6plain_dst_s0,fp32,337,278,47952478,47929403,23075,250000000
nmc_t6plain_dst_s0,fp32,338,279,47952903,47929828,23075,250000000
nmc_t6plain_dst_s0,fp32,339,280,47953339,47930265,23074,250000000
nmc_t6plain_dst_s0,fp32,340,281,47953769,47930695,23074,250000000
nmc_t6plain_dst_s0,fp32,341,282,47954078,47931004,23074,250000000
nmc_t6plain_dst_s0,fp32,342,283,47954530,47931455,23075,250000000
nmc_t6plain_dst_s0,fp32,343,284,47954855,47931781,23074,250000000
nmc_t6plain_dst_s0,fp32,344,285,47955440,47932365,23075,250000000
nmc_t6plain_dst_s0,fp32,345,286,47955929,47932854,23075,250000000
nmc_t6plain_dst_s0,fp32,346,287,47956407,47933333,23074,250000000
nmc_t6plain_dst_s0,fp32,347,288,47956863,47933788,23075,250000000
nmc_t6plain_dst_s0,fp32,348,289,47957253,47934178,23075,250000000
nmc_t6plain_dst_s0,fp32,349,290,47957679,47934605,23074,250000000
nmc_t6plain_dst_s0,fp32,350,291,47958026,47934951,23075,250000000
nmc_t6plain_dst_s0,fp32,351,292,47958383,47935308,23075,250000000
nmc_t6plain_dst_s0,fp32,352,293,47958577,47935511,23066,250000000
nmc_t6plain_dst_s0,fp32,353,294,47958723,47935648,23075,250000000
nmc_t6plain_dst_s0,fp32,354,295,47958647,47935572,23075,250000000
nmc_t6plain_dst_s0,fp32,355,296,47958355,47935291,23064,250000000
nmc_t6plain_dst_s0,fp32,356,297,47958287,47935213,23074,250000000
nmc_t6plain_dst_s0,fp32,357,298,47957838,47934763,23075,250000000
nmc_t6plain_dst_s0,fp32,358,299,47957482,47934407,23075,250000000
nmc_t6plain_dst_s0,fp32,359,300,47957899,47934824,23075,250000000
nmc_t6plain_dst_s0,fp32,360,301,47958505,47935430,23075,250000000
nmc_t6plain_dst_s0,fp32,361,302,47958861,47935786,23075,250000000
nmc_t6plain_dst_s0,fp32,362,303,47959283,47936207,23076,250000000
nmc_t6plain_dst_s0,fp32,363,304,47959921,47936846,23075,250000000
nmc_t6plain_dst_s0,fp32,364,305,47960907,47937832,23075,250000000
nmc_t6plain_dst_s0,fp32,365,306,47961907,47938841,23066,250000000
nmc_t6plain_dst_s0,fp32,366,307,47962917,47939851,23066,250000000
nmc_t6plain_dst_s0,fp32,367,308,47963162,47940096,23066,250000000
nmc_t6plain_dst_s0,fp32,368,309,47963348,47940273,23075,250000000
nmc_t6plain_dst_s0,fp32,369,310,47963560,47940494,23066,250000000
nmc_t6plain_dst_s0,fp32,370,311,47963655,47940581,23074,250000000
nmc_t6plain_dst_s0,fp32,371,312,47963955,47940889,23066,250000000
nmc_t6plain_dst_s0,fp32,372,313,47964042,47940967,23075,250000000
nmc_t6plain_dst_s0,fp32,373,314,47964164,47941089,23075,250000000
nmc_t6plain_dst_s0,fp32,374,315,47964498,47941423,23075,250000000
nmc_t6plain_dst_s0,fp32,375,316,47964437,47941362,23075,250000000
nmc_t6plain_dst_s0,fp32,376,317,47964760,47941685,23075,250000000
nmc_t6plain_dst_s0,fp32,377,318,47964838,47941763,23075,250000000
nmc_t6plain_dst_s0,fp32,378,319,47964979,47941904,23075,250000000
nmc_t6plain_dst_s0,fp32,379,320,47965033,47941958,23075,250000000
nmc_t6plain_dst_s0,fp32,380,321,47964977,47941895,23082,250000000
nmc_t6plain_dst_s0,fp32,381,322,47964810,47941726,23084,250000000
nmc_t6plain_dst_s0,fp32,382,323,47964646,47941571,23075,250000000
nmc_t6plain_dst_s0,fp32,383,324,47964642,47941567,23075,250000000
nmc_t6plain_dst_s0,fp32,384,325,47964565,47941490,23075,250000000
nmc_t6plain_dst_s0,fp32,385,326,47964351,47941276,23075,250000000
nmc_t6plain_dst_s0,fp32,386,327,47964272,47941197,23075,250000000
nmc_t6plain_dst_s0,fp32,387,328,47964148,47941073,23075,250000000
nmc_t6plain_dst_s0,fp32,388,329,47964015,47940940,23075,250000000
nmc_t6plain_dst_s0,fp32,389,330,47963425,47940350,23075,250000000
nmc_t6plain_dst_s0,fp32,390,331,47963062,47939987,23075,250000000
nmc_t6plain_dst_s0,fp32,391,332,47962860,47939785,23075,250000000
nmc_t6plain_dst_s0,fp32,392,333,47962564,47939489,23075,250000000
nmc_t6plain_dst_s0,fp32,393,334,47962143,47939068,23075,250000000
nmc_t6plain_dst_s0,fp32,394,335,47962009,47938934,23075,250000000
nmc_t6plain_dst_s0,fp32,395,336,47961726,47938651,23075,250000000
nmc_t6plain_dst_s0,fp32,396,337,47961629,47938554,23075,250000000
nmc_t6plain_dst_s0,fp32,397,338,47961364,47938289,23075,250000000
nmc_t6plain_dst_s0,fp32,398,339,47960953,47937878,23075,250000000
nmc_t6plain_dst_s0,fp32,399,340,47960355,47937280,23075,250000000
nmc_t6plain_dst_s0,fp32,400,341,47959644,47936569,23075,250000000
nmc_t6plain_dst_s0,fp32,401,342,47958864,47935789,23075,250000000
nmc_t6plain_dst_s0,fp32,402,343,47958413,47935331,23082,250000000
nmc_t6plain_dst_s0,fp32,403,344,47958101,47935017,23084,250000000
nmc_t6plain_dst_s0,fp32,404,345,47957650,47934575,23075,250000000
nmc_t6plain_dst_s0,fp32,405,346,47957580,47934505,23075,250000000
