feature,fold,seed,temp,reset_trial,reset_index,time_to_recover_within_1pct_s,recovered,observation_horizon_s
T6_plain,FUDS,1,20.0,4,5494,336.8593099999998,True,1808.0352199999998
T6_plain,FUDS,1,25.0,0,821,3509.800289999999,True,6575.8004100000035
T6_plain,FUDS,1,25.0,1,2661,1948.041570000004,True,4728.709380000004
T6_plain,FUDS,1,25.0,2,3588,1821.9731599999977,True,3798.024650000003
T6_plain,FUDS,1,25.0,3,4450,453.12374999999975,True,2932.3928500000047
T6_plain,FUDS,1,25.0,4,6574,484.8029599999936,True,799.0580499999996
T6_plain,FUDS,1,30.0,0,1380,3084.7001199999977,True,6089.728140000005
T6_plain,FUDS,1,30.0,1,2290,2318.506449999997,True,5175.873340000004
T6_plain,FUDS,1,30.0,2,3608,1984.333050000001,True,3852.394540000003
T6_plain,FUDS,1,30.0,3,5159,1328.0493100000022,True,2295.233530000007
T6_plain,FUDS,1,30.0,4,6245,818.6032599999962,True,1205.1987200000021
T6_plain,FUDS,1,40.0,0,1751,2758.73517,True,5843.208059999999
T6_plain,FUDS,1,40.0,1,2105,2783.9390299999977,True,5488.05262
T6_plain,FUDS,1,40.0,2,4181,1596.7418499999976,True,3405.53795
T6_plain,FUDS,1,40.0,3,4810,1020.680999999996,True,2774.3366499999984
T6_plain,FUDS,1,40.0,4,5781,1182.3234599999996,True,1800.7858999999971
T6_plain,FUDS,1,50.0,0,1394,3116.612220000002,True,6240.925609999998
T6_plain,FUDS,1,50.0,1,2503,2613.5093500000003,True,5127.497929999998
T6_plain,FUDS,1,50.0,2,4205,1568.9501000000027,True,3419.613209999997
T6_plain,FUDS,1,50.0,3,5633,1326.6989200000025,True,1986.2704599999997
T6_plain,FUDS,1,50.0,4,6790,295.1918899999955,True,824.294879999994
T6_plain,FUDS,2,-10.0,0,1196,1663.2469200000014,True,4484.203099999999
T6_plain,FUDS,2,-10.0,1,2242,1955.5620000000017,True,3435.749079999998
T6_plain,FUDS,2,-10.0,2,2655,1572.5752099999995,True,3021.6220199999993
T6_plain,FUDS,2,-10.0,3,3485,1044.9728299999997,True,2190.0072199999995
T6_plain,FUDS,2,-10.0,4,4364,,False,1308.4756999999954
T6_plain,FUDS,2,0.0,0,877,3171.999989999996,True,6153.038049999996
T6_plain,FUDS,2,0.0,1,2453,1465.7630800000006,True,4572.219649999995
T6_plain,FUDS,2,0.0,2,3584,1605.2266999999993,True,3438.3691399999952
T6_plain,FUDS,2,0.0,3,4773,977.3588999999993,True,2245.6532399999996
T6_plain,FUDS,2,0.0,4,5611,117.35347000000183,True,1405.711709999996
T6_plain,FUDS,2,10.0,0,1628,2716.9148399999976,True,5456.29898
T6_plain,FUDS,2,10.0,1,2365,1869.2779400000027,True,4716.963
T6_plain,FUDS,2,10.0,2,3032,2259.006029999997,True,4048.135009999998
T6_plain,FUDS,2,10.0,3,4619,666.3005900000053,True,2456.4394200000024
T6_plain,FUDS,2,10.0,4,5595,259.82728000000407,True,1477.7204300000012
T6_plain,FUDS,2,20.0,0,1022,3176.9853099999964,True,6292.8186799999985
T6_plain,FUDS,2,20.0,1,1946,2383.99266,True,5366.368619999999
T6_plain,FUDS,2,20.0,2,3859,1429.4184100000034,True,3447.5344400000017
T6_plain,FUDS,2,20.0,3,4312,1587.4909100000004,True,2993.4151500000025
T6_plain,FUDS,2,20.0,4,5494,342.8804600000003,True,1808.0352199999998
T6_plain,FUDS,2,25.0,0,821,3414.249450000003,True,6575.8004100000035
T6_plain,FUDS,2,25.0,1,2661,1869.5770000000011,True,4728.709380000004
T6_plain,FUDS,2,25.0,2,3588,1696.5170800000014,True,3798.024650000003
T6_plain,FUDS,2,25.0,3,4450,419.9432800000004,True,2932.3928500000047
T6_plain,FUDS,2,25.0,4,6574,488.8229999999967,True,799.0580499999996
T6_plain,FUDS,2,30.0,0,1380,3098.7803499999973,True,6089.728140000005
T6_plain,FUDS,2,30.0,1,2290,2587.4249299999965,True,5175.873340000004
T6_plain,FUDS,2,30.0,2,3608,2074.6849900000007,True,3852.394540000003
T6_plain,FUDS,2,30.0,3,5159,1784.045689999999,True,2295.233530000007
T6_plain,FUDS,2,30.0,4,6245,866.7135100000005,True,1205.1987200000021
