feature,fold,seed,perturbation_type,level,temp,soc_band,mae,rmse,bias
T6_plain,FUDS,2,current_noise,I_sigma_2_pct_reading,0.0,35-65,1.26646894435761,1.669560371841375,0.8016642120579771
T6_plain,FUDS,2,current_noise,I_sigma_2_pct_reading,0.0,<=35,0.7586614619315568,1.0267614299176924,0.6198214039028153
T6_plain,FUDS,2,current_noise,I_sigma_2_pct_reading,0.0,>65,0.5392269991725025,0.661287981605115,0.39966342715477554
T6_plain,FUDS,2,current_noise,I_sigma_2_pct_reading,10.0,35-65,0.8821883759881088,1.1377450477611317,0.5243002351713676
T6_plain,FUDS,2,current_noise,I_sigma_2_pct_reading,10.0,<=35,0.5867266541431568,0.7724804454675755,0.48723878112259267
T6_plain,FUDS,2,current_noise,I_sigma_2_pct_reading,10.0,>65,0.5297137079388403,0.659179661276016,0.46545553125646655
T6_plain,FUDS,2,current_noise,I_sigma_2_pct_reading,20.0,35-65,0.5740861082854267,0.7754869288228197,0.10320687625118365
T6_plain,FUDS,2,current_noise,I_sigma_2_pct_reading,20.0,<=35,0.34993209373175566,0.5117888136409239,0.12897687524625698
T6_plain,FUDS,2,current_noise,I_sigma_2_pct_reading,20.0,>65,0.43112190297556485,0.540151437985646,0.25196162462777394
T6_plain,FUDS,2,current_noise,I_sigma_2_pct_reading,25.0,35-65,0.587545431828316,0.7857526031713735,0.07277400001155657
T6_plain,FUDS,2,current_noise,I_sigma_2_pct_reading,25.0,<=35,0.39637883522704365,0.5089608251535989,0.16448934069428056
T6_plain,FUDS,2,current_noise,I_sigma_2_pct_reading,25.0,>65,0.4992136103612642,0.6275919082475659,0.29983947064029487
T6_plain,FUDS,2,current_noise,I_sigma_2_pct_reading,30.0,35-65,0.6275365908479155,0.7962989896922816,-0.4898496183589899
T6_plain,FUDS,2,current_noise,I_sigma_2_pct_reading,30.0,<=35,0.47872245592847634,0.5816432318252472,-0.3104061347980095
T6_plain,FUDS,2,current_noise,I_sigma_2_pct_reading,30.0,>65,0.5208728110534987,0.6364761861026955,0.023795189304900776
T6_plain,FUDS,2,current_noise,I_sigma_2_pct_reading,40.0,35-65,0.607357343598241,0.768215987315073,-0.43414782802027735
T6_plain,FUDS,2,current_noise,I_sigma_2_pct_reading,40.0,<=35,0.47815717975653027,0.595000415223346,-0.32396928309308265
T6_plain,FUDS,2,current_noise,I_sigma_2_pct_reading,40.0,>65,0.5695578804351631,0.6878881478405049,-0.010395569617696644
T6_plain,FUDS,2,current_noise,I_sigma_2_pct_reading,50.0,35-65,0.843154858547331,1.0385579360606518,-0.7731506413044795
T6_plain,FUDS,2,current_noise,I_sigma_2_pct_reading,50.0,<=35,0.6648797831015623,0.8380610318879747,-0.5953347745279668
T6_plain,FUDS,2,current_noise,I_sigma_2_pct_reading,50.0,>65,0.6355231641815152,0.7710761874213078,-0.08766898936887074
T6_plain,FUDS,2,voltage_noise,V_sigma_10_mV,-10.0,35-65,2.6033220631429144,2.983957186980683,2.1162372078165728
T6_plain,FUDS,2,voltage_noise,V_sigma_10_mV,-10.0,<=35,1.3614504682014177,1.7060203306208899,0.9881473186135047
T6_plain,FUDS,2,voltage_noise,V_sigma_10_mV,-10.0,>65,0.9636922144147728,1.1107409661913288,0.8938102755456918
T6_plain,FUDS,2,voltage_noise,V_sigma_10_mV,0.0,35-65,1.2483329175978257,1.6415424036130095,0.7973800234303249
